"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"ageclass.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"ageclass.beta[2]",129.690028284276,2.07703988956812,125.614323475764,128.280485120298,129.711299253144,131.056669623417,133.777580062057,1.00024340993806,1500,0,1
"ageclass.beta[3]",197.476687319931,2.33016246818547,193.037157994507,195.851014407808,197.432125804307,199.024990531876,202.275762384436,1.00016115143422,1500,0,1
"ageclass.beta[4]",242.230461265354,2.57983928679457,237.51173260037,240.506662531872,242.129287115507,244.035553440243,247.29733460946,0.999543639143338,1500,0,1
"ageclass.beta[5]",266.830987455068,2.89251514267103,261.548776358554,264.823332126926,266.796208543732,268.750482333862,272.579964191414,1.00069309353933,1244,0,1
"ageclass.beta[6]",280.885841528045,3.22648696257648,275.077299969538,278.538895255076,280.781360877186,283.184841574788,287.341338110406,0.999815452834544,1500,0,1
"ageclass.beta[7]",281.970213899737,3.537791759568,275.224742823153,279.541895034832,281.868829488857,284.341459699622,289.038302445122,1.00187978326422,1500,0,1
"ageclass.beta[8]",279.380042926531,4.32288122997774,271.153164955645,276.44385248968,279.468436882218,282.198184021564,287.927105222957,1.00234167528502,891,0,1
"ageclass.beta[9]",271.605296800941,4.9689696603223,262.228012076586,268.240925877161,271.499680608229,274.756378711316,281.780830887233,1.00032695222125,1500,0,1
"ageclass.beta[10]",255.15461064765,6.03759985340137,243.752131415252,251.024175409895,255.132597517704,259.076385903201,266.916485098528,1.00025445741467,1500,0,1
"ageclass.beta[11]",230.676848208928,8.11654664483116,215.502021032115,225.190245004818,230.520734526278,236.059435284189,246.848913122923,1.0013877718075,1500,0,1
"ageclass.beta[12]",193.700557645828,21.3222335911072,151.758359157079,179.191527606002,194.165101634819,207.775028323682,235.242515268544,1.00216146828571,868,0,1
"bs.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"bs.beta[2]",-16.6983872693412,4.46814920825878,-25.1154465626231,-19.8000215094078,-16.7108659785848,-13.7413410425833,-7.53234801880374,1.00152687167311,980,0,0.999333333333333
"bs.beta[3]",-14.5356632818947,5.83719508543274,-25.8810160292582,-18.5684015649587,-14.3924192826851,-10.5466346893558,-3.2698184669873,1.00317752395832,1001,0,0.992
"derived_antlers[1,1]",121.879507471244,4.8327013545362,112.049855853913,118.661471522218,121.951836569435,125.158338246327,131.151277797789,1.00905187499052,998,0,1
"derived_antlers[2,1]",105.181120201903,4.57803581983897,96.2133904028605,102.087245211106,105.157593867666,108.191942314919,114.148212650699,0.999342879188122,1500,0,1
"derived_antlers[3,1]",107.343844189349,6.02276265304936,95.3770452397893,103.356856664267,107.421652642783,111.319422127723,119.239074728417,1.00077304115384,1500,0,1
"derived_antlers[1,2]",251.56953575552,4.75616053261342,242.009781136593,248.463337444455,251.582523969872,254.901035157702,260.70369953828,1.01223564272501,832,0,1
"derived_antlers[2,2]",234.871148486179,4.57300975595944,225.730308646573,231.908651484223,235.006292840335,237.913135970233,243.379068129844,0.99980871071356,1500,0,1
