animal_id,year_cap,year_birth,age,weight,bcsin,birthsite
90-2021-0-2177,2022,2021,1.5,77,13.5,ey
90-2021-0-2183,2022,2021,1.5,90,15.25,ey
270-2020-1-2011,2022,2020,2.5,92,68.5,dmp
270-2021-0-2169,2022,2021,1.5,94,29.625,wy
270-2021-1-2126,2022,2021,1.5,95,36.375,dmp
270-2021-1-2130,2022,2021,1.5,95,27,dmp
90-2021-0-2178,2022,2021,1.5,95,NA,ey
90-2021-0-2187,2022,2021,1.5,96,19,ey
90-2021-0-2179,2022,2021,1.5,97,35.25,ey
90-2021-0-2188,2022,2021,1.5,99,27.25,ey
90-2021-0-2189,2022,2021,1.5,99,20.875,ey
90-2021-0-2176,2022,2021,1.5,100,48.25,ey
90-2021-0-2190,2022,2021,1.5,101,46.125,ey
90-2021-0-2182,2022,2021,1.5,103,35.5,ey
90-2020-0-2092,2022,2020,2.5,104,55.125,ey
90-2021-0-2181,2022,2021,1.5,105,31.375,ey
90-2021-0-2180,2022,2021,1.5,106,40.75,ey
90-2021-0-2186,2022,2021,1.5,110,26.375,ey
90-2020-0-2081,2022,2020,2.5,115,67.25,ey
270-2019-0-944,2022,2019,3.5,116,102,wy
270-2020-0-2095,2022,2020,2.5,117,84.125,wy
270-2020-1-2041,2022,2020,2.5,121,NA,dmp
90-2020-0-2082,2022,2020,2.5,124,85.25,ey
270-2020-1-2001,2022,2020,2.5,126,84,dmp
270-2019-1-932,2022,2019,3.5,129,109.5,dmp
90-2020-0-2091,2022,2020,2.5,129,87,ey
270-2018-1-817,2022,2018,4.5,130,129.25,dmp
270-2020-1-2020,2022,2020,2.5,130,108.125,dmp
90-2020-0-2078,2022,2020,2.5,130,94.5,ey
270-2018-1-822,2022,2018,4.5,131,139.625,dmp
270-2019-1-924,2022,2019,3.5,131,114.875,dmp
270-2020-1-2040,2022,2020,2.5,131,81.25,dmp
270-2019-1-917,2022,2019,3.5,132,96.5,dmp
270-2019-1-929,2022,2019,3.5,132,113,dmp
