animal_id,year_cap,year_birth,age,weight,bcs,group
the game,2006,2001,5.5,NA,223,dmp
mcstedman,2006,1998,8.5,NA,177,dmp
vince young,2007,2002,5.5,213,199,dmp
junior jr,2007,2002,5.5,212,192,dmp
the game,2008,2001,7.5,210,228,dmp
junior jr,2008,2002,6.5,206,187,dmp
junior jr,2009,2002,7.5,192,192,dmp
the game,2009,2001,8.5,206,194,dmp
true grit,2010,2007,3.5,208,155,dmp
the duke,2010,2007,3.5,164,150,dmp
the prodigal son,2011,2008,3.5,161,151,dmp
true grit,2011,2007,4.5,202,162,dmp
high hopes,2012,2008,4.5,178,174,dmp
the duke,2012,2007,5.5,214,176,dmp
lays out,2013,2008,5.5,186,171,dmp
the prodigal son,2013,2008,5.5,193,189,dmp
up out back,2014,2008,6.5,NA,196,dmp
high hopes,2014,2008,6.5,167,190,dmp
cowboy,2015,2009,6.5,196,NA,dmp
my dads a hoe,2015,2009,6.5,197,NA,dmp
this works,2016,2011,5.5,203,204,dmp
razor,2016,2011,5.5,164,207,dmp
captain call,2017,2013,4.5,195,218,dmp
baby crabman,2017,2010,7.5,184,204,dmp
riptide,2018,2012,6.5,200,199,dmp
just reboot it,2018,2012,6.5,208,196,dmp
grade schooler,2019,2013,6.5,193,220,dmp
riptide,2019,2012,7.5,209,205,dmp
hillbilly jim,2020,2013,7.5,195,206,dmp
grade schooler,2020,2013,7.5,174,237,dmp
milkman,2021,2017,4.5,167,168,dmp
headache,2021,2016,5.5,184,191,dmp
