"","year","age","weight","group"
"1","2007","3.5",109,"dmp"
"2","2007","4.5",120,"dmp"
"3","2007","4.5",121,"dmp"
"4","2007","3.5",98,"dmp"
"5","2007","4.5",120,"dmp"
"6","2007","3.5",107,"dmp"
"7","2007","4.5",118,"dmp"
"8","2007","5.5",106,"dmp"
"9","2007","5.5",97,"dmp"
"10","2007","5.5",110,"dmp"
"11","2007","3.5",98,"dmp"
"12","2007","3.5",104,"dmp"
"13","2007","4.5",109,"dmp"
"14","2007","5.5",110,"dmp"
"15","2007","5.5",122,"dmp"
"16","2007","3.5",102,"dmp"
"17","2007","5.5",115,"dmp"
"18","2007","5.5",118,"dmp"
"19","2007","5.5",129,"dmp"
"20","2007","3.5",112,"dmp"
"21","2007","4.5",100,"dmp"
"22","2007","5.5",102,"dmp"
"23","2007","4.5",120,"dmp"
"24","2007","5.5",98,"dmp"
"25","2007","5.5",119,"dmp"
"26","2007","4.5",114,"dmp"
"27","2007","3.5",101,"dmp"
"28","2007","4.5",114,"dmp"
"29","2007","4.5",94,"dmp"
"30","2007","4.5",103,"dmp"
"31","2008","4.5",115,"dmp"
"32","2008","5.5",103,"dmp"
"33","2008","5.5",121,"dmp"
"34","2008","4.5",109,"dmp"
"35","2008","5.5",113,"dmp"
"36","2008","4.5",114,"dmp"
"37","2008","5.5",108,"dmp"
"38","2008","6.5",99,"dmp"
"39","2008","6.5",115,"dmp"
"40","2008","4.5",99,"dmp"
"41","2008","4.5",103,"dmp"
"42","2008","5.5",113,"dmp"
"43","2008","6.5",135,"dmp"
"44","2008","4.5",112,"dmp"
"45","2008","6.5",121,"dmp"
"46","2008","4.5",107,"dmp"
"47","2008","5.5",113,"dmp"
"48","2008","6.5",105,"dmp"
"49","2008","5.5",127,"dmp"
"50","2008","6.5",93,"dmp"
"51","2008","6.5",120,"dmp"
"52","2008","5.5",132,"dmp"
"53","2008","4.5",109,"dmp"
"54","2008","5.5",114,"dmp"
"55","2008","5.5",98,"dmp"
"56","2008","5.5",101,"dmp"
"57","2008","5.5",111,"dmp"
"58","2008","6.5",124,"dmp"
"59","2008","4.5",118,"dmp"
"60","2009","7.5",106,"dmp"
"61","2009","7.5",113,"dmp"
"62","2009","6.5",115,"dmp"
"63","2009","6.5",121,"dmp"
"64","2009","7.5",91,"dmp"
"65","2009","6.5",129,"dmp"
"66","2009","5.5",112,"dmp"
"67","2009","6.5",115,"dmp"
"68","2009","7.5",118,"dmp"
"69","2009","7.5",116,"dmp"
"70","2009","7.5",130,"dmp"
"71","2009","6.5",100,"dmp"
"72","2009","5.5",80,"dmp"
"73","2009","4.5",113,"dmp"
"74","2009","5.5",109,"dmp"
"75","2009","5.5",100,"dmp"
"76","2009","6.5",107,"dmp"
"77","2009","5.5",103,"dmp"
"78","2009","5.5",106,"dmp"
"79","2009","6.5",120,"dmp"
"80","2009","5.5",118,"dmp"
"81","2009","6.5",109,"dmp"
"82","2009","2.5",102,"dmp"
"83","2009","5.5",112,"dmp"
"84","2009","2.5",96,"dmp"
"85","2009","3.5",108,"dmp"
"86","2009","6.5",116,"dmp"
"87","2009","3.5",118,"dmp"
"88","2009","4.5",118,"dmp"
"89","2010","5.5",112,"dmp"
"90","2010","4.5",120,"dmp"
"91","2010","6.5",144,"dmp"
"92","2010","3.5",108,"dmp"
"93","2010","7.5",124,"dmp"
"94","2010","5.5",112,"dmp"
"95","2010","5.5",116,"dmp"
"96","2010","6.5",118,"dmp"
"97","2010","7.5",103,"dmp"
"98","2010","5.5",119,"dmp"
"99","2010","2.5",117,"dmp"
"100","2010","5.5",118,"dmp"
"101","2010","6.5",129,"dmp"
"102","2010","2.5",108,"dmp"
"103","2010","2.5",106,"dmp"
"104","2010","6.5",120,"dmp"
"105","2010","6.5",109,"dmp"
"106","2010","5.5",97,"dmp"
"107","2010","5.5",121,"dmp"
"108","2010","3.5",120,"dmp"
"109","2010","3.5",129,"dmp"
"110","2010","2.5",109,"dmp"
"111","2010","2.5",91,"dmp"
"112","2010","2.5",107,"dmp"
"113","2010","1.5",106,"dmp"
"114","2010","1.5",99,"dmp"
"115","2010","4.5",106,"dmp"
"116","2010","6.5",118,"dmp"
"117","2010","4.5",113,"dmp"
"118","2010","3.5",130,"dmp"
"119","2011","7.5",111,"dmp"
"120","2011","8.5",116,"dmp"
"121","2011","7.5",107,"dmp"
"122","2011","8.5",107,"dmp"
"123","2011","8.5",94,"dmp"
