"","year","past_cap","sex","age","weight"
"1",2007,"S.E. Toro","F","3.5",109
"2",2007,"S.E. Toro","F","4.5",120
"3",2007,"S.E. Toro","F","4.5",121
"4",2007,"W. Yana","F","3.5",98
"5",2007,"S.E. Toro","F","4.5",120
"6",2007,"W. Yana","F","3.5",107
"7",2007,"S.E. Toro","F","4.5",118
"8",2007,"W. Yana","F","5.5",106
"9",2007,"W. Yana","F","5.5",97
"10",2007,"W. Yana","F","5.5",110
"11",2007,"W. Yana","F","3.5",98
"12",2007,"S.E. Toro","F","3.5",104
"13",2007,"W. Yana","F","4.5",109
"14",2007,"W. Yana","F","5.5",110
"15",2007,"W. Yana","F","5.5",122
"16",2007,"W. Yana","F","3.5",102
"17",2007,"W. Yana","F","5.5",115
"18",2007,"W. Yana","F","5.5",118
"19",2007,"W. Yana","F","5.5",129
"20",2007,"W. Yana","F","3.5",112
"21",2007,"W. Yana","F","4.5",100
"22",2007,"W. Yana","F","5.5",102
"23",2007,"W. Yana","F","4.5",120
"24",2007,"W. Yana","F","5.5",98
"25",2007,"W. Yana","F","5.5",119
"26",2007,"W. Yana","F","4.5",114
"27",2007,"W. Yana","F","3.5",101
"28",2007,"W. Yana","F","4.5",114
"29",2007,"W. Yana","F","4.5",94
"30",2007,"W. Yana","F","4.5",103
"31",2008,"W. Yana","F","4.5",115
"32",2008,"W. Yana","F","5.5",103
"33",2008,"W. Yana","F","5.5",121
"34",2008,"W. Yana","F","4.5",109
"35",2008,"W. Yana","F","5.5",113
"36",2008,"W. Yana","F","4.5",114
"37",2008,"W. Yana","F","5.5",108
"38",2008,"W. Yana","F","6.5",99
"39",2008,"W. Yana","F","6.5",115
"40",2008,"W. Yana","F","4.5",99
"41",2008,"W. Yana","F","4.5",103
"42",2008,"W. Yana","F","5.5",113
"43",2008,"W. Yana","F","6.5",135
"44",2008,"W. Yana","F","4.5",112
"45",2008,"W. Yana","F","6.5",121
"46",2008,"W. Yana","F","4.5",107
"47",2008,"W. Yana","F","5.5",113
"48",2008,"W. Yana","F","6.5",105
"49",2008,"W. Yana","F","5.5",127
"50",2008,"W. Yana","F","6.5",93
"51",2008,"W. Yana","F","6.5",120
"52",2008,"W. Yana","F","5.5",132
"53",2008,"W. Yana","F","4.5",109
"54",2008,"W. Yana","F","5.5",114
"55",2008,"W. Yana","F","5.5",98
"56",2008,"W. Yana","F","5.5",101
"57",2008,"W. Yana","F","5.5",111
"58",2008,"W. Yana","F","6.5",124
"59",2008,"S.E. Toro","F","4.5",118
"60",2009,"W Yana","F","7.5",106
"61",2009,"W Yana","F","7.5",113
"62",2009,"W Yana","F","6.5",115
"63",2009,"W Yana","F","6.5",121
"64",2009,"W Yana","F","7.5",91
"65",2009,"W Yana","F","6.5",129
"66",2009,"W Yana","F","5.5",112
"67",2009,"W Yana","F","6.5",115
"68",2009,"W Yana","F","7.5",118
"69",2009,"W Yana","F","7.5",116
"70",2009,"W Yana","F","7.5",130
"71",2009,"W Yana","F","6.5",100
"72",2009,"SE Toro","F","5.5",80
"73",2009,"SE Toro","F","4.5",113
"74",2009,"W Yana","F","5.5",109
"75",2009,"W Yana","F","5.5",100
"76",2009,"W Yana","F","6.5",107
"77",2009,"W Yana","F","5.5",103
"78",2009,"W Yana","F","5.5",106
"79",2009,"W Yana","F","6.5",120
"80",2009,"W Yana","F","5.5",118
"81",2009,"SE Toro","F","6.5",109
"82",2009,"SE Toro","F","2.5",102
"83",2009,"SE Toro","F","5.5",112
"84",2009,"SE Toro","F","2.5",96
"85",2009,"SE Toro","F","3.5",108
"86",2009,"SE Toro","F","6.5",116
"87",2009,"SE Toro","F","3.5",118
"88",2009,"SE Toro","F","4.5",118
"89",2010,"W Yana","F","5.5",112
"90",2010,"W Yana","F","4.5",120
"91",2010,"W Yana","F","6.5",144
"92",2010,"W Yana","F","3.5",108
"93",2010,"W Yana","F","7.5",124
"94",2010,"W Yana","F","5.5",112
"95",2010,"W Yana","F","5.5",116
"96",2010,"W Yana","F","6.5",118
"97",2010,"W Yana","F","7.5",103
"98",2010,"W Yana","F","5.5",119
"99",2010,"W Yana","F","2.5",117
"100",2010,"W Yana","F","5.5",118
"101",2010,"W Yana","F","6.5",129
"102",2010,"W Yana","F","2.5",108
"103",2010,"W Yana","F","2.5",106
"104",2010,"W Yana","F","6.5",120
"105",2010,"W Yana","F","6.5",109
"106",2010,"W Yana","F","5.5",97
"107",2010,"W Yana","F","5.5",121
"108",2010,"W Yana","F","3.5",120
"109",2010,"W Yana","F","3.5",129
"110",2010,"W Yana","F","2.5",109
"111",2010,"W Yana","F","2.5",91
"112",2010,"W Yana","F","2.5",107
"113",2010,"W Yana","F","1.5",106
"114",2010,"W Yana","F","1.5",99
"115",2010,"W Yana","F","4.5",106
"116",2010,"W Yana","F","6.5",118
"117",2010,"W Yana","F","4.5",113
"118",2010,"W Yana","F","3.5",130
"119",2011,"W Yana","F","7.5",111
"120",2011,"W Yana","F","8.5",116
"121",2011,"W Yana","F","7.5",107
"122",2011,"W Yana","F","8.5",107
"123",2011,"W Yana","F","8.5",94
"124",2011,"W Yana","F","6.5",120
"125",2011,"W Yana","F","9.5",68
"126",2011,"W Yana","F","8.5",117
"127",2011,"W Yana","F","2.5",118
"128",2011,"W Yana","F","8.5",118
"129",2011,"W Yana","F","6.5",108
"130",2011,"W Yana","F","3.5",112
"131",2011,"W Yana","F","6.5",113
"132",2011,"W Yana","F","7.5",110
"133",2011,"W Yana","F","3.5",84
"134",2011,"W Yana","F","7.5",87
"135",2011,"W Yana","F","4.5",113
"136",2011,"W Yana","F","6.5",109
"137",2011,"W Yana","F","4.5",135
"138",2011,"W Yana","F","3.5",104
"139",2011,"W Yana","F","4.5",126
"140",2011,"W Yana","F","3.5",127
"141",2011,"W Yana","F","7.5",103
