"","year","pasture","live_weight","age"
"1",2022,"East Yana",113,"5.5"
"2",2022,"East Yana",110,"5.5"
"3",2023,"East Toro",104,"5.5"
"4",2023,"East Toro",84,"2.5"
"5",2023,"West Toro-Fed",103,"5.5"
"6",2021,"East Yana",77,"1.5"
"7",2021,"East Yana",108,"6.5"
"8",2021,"East Yana",110,"3.5"
"9",2021,"Yana",105,"3.5"
"10",2021,"East Toro",127,"5.5"
"11",2021,"East Yana",86,"2.5"
"12",2021,"East Yana",44,"0.5"
"13",2021,"East Yana",127,"2.5"
"14",2021,"East Yana",130,"3.5"
"15",2021,"East Yana",78,"1.5"
"16",2021,"East Yana",51,"0.5"
"17",2021,"East Yana",91,"4.5"
"18",2021,"East Yana",91,"6.5"
"19",2021,"East Yana",39,"0.5"
"20",2021,"East Yana",84,"1.5"
"21",2021,"East Yana",93,"4.5"
"22",2021,"East Yana",114,"5.5"
"23",2021,"East Yana",48,"0.5"
"24",2021,"East Yana",48,"0.5"
"25",2021,"East Yana",95,"3.5"
"26",2021,"East Yana",101,"9.5"
"27",2021,"East Yana",113,"6.5"
"28",2021,"East Yana",56,"0.5"
"29",2021,"East Yana",103,"6.5"
"30",2021,"East Yana",45,"0.5"
"31",2021,"East Toro",100,"4.5"
"32",2021,"East Yana",47,"0.5"
"33",2021,"East Yana",87,"7.5"
"34",2021,"East Yana",83,"2.5"
"35",2021,"East Yana",101,"6.5"
"36",2021,"East Yana",51,"0.5"
"37",2021,"West Yana",90,"10.5"
"38",2021,"Yana",105,"3.5"
"39",2021,"East Yana",106,"4.5"
"40",2021,"East Toro",86,"2.5"
"41",2021,"East Toro",93,"3.5"
"42",2021,"East Toro",92,"5.5"
"43",2021,"East Toro",104,"5.5"
"44",2022,"Yana",106,"2.5"
"45",2022,"Yana",88,"3.5"
"46",2022,"Yana",99,"4.5"
"47",2022,"Yana",110,"4.5"
"48",2022,"Yana",113,"6.5"
"49",2022,"Yana",56,"1.5"
"50",2022,"Yana",97,"4.5"
"51",2022,"Yana",88,"3.5"
"52",2022,"Yana",95,"3.5"
"53",2022,"Yana",97,"2.5"
"54",2022,"Yana",116,"6.5"
"55",2022,"Yana",97,"3.5"
"56",2022,"Yana",119,"4.5"
"57",2022,"Yana",113,"5.5"
"58",2022,"Yana",125,"3.5"
"59",2022,"Yana",78,"1.5"
"60",2022,"Yana",101,"6.5"
"61",2022,"East Toro",108,"4.5"
"62",2022,"East Toro",73,"2.5"
"63",2022,"Yana",109,"6.5"
"66",2022,"East Toro",88,"3.5"
"67",2022,"East Toro",96,"3.5"
"68",2022,"East Toro",93,"5.5"
"69",2022,"East Toro",64,"0.5"
"70",2022,"Yana",84,"1.5"
"71",2022,"Yana",103,"5.5"
"72",2022,"Yana",114,"5.5"
"73",2022,"Yana",100,"4.5"
"74",2022,"West Toro-Fed",106,"6.5"
"75",2022,"West Toro-Fed",118,"7.5"
"76",2022,"West Toro-Fed",92,"4.5"
"77",2022,"West Toro-Fed",101,"4.5"
"78",2022,"West Toro-Fed",73,"5.5"
"79",2022,"West Toro-Fed",101,"6.5"
"80",2022,"West Toro-Fed",108,"7.5"
"81",2022,"West Toro-Fed",106,"6.5"
"82",2022,"West Toro-Fed",70,"5.5"
"83",2022,"West Toro-Fed",97,"7.5"
"84",2022,"East Toro",70,"0.5"
"85",2022,"East Toro",96,"7.5"
"86",2022,"SE Toro",105,"6.5"
"87",2022,"West Toro-Fed",106,"6.5"
"88",2022,"SE Toro",109,"6.5"
"89",2022,"West Toro-Fed",97,"4.5"
"90",2022,"West Toro-Fed",100,"5.5"
"91",2022,"SE Toro",112,"5.5"
"92",2022,"Yana",47,"0.5"
"93",2022,"East Toro",48,"0.5"
"94",2022,"East Toro",56,"1.5"
"95",2022,"East Toro",104,"5.5"
"96",2022,"East Toro",101,"6.5"
"97",2022,"East Toro",104,"6.5"
"98",2022,"East Toro",105,"4.5"
"99",2022,"East Toro",112,"3.5"
"100",2022,"West Toro-Fed",125,"5.5"
"101",2022,"East Yana",109,"6.5"
"102",2022,"East Yana",90,"1.5"
"103",2022,"East Yana",92,"4.5"
"104",2022,"East Yana",109,"5.5"
"105",2022,"East Yana",103,"4.5"
"106",2022,"East Yana",101,"8.5"
"107",2022,"West Yana",93,"8.5"
"108",2022,"West Yana",91,"4.5"
"109",2022,"West Yana",109,"7.5"
"110",2022,"West Yana",83,"1.5"
"111",2022,"West Yana",71,"1.5"
"112",2022,"West Yana",103,"4.5"
"113",2022,"West Yana",104,"8.5"
"114",2022,"West Yana",109,"3.5"
"115",2022,"West Yana",99,"9.5"
"116",2022,"East Yana",51,"0.5"
"117",2022,"East Yana",43,"0.5"
"118",2022,"East Yana",49,"0.5"
"119",2022,"East Yana",53,"0.5"
"120",2022,"East Yana",55,"0.5"
"121",2022,"East Yana",53,"0.5"
"122",2022,"West Yana",38,"0.5"
"123",2022,"East Yana",45,"0.5"
"124",2022,"West Yana",39,"0.5"
"125",2022,"West Yana",43,"0.5"
"126",2022,"SE Toro",105,"7.5"
"127",2022,"SE Toro",100,"6.5"
"128",2022,"SE Toro",105,"2.5"
"129",2022,"SE Toro",103,"5.5"
"130",2022,"SE Toro",93,"3.5"
"131",2022,"SE Toro",106,"6.5"
"132",2020,"East Toro",101,"3.5"
"133",2020,"East Toro",99,"4.5"
"134",2020,"Yana",104,"4.5"
"135",2020,"East Yana",48,"0.5"
"136",2020,"East Yana",54,"0.5"
"137",2020,"East Yana",36,"0.5"
"138",2020,"East Yana",52,"0.5"
"139",2020,"East Yana",54,"0.5"
"140",2020,"East Yana",40,"0.5"
"141",2020,"East Yana",50,"0.5"
"142",2020,"East Yana",59,"0.5"
"143",2020,"East Yana",59,"0.5"
"144",2020,"East Yana",49,"0.5"
"145",2020,"East Yana",62,"0.5"
"146",2020,"East Yana",95,"1.5"
"147",2020,"East Yana",52,"0.5"
"148",2020,"East Yana",46,"0.5"
"149",2020,"East Yana",48,"0.5"
"150",2020,"East Yana",49,"0.5"
"151",2020,"East Yana",48,"0.5"
"152",2020,"East Yana",58,"0.5"
"153",2020,"East Yana",54,"0.5"
"154",2020,"East Yana",81,"1.5"
"155",2020,"West Yana",40,"0.5"
"156",2020,"West Yana",36,"0.5"
"157",2020,"West Yana",49,"0.5"
"158",2020,"West Toro-Fed",116,"7.5"
"159",2020,"East Toro",87,"3.5"
"160",2020,"East Yana",114,"4.5"
"161",2020,"East Toro",138,"9.5"
"162",2020,"East Yana",104,"5.5"
"163",2020,"East Yana",106,"5.5"
"164",2020,"West Toro-Fed",62,"1.5"
"165",2020,"West Toro-Fed",119,"7.5"
"166",2021,"Yana",105,"7.5"
"167",2021,"Yana",90,"4.5"
"168",2021,"Yana",101,"3.5"
"169",2021,"East Toro",82,"3.5"
"170",2021,"East Toro",87,"3.5"
"171",2021,"East Toro",92,"6.5"
"172",2021,"East Toro",104,"5.5"
"173",2021,"East Toro",91,"3.5"
"174",2021,"East Toro",66,"3.5"
"175",2021,"SE Toro",108,"6.5"
"176",2021,"SE Toro",130,"4.5"
"177",2021,"SE Toro",93,"1.5"
"178",2021,"SE Toro",129,"6.5"
