"year","birthsite","animal_id","year_cap","year_birth","age","weight","weightkg","points_total","mass_total","bcsin","bcscm","sum.jun.jul.aug","sum.march.apr.may","sum.sept.oct","oct","annual"
2008,"dmp","270-2007-1-012",2008,2007,1,125,57,2,11,19.5,50,13.2,5.6,1,3,20.3
2008,"dmp","270-2007-1-001",2008,2007,1,131,60,8,18.375,68,173,13.2,5.6,1,3,20.3
2008,"dmp","270-2007-1-061",2008,2007,1,111,50,5,13.875,51.5,131,13.2,5.6,1,3,20.3
2008,"dmp","270-2007-1-006",2008,2007,1,125,57,2,18,34.125,87,13.2,5.6,1,3,20.3
2008,"dmp","270-2007-1-056",2008,2007,1,132,60,3,12.625,26.875,68,13.2,5.6,1,3,20.3
2008,"dmp","270-2007-1-058",2008,2007,1,122,55,6,19.125,53.5,136,13.2,5.6,1,3,20.3
2008,"dmp","270-2007-1-051",2008,2007,1,134,61,6,17.25,64.375,164,13.2,5.6,1,3,20.3
2008,"dmp","270-2007-1-066",2008,2007,1,108,49,5,16.75,53.875,137,13.2,5.6,1,3,20.3
2008,"dmp","270-2007-1-007",2008,2007,1,147,67,6,20.25,68.5,174,13.2,5.6,1,3,20.3
2008,"dmp","270-2007-1-057",2008,2007,1,95,43,2,13,20.125,51,13.2,5.6,1,3,20.3
2008,"dmp","270-2007-1-053",2008,2007,1,136,62,4,13.25,47.625,121,13.2,5.6,1,3,20.3
2008,"ey","90-2007-0-016",2008,2007,1,111,50,3,13.625,31.25,79,11.8,4.8,0.7,0.5,18.3
2008,"ey","90-2007-0-038",2008,2007,1,119,54,2,13,31.625,80,11.8,4.8,0.7,0.5,18.3
2008,"ey","90-2007-0-040",2008,2007,1,151,69,2,14,36.75,93,11.8,4.8,0.7,0.5,18.3
2008,"ey","90-2007-0-046",2008,2007,1,139,63,2,13.5,40.25,102,11.8,4.8,0.7,0.5,18.3
2008,"ey","90-2007-0-039",2008,2007,1,119,54,2,11,17.375,44,11.8,4.8,0.7,0.5,18.3
2008,"ey","90-2007-0-032",2008,2007,1,136,62,4,15.5,46,117,11.8,4.8,0.7,0.5,18.3
2008,"ey","90-2007-0-031",2008,2007,1,130,59,2,11,23.5,60,11.8,4.8,0.7,0.5,18.3
2008,"ey","90-2007-0-029",2008,2007,1,150,68,9,20.25,73.25,186,11.8,4.8,0.7,0.5,18.3
2008,"ey","90-2007-0-036",2008,2007,1,150,68,7,16.875,57.375,146,11.8,4.8,0.7,0.5,18.3
2008,"ey","90-2007-0-019",2008,2007,1,102,46,2,11,25.375,64,11.8,4.8,0.7,0.5,18.3
2008,"ey","90-2007-0-024",2008,2007,1,127,58,2,14.875,19.875,50,11.8,4.8,0.7,0.5,18.3
2008,"ey","90-2007-0-048",2008,2007,1,140,64,2,15.5,44.25,112,11.8,4.8,0.7,0.5,18.3
2009,"dmp","270-2007-1-051",2009,2007,2,175,80,9,27.5,127,323,4.1,5.6,8.4,1.5,20.4
2009,"dmp","270-2007-1-066",2009,2007,2,136,62,9,23.875,98,249,4.1,5.6,8.4,1.5,20.4
2009,"dmp","270-2008-1-006",2009,2008,1,110,50,7,18.25,71.875,183,4.1,5.6,8.4,1.5,20.4
2009,"dmp","270-2008-1-014",2009,2008,1,116,53,5,16.25,50.875,129,4.1,5.6,8.4,1.5,20.4
2009,"dmp","270-2008-1-008",2009,2008,1,89,40,3,19.25,52,132,4.1,5.6,8.4,1.5,20.4
2009,"dmp","270-2007-1-065",2009,2007,2,170,77,11,23,113.875,289,4.1,5.6,8.4,1.5,20.4
2009,"dmp","270-2008-1-018",2009,2008,1,99,45,2,17.5,40.125,102,4.1,5.6,8.4,1.5,20.4
2009,"dmp","270-2007-1-001",2009,2007,2,165,75,8,25,100.625,256,4.1,5.6,8.4,1.5,20.4
2009,"dmp","270-2008-1-012",2009,2008,1,98,45,2,15,29.25,74,4.1,5.6,8.4,1.5,20.4
2009,"dmp","270-2007-1-006",2009,2007,2,161,73,8,20.875,87.25,222,4.1,5.6,8.4,1.5,20.4
2009,"dmp","270-2007-1-053",2009,2007,2,168,76,8,22.5,88.875,226,4.1,5.6,8.4,1.5,20.4
2009,"dmp","270-2008-1-011",2009,2008,1,99,45,5,13.875,45.75,116,4.1,5.6,8.4,1.5,20.4
2009,"dmp","270-2007-1-011",2009,2007,2,165,75,5,16.625,54.25,138,4.1,5.6,8.4,1.5,20.4
2009,"dmp","270-2007-1-007",2009,2007,2,173,79,8,25.75,109.375,278,4.1,5.6,8.4,1.5,20.4
2009,"dmp","270-2007-1-056",2009,2007,2,167,76,8,23.75,99.375,252,4.1,5.6,8.4,1.5,20.4
2009,"dmp","270-2008-1-019",2009,2008,1,115,52,3,15.75,37.5,95,4.1,5.6,8.4,1.5,20.4
2009,"dmp","270-2007-1-012",2009,2007,2,165,75,9,22.375,96.5,245,4.1,5.6,8.4,1.5,20.4
2009,"dmp","270-2007-1-058",2009,2007,2,169,77,10,32.75,133,338,4.1,5.6,8.4,1.5,20.4
2009,"dmp","270-2008-1-013",2009,2008,1,116,53,4,16.125,51.875,132,4.1,5.6,8.4,1.5,20.4
2009,"dmp","270-2008-1-022",2009,2008,1,108,49,6,15.5,49.25,125,4.1,5.6,8.4,1.5,20.4
2009,"dmp","270-2007-1-057",2009,2007,2,131,60,5,18.5,81.125,206,4.1,5.6,8.4,1.5,20.4
2009,"dmp","270-2008-1-017",2009,2008,1,119,54,7,16.25,65,165,4.1,5.6,8.4,1.5,20.4
2009,"ey","90-2007-0-036",2009,2007,2,185,84,8,20.875,91.375,232,3.9,5.6,7.3,NA,19.1
2009,"ey","90-2008-0-034",2009,2008,1,132,60,8,14.375,61.25,156,3.9,5.6,7.3,NA,19.1
2009,"ey","90-2007-0-016",2009,2007,2,140,64,8,18.25,79.875,203,3.9,5.6,7.3,NA,19.1
2009,"ey","90-2008-0-042",2009,2008,1,121,55,5,16.875,57.5,146,3.9,5.6,7.3,NA,19.1
2009,"ey","90-2007-0-024",2009,2007,2,155,70,5,18.5,69.875,177,3.9,5.6,7.3,NA,19.1
2009,"ey","90-2008-0-054",2009,2008,1,121,55,4,13.875,48,122,3.9,5.6,7.3,NA,19.1
2009,"ey","90-2007-0-045",2009,2007,2,179,81,8,26.125,117.875,299,3.9,5.6,7.3,NA,19.1
2009,"ey","90-2008-0-055",2009,2008,1,125,57,3,14.5,43.375,110,3.9,5.6,7.3,NA,19.1
2009,"ey","90-2007-0-048",2009,2007,2,169,77,8,20.375,92.75,236,3.9,5.6,7.3,NA,19.1
2009,"ey","90-2008-0-059",2009,2008,1,115,52,3,16.5,49.75,126,3.9,5.6,7.3,NA,19.1
2009,"ey","90-2007-0-040",2009,2007,2,143,65,8,19.125,80,203,3.9,5.6,7.3,NA,19.1
2009,"ey","90-2008-0-056",2009,2008,1,116,53,3,17,50.75,129,3.9,5.6,7.3,NA,19.1
2009,"ey","90-2008-0-039",2009,2008,1,116,53,1,8,15.5,39,3.9,5.6,7.3,NA,19.1
2009,"ey","90-2008-0-033",2009,2008,1,114,52,6,18.375,65.75,167,3.9,5.6,7.3,NA,19.1
2009,"ey","90-2008-0-040",2009,2008,1,110,50,2,18.5,42.375,108,3.9,5.6,7.3,NA,19.1
2009,"ey","90-2007-0-032",2009,2007,2,175,80,8,20.5,95.75,243,3.9,5.6,7.3,NA,19.1
2009,"ey","90-2007-0-049",2009,2007,2,179,81,8,22.875,110,279,3.9,5.6,7.3,NA,19.1
2009,"ey","90-2008-0-057",2009,2008,1,121,55,7,14.625,60.125,153,3.9,5.6,7.3,NA,19.1
2009,"ey","90-2007-0-031",2009,2007,2,156,71,9,19.75,80.75,205,3.9,5.6,7.3,NA,19.1
2009,"ey","90-2008-0-041",2009,2008,1,111,50,7,15.25,55.5,141,3.9,5.6,7.3,NA,19.1
2009,"ey","90-2007-0-029",2009,2007,2,178,81,10,31,129.625,329,3.9,5.6,7.3,NA,19.1
2009,"ey","90-2008-0-032",2009,2008,1,125,57,5,16.625,54,137,3.9,5.6,7.3,NA,19.1
2009,"ey","90-2008-0-037",2009,2008,1,129,59,7,17,62,157,3.9,5.6,7.3,NA,19.1
2009,"ey","90-2007-0-039",2009,2007,2,152,69,8,19.375,80.125,204,3.9,5.6,7.3,NA,19.1
2009,"ey","90-2008-0-052",2009,2008,1,113,51,4,15.125,50.375,128,3.9,5.6,7.3,NA,19.1
2010,"dmp","270-2007-1-066",2010,2007,3,164,75,17,32.5,150.5,382,9.7,8.6,7.4,2.4,31.8
2010,"dmp","270-2009-1-011",2010,2009,1,114,52,3,12.75,35.125,89,9.7,8.6,7.4,2.4,31.8
2010,"dmp","270-2008-1-017",2010,2008,2,145,66,9,23.875,119.75,304,9.7,8.6,7.4,2.4,31.8
