"animal_id","birthsite","year_birth","year_cap","age","weight.lb","weight.kg","antler.in","antler.cm","annual.by","annual.cy","by.rain.bin","cy.rain.bin","match"
"270-2007-1-006","dmp",2007,2008,1,125,56.82,34.125,86.68,38.35,20.3,"wet","intermediate","2"
"270-2007-1-053","dmp",2007,2008,1,136,61.82,47.625,120.97,38.35,20.3,"wet","intermediate","2"
"270-2007-1-066","dmp",2007,2008,1,108,49.09,53.875,136.84,38.35,20.3,"wet","intermediate","2"
"270-2007-1-058","dmp",2007,2008,1,122,55.45,53.5,135.89,38.35,20.3,"wet","intermediate","2"
"270-2007-1-057","dmp",2007,2008,1,95,43.18,20.125,51.12,38.35,20.3,"wet","intermediate","2"
"270-2007-1-051","dmp",2007,2008,1,134,60.91,64.375,163.51,38.35,20.3,"wet","intermediate","2"
"270-2007-1-012","dmp",2007,2008,1,125,56.82,19.5,49.53,38.35,20.3,"wet","intermediate","2"
"270-2007-1-007","dmp",2007,2008,1,147,66.82,68.5,173.99,38.35,20.3,"wet","intermediate","2"
"270-2007-1-061","dmp",2007,2008,1,111,50.45,51.5,130.81,38.35,20.3,"wet","intermediate","2"
"270-2007-1-001","dmp",2007,2008,1,131,59.55,68,172.72,38.35,20.3,"wet","intermediate","2"
"270-2007-1-056","dmp",2007,2008,1,132,60,26.875,68.26,38.35,20.3,"wet","intermediate","2"
"270-2008-1-018","dmp",2008,2009,1,99,45,40.125,101.92,20.3,20.4,"intermediate","intermediate","1"
"270-2008-1-013","dmp",2008,2009,1,116,52.73,51.875,131.76,20.3,20.4,"intermediate","intermediate","1"
"270-2008-1-011","dmp",2008,2009,1,99,45,45.75,116.2,20.3,20.4,"intermediate","intermediate","1"
"270-2007-1-012","dmp",2007,2009,2,165,75,96.5,245.11,38.35,20.4,"wet","intermediate","2"
"270-2007-1-053","dmp",2007,2009,2,168,76.36,88.875,225.74,38.35,20.4,"wet","intermediate","2"
"270-2007-1-006","dmp",2007,2009,2,161,73.18,87.25,221.62,38.35,20.4,"wet","intermediate","2"
"270-2007-1-011","dmp",2007,2009,2,165,75,54.25,137.8,38.35,20.4,"wet","intermediate","2"
"270-2008-1-017","dmp",2008,2009,1,119,54.09,65,165.1,20.3,20.4,"intermediate","intermediate","1"
"270-2008-1-006","dmp",2008,2009,1,110,50,71.875,182.56,20.3,20.4,"intermediate","intermediate","1"
"270-2008-1-008","dmp",2008,2009,1,89,40.45,52,132.08,20.3,20.4,"intermediate","intermediate","1"
"270-2007-1-058","dmp",2007,2009,2,169,76.82,133,337.82,38.35,20.4,"wet","intermediate","2"
"270-2007-1-057","dmp",2007,2009,2,131,59.55,81.125,206.06,38.35,20.4,"wet","intermediate","2"
"270-2007-1-001","dmp",2007,2009,2,165,75,100.625,255.59,38.35,20.4,"wet","intermediate","2"
"270-2008-1-014","dmp",2008,2009,1,116,52.73,50.875,129.22,20.3,20.4,"intermediate","intermediate","1"
"270-2007-1-056","dmp",2007,2009,2,167,75.91,99.375,252.41,38.35,20.4,"wet","intermediate","2"
"270-2007-1-007","dmp",2007,2009,2,173,78.64,109.375,277.81,38.35,20.4,"wet","intermediate","2"
"270-2008-1-012","dmp",2008,2009,1,98,44.55,29.25,74.3,20.3,20.4,"intermediate","intermediate","1"
"270-2008-1-022","dmp",2008,2009,1,108,49.09,49.25,125.1,20.3,20.4,"intermediate","intermediate","1"
"270-2007-1-066","dmp",2007,2009,2,136,61.82,98,248.92,38.35,20.4,"wet","intermediate","2"
"270-2008-1-019","dmp",2008,2009,1,115,52.27,37.5,95.25,20.3,20.4,"intermediate","intermediate","1"
"270-2007-1-065","dmp",2007,2009,2,170,77.27,113.875,289.24,38.35,20.4,"wet","intermediate","2"
"270-2007-1-051","dmp",2007,2009,2,175,79.55,127,322.58,38.35,20.4,"wet","intermediate","2"
"270-2007-1-007","dmp",2007,2010,3,210,95.45,126,320.04,38.35,31.8,"wet","wet","1"
"270-2009-1-011","dmp",2009,2010,1,114,51.82,35.125,89.22,20.4,31.8,"intermediate","wet","3"
"270-2007-1-006","dmp",2007,2010,3,201,91.36,122.75,311.79,38.35,31.8,"wet","wet","1"
"270-2008-1-011","dmp",2008,2010,2,140,63.64,105.75,268.6,20.3,31.8,"intermediate","wet","3"
"270-2007-1-051","dmp",2007,2010,3,208,94.55,155,393.7,38.35,31.8,"wet","wet","1"
"270-2009-1-002","dmp",2009,2010,1,124,56.36,50.875,129.22,20.4,31.8,"intermediate","wet","3"
"270-2009-1-033","dmp",2009,2010,1,112,50.91,61.5,156.21,20.4,31.8,"intermediate","wet","3"
"270-2008-1-019","dmp",2008,2010,2,145,65.91,90,228.6,20.3,31.8,"intermediate","wet","3"
"270-2007-1-057","dmp",2007,2010,3,155,70.45,111.5,283.21,38.35,31.8,"wet","wet","1"
"270-2009-1-023","dmp",2009,2010,1,91,41.36,79.625,202.25,20.4,31.8,"intermediate","wet","3"
"270-2007-1-056","dmp",2007,2010,3,198,90,145.125,368.62,38.35,31.8,"wet","wet","1"
"270-2008-1-013","dmp",2008,2010,2,143,65,114.375,290.51,20.3,31.8,"intermediate","wet","3"
"270-2008-1-028","dmp",2008,2010,2,115,52.27,91.125,231.46,20.3,31.8,"intermediate","wet","3"
"270-2009-1-009","dmp",2009,2010,1,119,54.09,58.375,148.27,20.4,31.8,"intermediate","wet","3"
"270-2008-1-012","dmp",2008,2010,2,137,62.27,93.5,237.49,20.3,31.8,"intermediate","wet","3"
"270-2009-1-020","dmp",2009,2010,1,126,57.27,83.25,211.46,20.4,31.8,"intermediate","wet","3"
"270-2007-1-001","dmp",2007,2010,3,172,78.18,117.875,299.4,38.35,31.8,"wet","wet","1"
"270-2007-1-066","dmp",2007,2010,3,164,74.55,150.5,382.27,38.35,31.8,"wet","wet","1"
"270-2008-1-018","dmp",2008,2010,2,150,68.18,112.5,285.75,20.3,31.8,"intermediate","wet","3"
"270-2008-1-014","dmp",2008,2010,2,159,72.27,99.625,253.05,20.3,31.8,"intermediate","wet","3"
