"Capture.Year","birthsite","Age","count"
2007,"dmp",0.5,18
2007,"ey",0.5,18
2008,"dmp",0.5,16
2008,"dmp",1.5,11
2008,"ey",0.5,19
2008,"ey",1.5,12
2009,"dmp",0.5,17
2009,"dmp",1.5,10
2009,"dmp",2.5,12
2009,"ey",0.5,19
2009,"ey",1.5,14
2009,"ey",2.5,11
2010,"dmp",0.5,26
2010,"dmp",1.5,11
2010,"dmp",2.5,8
2010,"dmp",3.5,9
2010,"ey",0.5,15
2010,"ey",1.5,14
2010,"ey",2.5,12
2010,"ey",3.5,4
2011,"dmp",0.5,26
2011,"dmp",1.5,17
2011,"dmp",2.5,11
2011,"dmp",3.5,6
2011,"dmp",4.5,10
2011,"ey",0.5,20
2011,"ey",1.5,7
2011,"ey",2.5,15
2011,"ey",3.5,10
2011,"ey",4.5,10
2011,"wy",0.5,11
2012,"dmp",0.5,25
2012,"dmp",1.5,13
2012,"dmp",2.5,13
2012,"dmp",3.5,10
2012,"dmp",4.5,9
2012,"dmp",5.5,8
2012,"ey",0.5,17
2012,"ey",1.5,14
2012,"ey",2.5,14
2012,"ey",3.5,15
2012,"ey",4.5,13
2012,"ey",5.5,8
2012,"wy",0.5,18
2012,"wy",1.5,8
2013,"dmp",0.5,22
2013,"dmp",1.5,14
2013,"dmp",2.5,14
2013,"dmp",3.5,12
2013,"dmp",4.5,8
2013,"dmp",5.5,6
2013,"dmp",6.5,8
2013,"ey",0.5,20
2013,"ey",1.5,11
2013,"ey",2.5,12
2013,"ey",3.5,12
2013,"ey",4.5,15
2013,"ey",5.5,11
2013,"ey",6.5,8
2013,"wy",0.5,15
2013,"wy",1.5,16
2013,"wy",2.5,6
2014,"dmp",0.5,20
2014,"dmp",1.5,13
2014,"dmp",2.5,13
2014,"dmp",3.5,11
2014,"dmp",4.5,11
2014,"dmp",5.5,8
2014,"dmp",6.5,8
2014,"dmp",7.5,6
2014,"ey",0.5,20
2014,"ey",1.5,14
2014,"ey",2.5,12
2014,"ey",3.5,11
2014,"ey",4.5,11
2014,"ey",5.5,12
2014,"ey",6.5,11
2014,"ey",7.5,6
2014,"wy",0.5,15
2014,"wy",1.5,9
2014,"wy",2.5,14
2014,"wy",3.5,6
2015,"dmp",0.5,24
2015,"dmp",1.5,5
2015,"dmp",2.5,11
2015,"dmp",3.5,15
2015,"dmp",4.5,9
2015,"dmp",5.5,11
2015,"dmp",6.5,7
2015,"dmp",7.5,7
2015,"dmp",8.5,6
2015,"ey",0.5,23
2015,"ey",1.5,14
2015,"ey",2.5,18
2015,"ey",3.5,13
2015,"ey",4.5,10
2015,"ey",5.5,10
2015,"ey",6.5,11
