"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"ageclass.beta[1]",45.7037736027199,1.10134492248326,43.5674232377128,45.025266374749,45.6534883961563,46.4057329286203,47.9573923826185,1.00720276148977,241,0,1
"ageclass.beta[2]",95.2949633181198,1.01354019662327,93.2886496026887,94.6281609438066,95.2629526489625,96.0075506467038,97.2987164602087,1.00755654483248,450,0,1
"ageclass.beta[3]",122.836100630743,1.1566244931381,120.478489770036,122.109302022265,122.821592119585,123.669942205477,125.06696881795,1.00065715175817,450,0,1
"ageclass.beta[4]",139.370461409374,1.18960920947062,137.013807919743,138.497177809986,139.382678796422,140.250777377716,141.511919094359,1.00401758580973,372,0,1
"ageclass.beta[5]",149.919084866713,1.36395233443783,147.311971179281,149.007738858256,149.890580595203,150.909676423897,152.401800003042,1.03494096343783,65,0,1
"ageclass.beta[6]",155.871509358239,1.48414324629088,152.886385369773,154.801586875085,155.898627305913,156.840510433049,158.794427886492,0.998224445982386,450,0,1
"ageclass.beta[7]",158.543785384439,1.63973943759779,154.975152243754,157.574134813931,158.606650186728,159.61070909233,161.463483679464,0.999311900397531,450,0,1
"ageclass.beta[8]",157.660621915861,1.91848588651472,154.105843516169,156.285745195345,157.789856420922,158.998992251456,161.199400718294,1.00563455985449,382,0,1
"ageclass.beta[9]",154.713509141452,2.35733841925588,150.252616438139,153.085030644134,154.693395082704,156.263337784328,159.486068844619,0.999576275875998,450,0,1
"ageclass.beta[10]",146.996470254727,3.03559832135454,141.202467025445,145.00306915665,146.967229236786,148.959676086632,152.783591395104,0.999486516304057,450,0,1
"ageclass.beta[11]",140.241484643533,5.0003947405525,130.523410391824,136.886865211291,140.261583882195,143.612775590096,150.182969624053,1.00515852158331,249,0,1
"ageclass.beta[12]",131.906997686085,14.2853327828639,101.852497075909,122.892360847845,132.10597419422,141.397185956779,159.180035602669,0.997069319281219,450,0,1
"antler_difference[1]",112.840011781719,1.88208847622043,109.275776101244,111.519958171834,112.922538650709,114.047138586583,116.633499850375,0.99940110439354,450,0,1
"antler_difference[2]",63.2488220663193,1.92327801131652,59.3369217205211,61.9225561220754,63.3598922115771,64.4953766081935,66.9355187507502,1.00255064650702,450,0,1
"antler_difference[3]",35.7076847536961,2.07740476676038,31.7022567836544,34.3376583692318,35.7740336187568,37.2237572104463,39.7225319209712,1.00316635234009,450,0,1
"antler_difference[4]",19.1733239750653,1.99865264213441,15.3019078320592,17.7480771504671,19.0850613809515,20.5151482349363,23.433084453524,0.999454782527447,450,0,1
"antler_difference[5]",8.62470051772612,2.19029006196298,4.40516206751981,7.115594994733,8.54693461569663,10.2277426655005,12.8708924442243,1.02094963145323,102,0,1
"antler_difference[6]",2.67227602620044,2.21912399342014,-2.10380938430024,1.15750149437932,2.8002160146042,4.12859453580678,6.66193065604989,0.998119720911961,450,1,0.888888888888889
"antler_difference[7]",0,0,0,0,0,0,0,NA,1,0,1
"antler_difference[8]",0.883163468578106,2.47106137059212,-3.89333376043265,-0.815492030625805,0.850073289417111,2.54604842466288,5.60483296806278,1.00047860770012,450,1,0.64
"antler_difference[9]",3.8302762429871,2.92857125674521,-1.82853783018249,1.88003603393782,3.82187923078249,5.78434521863624,9.79669916868282,0.997705104733788,450,1,0.913333333333333
"antler_difference[10]",11.5473151297125,3.4596928432404,5.08534527331325,9.26222740079049,11.6642845451833,14.0243422238697,17.915001674783,0.998108859148928,450,0,1
"antler_difference[11]",18.3023007409058,5.25608650948212,8.31680784203434,14.7293444083039,18.1416386131038,21.9885319422506,28.7074453554784,1.00454204869629,259,0,1
"antler_difference[12]",26.636787698354,14.407981930359,-0.179065994252778,17.1432834217562,26.4083359180338,36.0375976285728,56.4183238629459,0.997451810605356,450,1,0.973333333333333
"deviance",19676.8964398933,4.91663877607875,19668.877656655,19673.3241170424,19676.4106104005,19679.7691485936,19688.5393776328,1.0060495145735,303,0,1
