"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"beta1",25.1458788838724,15.4106770430329,-6.02388263149118,15.0119972803513,24.9912061483569,35.5223678100566,55.0938366951327,1.0018500000377,775,1,0.946666666666667
"beta2[1]",118.806426516769,0.433808320715535,118.04092006927,118.498841093484,118.784149614152,119.103758351011,119.646767547185,0.998950607011754,900,0,1
"beta2[2]",112.345663131733,0.386251612456454,111.58657239301,112.105183017861,112.344931609528,112.594853266744,113.064297481671,0.999857143504263,900,0,1
"beta2[3]",115.077861367312,0.477493585726626,114.232350250654,114.733493352467,115.075912426007,115.391173150002,116.047319873206,1.00446095104162,900,0,1
"beta3[1]",3.73869563605331,15.4108938200205,-25.7157929350319,-6.67577685250093,3.84324407342904,13.932534861558,34.9521442283657,1.00183129835728,762,1,0.595555555555556
"beta3[2]",10.3071554984747,15.4342502939084,-19.3055602559029,-0.151500319378346,10.6464000925951,20.5607373643715,41.4940082392831,1.0017100024784,792,1,0.747777777777778
"beta3[3]",9.04929848790647,15.3937575119868,-21.011639978562,-1.43562916500092,9.38920720746945,19.0881009941642,40.3373222398239,1.0017930474917,820,1,0.721111111111111
"response[1,1]",84.1442779610174,0.654995509932249,82.8913516710058,83.6971366909754,84.1399860658165,84.587381641189,85.4141734030657,0.999814862259872,900,0,1
"response[2,1]",85.3860485005826,0.641841048806017,84.1545057331589,84.9461836025569,85.3776242671706,85.8164452903225,86.6283647012567,0.999743575427425,900,0,1
"response[3,1]",86.6278190401478,0.628909617726257,85.4160315762565,86.1957586182037,86.616691983901,87.0481197378034,87.843151103702,0.999670376317512,900,0,1
"response[4,1]",87.869589579713,0.616215257876617,86.6798518746152,87.4442696716278,87.8675053624851,88.283846608655,89.060824091319,0.999595495155036,900,0,1
"response[5,1]",89.1113601192782,0.603772922750335,87.9425203495522,88.6958399718859,89.111674094523,89.5153476866912,90.2931434483399,0.999519224535592,900,0,1
"response[6,1]",90.3531306588434,0.591598514102425,89.2132810890896,89.9382181252716,90.3551676032572,90.7484554466111,91.5257364130526,0.999441926934105,900,0,1
"response[7,1]",91.5949011984086,0.579708912269848,90.4875922366965,91.1817079528195,91.5993851112543,91.9829491935476,92.739824843484,0.999364041854677,900,0,1
"response[8,1]",92.8366717379738,0.568121998761852,91.7604318742618,92.425716805015,92.8379234851585,93.2145396039514,93.9539132739153,0.999286092127498,900,0,1
"response[9,1]",94.078442277539,0.556856668653984,93.0426599814955,93.6773514415101,94.0743846153574,94.4476738281712,95.1753603794378,0.999208688717165,900,0,1
"response[10,1]",95.3202128171041,0.545932829940499,94.3119821560151,94.9240347796275,95.3117531711538,95.6837971214569,96.3986974796964,0.999132533256952,900,0,1
"response[11,1]",96.5619833566693,0.535371386632167,95.5871106194359,96.178510001426,96.5530889031365,96.917231472781,97.6225566739751,0.999058417387673,900,0,1
"response[12,1]",97.8037538962345,0.525194202059805,96.8517643062946,97.4239281246801,97.7914498871535,98.1508677696735,98.8552785324486,0.998987217864939,900,0,1
"response[13,1]",99.0455244357997,0.515424038598512,98.1078168978059,98.6767763210183,99.0322268560492,99.3839160310945,100.076465444468,0.998919886349375,900,0,1
"response[14,1]",100.287294975365,0.506084469914206,99.365508479045,99.9343485173993,100.275698915255,100.62460412573,101.297267674643,0.998857432838261,900,0,1
"response[15,1]",101.52906551493,0.497199761913322,100.607864644675,101.18174744156,101.520465386851,101.862133496535,102.536027316833,0.998800901879732,900,0,1
"response[16,1]",102.770836054495,0.488794718915993,101.855638030873,102.429475203735,102.762425730991,103.093673599539,103.759953030971,0.998751341071855,900,0,1
"response[17,1]",104.012606594061,0.480894492242158,103.123134302659,103.67452269136,104.005517730849,104.327219796589,104.960973282037,0.998709761928033,900,0,1
