"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"ageclass.beta[1]",-72.1905954149425,9.51586290321987,-91.4333176783037,-78.3899898655399,-72.0149327762372,-65.8607219463465,-53.7054365260926,0.999641390876445,3000,0,1
"ageclass.beta[2]",-19.0974352770279,9.44946276909899,-38.7649520251291,-25.1777762901444,-18.9876546586406,-12.8304986198525,-0.665232353252309,1.00010193425249,3000,0,0.977666666666667
"ageclass.beta[3]",14.5078684791947,9.67345671262389,-4.71181089095054,8.00960184602918,14.4180045285662,20.9751077719885,33.1918842116538,0.999735097237493,3000,1,0.933666666666667
"ageclass.beta[4]",31.4617075009865,9.68380532492557,11.9127526824614,24.9684765752168,31.5805690863799,37.8175652935639,49.8099087071938,0.999606815240841,3000,0,0.999
"ageclass.beta[5]",40.7971714072304,9.70938565531608,21.0261279124797,34.3954135542637,40.7717371903789,47.3145902259791,59.6414432241175,0.999640484178826,3000,0,1
"ageclass.beta[6]",44.2537094455553,9.96013043206363,24.711210991535,37.6793771709329,44.2427199598753,50.816915968501,63.8313259196358,0.999818969694434,3000,0,1
"ageclass.beta[7]",43.5686553156498,10.0545315563622,23.6699367385525,36.8912368194239,43.5357217515151,50.537959009714,62.8134022747748,0.999864021327426,3000,0,1
"ageclass.beta[8]",30.2034438158748,10.2084212079335,9.63518139283779,23.4810337976964,30.2009211931888,37.0899130185871,50.390869589383,1.00001535849232,3000,0,0.997666666666667
"ageclass.beta[9]",33.8773528113382,10.5940146415943,13.0615997863562,27.0290790102242,33.8443848706589,40.9395612378427,54.9686705950735,0.999817695877857,3000,0,0.998333333333333
"ageclass.beta[10]",14.1765401903856,12.0732924922997,-10.2409136475159,6.30978089731402,14.0177663337597,21.9915817615001,38.2644473373445,1.00004553137758,3000,1,0.889666666666667
"ageclass.beta[11]",15.9363086102849,15.0914285987678,-13.5937384128706,5.42706563738838,15.9818443342234,26.1645985124595,44.6788275554085,0.999939023351884,3000,1,0.850333333333333
"ageclass.beta[12]",13.3854233105296,28.6177769100507,-42.3203096190375,-6.09253337244527,13.8028633550694,32.7613530097222,67.6716809972775,1.00031129701337,3000,1,0.680666666666667
"bs.beta[1]",93.2508523524921,9.29811271113606,75.418181118187,86.8863706785698,92.7749501103386,99.4685954083429,111.47119042472,1.00026240982714,3000,0,1
"bs.beta[2]",60.1966238435877,13.39491854387,35.0220996760857,50.8290102773007,59.8533441340415,69.5081430570709,86.7029233930089,1.00125763274735,1455,0,1
"bs.beta[3]",36.5441454301068,19.0812064120953,0.6937656715399,23.3315675913097,35.9865771833744,49.5888366854757,74.3795746484242,1.00172052789941,1110,0,0.976333333333333
"age.bs.beta[1]",27.5298834498877,6.93434942977211,14.2264479814092,22.8072403340951,27.5355837487555,32.2952488285583,41.3510874404323,1.00158540541597,1197,0,1
"age.bs.beta[2]",25.6707225763063,6.85706377555664,12.5114876203905,20.939304388183,25.7761179126372,30.198129137355,38.9701591532978,1.00248664205532,922,0,1
"age.bs.beta[3]",22.2550727490736,6.91320305125976,8.80792844495192,17.5892724571377,22.3023290349055,26.9585352461591,35.4560312666721,1.00177395090389,958,0,0.999666666666667
"age.bs.beta[4]",22.261192313008,6.93856295429911,8.48347229940294,17.6309168688438,22.3228406204073,26.7929643957826,36.0163451132862,1.00189607283315,1074,0,0.999666666666667
"age.bs.beta[5]",22.6615649722601,6.88649493590494,9.03153077463205,17.9510754082856,22.6835366749019,27.432721992207,36.040665950075,1.00159045422375,1046,0,0.999666666666667
"age.bs.beta[6]",24.0736181532981,6.9925602490731,10.3761424977454,19.3851850246216,24.0313405636729,28.8302527122048,37.7830848781808,1.001776365602,886,0,1
"age.bs.beta[7]",25.6358844384424,7.11066830142745,11.6745665571402,20.8143156063131,25.7439483997542,30.3324199373151,39.6484982228047,1.00251112098185,806,0,0.999333333333333
"age.bs.beta[8]",32.9842095157561,7.26258860039659,18.8903221443684,27.907740415884,33.1912392276661,37.9344410359008,47.0165096487774,1.00179139173031,946,0,1
"age.bs.beta[9]",29.1102320115014,7.35936235646201,14.6792494041943,24.047971436385,29.1741994450097,34.1982864753588,43.4415750356686,1.00160277509352,1350,0,1
"age.bs.beta[10]",37.2562182524365,8.3283660670563,21.1581489808422,31.6938097574424,37.3214490247864,42.6992363328514,53.5096034354853,1.00137010639186,1264,0,1
"age.bs.beta[11]",31.4915487532291,10.2781177604136,11.1179399745932,24.6502172816743,31.6113816872487,38.350552916144,51.9812900358398,1.00039564579609,2350,0,0.998333333333333
"age.bs.beta[12]",27.3779563655731,16.0053474926326,-4.66439428125978,16.6827164698042,27.5795730934268,37.9734572424533,58.9764096631649,1.00025462938478,2967,1,0.952
"antlers[1,1]",48.5901403874372,1.62978882689145,45.1675504290386,47.5044777750414,48.6154740940079,49.7069185675035,51.7818768335059,1.00218465494799,862,0,1
"antlers[2,1]",43.0657953284206,1.19416975064977,40.7172918966121,42.255995770381,43.0756786664065,43.8795535182729,45.3504283882028,0.999989069256961,3000,0,1
"antlers[3,1]",46.9432003648274,2.08872534562953,42.8691769943578,45.5295900139138,46.9842703487582,48.3787185248112,50.9731339785286,1.00026585339988,3000,0,1
"antlers[1,2]",99.8241396517705,1.63634101243391,96.6154646343056,98.7281091937562,99.8571148175591,100.914836463283,102.942665238932,1.00069930867928,3000,0,1
"antlers[2,2]",92.4406337191724,1.20163056905276,90.0846450954405,91.6424926895498,92.4358396258241,93.2838010522587,94.7077047905519,0.999887424527528,3000,0,1
"antlers[3,2]",94.4588778819978,2.03290885749988,90.4493573592224,93.1204819310626,94.4760985304466,95.8112950584412,98.3799274313921,1.00067398447181,3000,0,1
"antlers[1,3]",130.01379358076,1.82326304952475,126.518329342905,128.798243424456,129.964183760739,131.208818706936,133.74552032675,0.999825647743053,3000,0,1
"antlers[2,3]",119.21463782093,1.26454732666219,116.728135971022,118.379356417517,119.201295776853,120.058273782214,121.71280248515,0.999853303887781,3000,0,1
"antlers[3,3]",117.817232156522,2.2270401514685,113.660478583236,116.250505861689,117.803676052938,119.31579609454,122.157901706657,0.999636193137063,3000,0,1
"antlers[1,4]",146.973752166486,1.86293882998013,143.28319819495,145.729551262231,146.998413205105,148.217439552744,150.673992339156,1.00009546234458,3000,0,1
"antlers[2,4]",136.18071597059,1.29325934851913,133.617345088172,135.330494810302,136.17566454652,137.068929184667,138.695574459923,1.00002143925773,3000,0,1
"antlers[3,4]",134.789429870117,2.29349731630718,130.235781482531,133.283458765798,134.77583650843,136.306859451491,139.330077059514,0.999941746363765,3000,0,1
"antlers[1,5]",156.709588731983,2.06220097465256,152.629334466712,155.288908637881,156.688983170144,158.159555754494,160.632811860385,1.00005359530606,3000,0,1
"antlers[2,5]",146.316925195338,1.45656775800473,143.407877379787,145.349643849999,146.348182460349,147.298508006249,149.105873204786,0.999849955698647,3000,0,1
"antlers[3,5]",145.326011754118,2.46056875963028,140.422035362238,143.630469474251,145.348552642513,146.943782042737,150.284694861186,0.999844667788074,3000,0,1
"antlers[1,6]",161.578179951345,2.34065975679166,156.969567425271,159.969376014064,161.610120935848,163.105549809988,166.239210667523,0.999762282728862,3000,0,1
"antlers[2,6]",152.597569595739,1.57426122277142,149.485951174357,151.490238057266,152.614612162034,153.722970295935,155.567863592461,1.00155678197969,3000,0,1
"antlers[3,6]",153.018709335556,2.80673382685188,147.412370925882,151.129190436661,153.030201403551,154.932144136386,158.430232199561,0.999658704390291,3000,0,1
"antlers[1,7]",162.455392106584,2.33455794314357,157.920583465916,160.888827692793,162.495606023169,164.034429896198,166.975356300108,1.00031292420298,3000,0,1
"antlers[2,7]",155.037048036122,1.78912786005075,151.582736202043,153.821889088599,155.057042722006,156.230038716355,158.606586200697,1.00146321650782,1341,0,1
"antlers[3,7]",157.020454061084,3.4277621285232,150.321384521855,154.780635855883,156.990169262708,159.242156320819,163.660602635226,1.00083831995789,2136,0,1
"antlers[1,8]",156.438505684123,2.63304426492397,151.225237761948,154.671122362072,156.43631446866,158.240935831201,161.511592491724,1.00094059310481,3000,0,1
"antlers[2,8]",156.368486690975,2.21805506196938,152.035313453524,154.880174601365,156.337834412994,157.851172120951,160.673935261841,0.999970676228642,3000,0,1
"antlers[3,8]",165.70021779325,4.40121831814369,157.450755036269,162.713323634363,165.654094796702,168.691857470735,174.414453562612,0.999556963949179,3000,0,1
"antlers[1,9]",156.238437175332,3.31826193185128,149.807899680925,154.058326240395,156.20196771015,158.422940594268,162.881997851165,1.00012253242321,3000,0,1
"antlers[2,9]",152.294440677929,2.55147856526657,147.275385646722,150.536599932171,152.263455333801,154.040012365504,157.304879754039,1.00062380714099,2034,0,1
"antlers[3,9]",157.752194275949,4.94687538075562,147.982175295138,154.546529505894,157.793505499284,161.132116726729,167.03720067847,0.999982659944885,3000,0,1
"antlers[1,10]",144.683610795314,4.11682027167631,136.486966483068,141.901295148265,144.810569494102,147.461485651394,152.804286161628,1.00037383053897,2416,0,1
"antlers[2,10]",148.885600538846,4.13533158654533,140.922641951219,146.13252491525,148.785542060486,151.749604984029,156.962182456893,0.999753944920373,3000,0,1
"antlers[3,10]",162.489340377802,8.80754671550646,145.445745784363,156.666253248695,162.461358790249,168.720046820575,179.428652768815,1.00076391864817,3000,0,1
"antlers_diff[1,1]",0,0,0,0,0,0,0,NA,1,0,1
"antlers_diff[2,1]",5.52434505901661,1.64276207870982,2.23337528707988,4.4338288568639,5.53122636016958,6.63549124032231,8.74107088974063,1.00229447411116,1134,0,1
"antlers_diff[3,1]",1.64694002260979,2.92601162566779,-4.06710803664314,-0.382549676640908,1.63192280867133,3.69099373173553,7.34707851178312,1.00156884982812,1223,1,0.709666666666667
"antlers_diff[1,2]",0,0,0,0,0,0,0,NA,1,0,1
"antlers_diff[2,2]",7.38350593259804,1.62487237647725,4.21064570258278,6.2979703944192,7.42666312249559,8.45198961006155,10.5399138918704,1.00019230406902,3000,0,1
"antlers_diff[3,2]",5.36526176977266,2.84384128402198,-0.378298317387415,3.53175120818196,5.43586435803136,7.2509297724168,10.762450458914,1.00074234798627,3000,1,0.967333333333333
"antlers_diff[1,3]",0,0,0,0,0,0,0,NA,1,0,1
"antlers_diff[2,3]",10.7991557598307,1.77650130124167,7.26495911882459,9.58404755402477,10.8008051127133,12.0080111493697,14.2058990182896,0.99967941295783,3000,0,1
"antlers_diff[3,3]",12.196561424238,3.21774158085684,5.8351017750379,9.98525872379646,12.171143016815,14.4476397714984,18.4710895495515,0.999555815287012,3000,0,1
"antlers_diff[1,4]",0,0,0,0,0,0,0,NA,1,0,1
"antlers_diff[2,4]",10.7930361958964,1.81251486811406,7.17184980894416,9.59760458671504,10.7654485176603,11.9822218024717,14.3969716032196,0.999987949047587,3000,0,1
"antlers_diff[3,4]",12.1843222963693,3.2722682236551,5.63447265298499,10.1212209250712,12.1135116700298,14.3071245074437,18.7659783089414,0.999836659219594,3000,0,1
"antlers_diff[1,5]",0,0,0,0,0,0,0,NA,1,0,1
"antlers_diff[2,5]",10.3926635366442,1.93220483518616,6.50110896618302,9.145694268292,10.3963352949538,11.7040691603109,14.1360716777189,1.00080921794331,3000,0,1
"antlers_diff[3,5]",11.383576977865,3.53107957147677,4.21266722114155,9.02987104327118,11.4525280689418,13.7073979833331,18.2973952121273,1.00035318982761,3000,0,0.998333333333333
"antlers_diff[1,6]",0,0,0,0,0,0,0,NA,1,0,1
"antlers_diff[2,6]",8.98061035560622,2.20376823726286,4.76768449161475,7.5233432067003,8.92159255175376,10.4573615102995,13.3934353726834,0.999634651679335,3000,0,1
"antlers_diff[3,6]",8.55947061578902,4.12493928538254,0.362465082007264,5.80676055744135,8.53307224410116,11.2562543883371,16.8662232183118,0.99975873390316,3000,0,0.98
"antlers_diff[1,7]",0,0,0,0,0,0,0,NA,1,0,1
"antlers_diff[2,7]",7.41834407046191,2.38226846630497,2.8444636197383,5.8012745218636,7.43365597708093,9.05654596829832,12.0883262517972,0.999676594306144,3000,0,0.999333333333333
"antlers_diff[3,7]",5.43493804550039,4.62094820834004,-3.57671264116656,2.29898199610422,5.46022947703976,8.59438138384873,14.5249021046514,0.999836213741969,3000,1,0.875666666666667
"antlers_diff[1,8]",0,0,0,0,0,0,0,NA,1,0,1
"antlers_diff[2,8]",0.0700189931481972,2.85576833686134,-5.57321252650821,-1.86699537715089,0.115566963113935,2.05194630796873,5.61931130968652,1.00078297216527,3000,1,0.519666666666667
"antlers_diff[3,8]",-9.26171210912703,5.67276583469442,-20.3901072696254,-13.0226099807029,-9.19028746516278,-5.30370896283033,1.37119188536347,1.00016757233498,3000,1,0.951
"antlers_diff[1,9]",0,0,0,0,0,0,0,NA,1,0,1
"antlers_diff[2,9]",3.94399649740289,3.37681183207353,-2.30699545477804,1.58037188478714,3.84991391668133,6.19175593416654,10.722249993689,0.999955712075323,3000,1,0.887
"antlers_diff[3,9]",-1.51375710061765,6.67195879434626,-14.0512047435852,-6.06445910199182,-1.6534125346907,2.82854632530864,11.7464334745291,0.999796275270623,3000,1,0.601
"antlers_diff[1,10]",0,0,0,0,0,0,0,NA,1,0,1
"antlers_diff[2,10]",-4.20198974353215,5.42373805219219,-14.3500215802227,-7.92936722241352,-4.214396904929,-0.597831949023444,6.35833185920937,1.00078074008355,2309,1,0.781666666666667
"antlers_diff[3,10]",-17.8057295824877,10.8959467173182,-38.4575207764353,-25.4064565652865,-17.7798926772013,-10.5072258364802,4.03264806567024,1.0010207447355,2588,1,0.944
"deviance",19598.2185551894,7.04504179136716,19586.6608039854,19593.0673686908,19597.5628026589,19602.6270050919,19613.3103443802,0.999822620523862,3000,0,1
