"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"beta1",32.9640243825691,0.725144495623408,31.5081714783925,32.5121038581893,32.968859535075,33.4283307150434,34.4218371156255,1.00089960996075,1500,0,1
"beta2",1.05418116540982,16.0650735900373,-30.4511910066321,-9.85085878232826,0.904567129905657,11.5849335199133,32.4839781936826,1.00073214717415,1466,1,0.519333333333333
"beta3[1]",119.477588060661,1.3435848626491,116.845468596805,118.541742001671,119.511719775739,120.405878552307,122.096044100328,1.00149546728213,893,0,1
"beta3[2]",111.307942164758,1.16006346438801,109.061082231141,110.548809933468,111.298631588731,112.087357057831,113.629009500809,1.00018327977961,1500,0,1
"beta3[3]",114.776301564234,1.43711971825133,111.991671302581,113.784879991047,114.765408582695,115.778368961465,117.537233799401,1.00193323981273,1500,0,1
"beta4[1]",3.27866046325443,16.1327729611873,-27.3835725795901,-7.59534252884984,3.47739618667791,14.3027407583811,34.9552543674449,1.00071122260631,1500,1,0.592
"beta4[2]",1.49106544232225,16.093395515953,-29.6906304400921,-9.26493313893004,1.7569952864301,12.4941330247604,32.6032060971657,1.00074754075643,1444,1,0.542
"beta4[3]",-2.38618387799577,16.1073250130709,-33.3841912828241,-13.0958833926641,-2.1219463943019,8.93957438292772,28.8826152959131,1.0007289267435,1500,1,0.543333333333333
"eps1[1]",-0.0402415873604102,0.186562863443798,-0.398406830637106,-0.164391538282473,-0.0368194013599571,0.0739229028693301,0.323384536701786,0.999955465752615,1500,1,0.582666666666667
"eps1[2]",-0.0320349815061578,0.18232104478254,-0.400892146904496,-0.15071401695805,-0.0309432807811396,0.0905807912313888,0.316905886617517,0.999541350117903,1500,1,0.574
"eps1[3]",-0.000312571395910468,0.18453481356716,-0.370933231249264,-0.121906955907985,-0.000178562437265198,0.121832890816461,0.365257177003654,0.999757598695268,1500,1,0.501333333333333
"eps1[4]",0.0365610545990043,0.178640795305958,-0.313453399555539,-0.0849767791910173,0.0345141228094193,0.158412774012035,0.37304827969209,1.00133748320961,940,1,0.580666666666667
"eps1[5]",0.0619554172344411,0.188260654871331,-0.314895766298504,-0.0629110169865206,0.0682570877954212,0.185410818921401,0.415490346429271,1.00159530185258,881,1,0.632666666666667
"eps1[6]",0.044652269457554,0.183402482919896,-0.299738511869541,-0.0764369602895984,0.0374023151264236,0.171148883257669,0.418787255975101,0.999357252703944,1500,1,0.575333333333333
"eps1[7]",0.0346827639198126,0.179828641366708,-0.319572395545335,-0.0835654586866076,0.0357100616268696,0.159831696276817,0.377257119744309,1.00117363237263,1158,1,0.572666666666667
"eps1[8]",0.0268006909821786,0.187622532262287,-0.341577125820928,-0.0987175443319324,0.0201716478690365,0.153150370004196,0.404573673830669,1.00155744114444,1349,1,0.546666666666667
"eps1[9]",-0.0316813579672417,0.181940286021241,-0.3764881889939,-0.160653418849994,-0.027662198132084,0.0911631769141427,0.329087389231598,1.00337550335046,526,1,0.561333333333333
"eps1[10]",-0.0481776903743394,0.185237852958022,-0.391708078049827,-0.176249279055058,-0.0558659930917812,0.0799922031546113,0.324283769025209,0.999660876612733,1500,1,0.604666666666667
"eps1[11]",-0.0567832055664769,0.189829228222106,-0.422056549234394,-0.185874791943663,-0.0545873842013954,0.0737605047821008,0.310817831287348,1.00112103495356,1500,1,0.615333333333333
"eps2[1]",-0.00929470822121926,0.18294316923218,-0.38671594336274,-0.126585796059761,-0.00996995084113299,0.111310325869524,0.347240976379445,1.0008275023088,1500,1,0.524666666666667
"eps2[2]",-0.00400979927360517,0.185094909117859,-0.360727065570959,-0.129595794113413,-0.00394840009093144,0.118778786670562,0.365090565692042,1.00060941886039,1306,1,0.504666666666667
"eps2[3]",-0.00462027315407887,0.183449336266891,-0.358552302234708,-0.132885347481678,-0.00467692554297824,0.126060083649818,0.366509510513201,0.999108133952387,1500,1,0.51
"eps2[4]",0.0179654507418673,0.182246625853293,-0.332641721034112,-0.105849050683055,0.0144171961845676,0.143644076309146,0.382813484609788,1.00126663910269,1500,1,0.53
"eps2[5]",-0.00890329705691036,0.180565675880052,-0.355557064049807,-0.126287196862761,-0.0121773910218911,0.114153582369522,0.356815062913483,1.0002922703419,1500,1,0.524
"eps2[6]",0.00659153322874978,0.180563745854893,-0.357947299765025,-0.114070658396004,0.0111870018685856,0.128329071239849,0.358444025374236,1.00031471728223,1500,1,0.525333333333333
"eps2[7]",0.000277005722366769,0.179709082558344,-0.355462494254491,-0.11566786163437,-0.00205168832343915,0.117783875634926,0.359169461614976,1.00090665920687,1500,1,0.493333333333333
"eps2[8]",-0.00125918219666848,0.188213268086602,-0.364634655262111,-0.129355374962361,0.000678238871199825,0.133262260339197,0.352322108735373,0.999573718251859,1500,1,0.498666666666667
