"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"bs.beta[1]",124.969344133393,0.340570604235821,124.326305498333,124.745690930697,124.976560235088,125.198488099797,125.654061702104,1.00053703266508,1500,0,1
"bs.beta[2]",116.307248533545,0.314527784513984,115.707399546173,116.09455042564,116.308916219922,116.52433902393,116.896275756489,1.00027668304326,1500,0,1
"bs.beta[3]",117.368457246569,0.490300871859811,116.409876267855,117.055862351118,117.356692686955,117.694393276923,118.338780742034,1.00040542246533,1500,0,1
"rain.by.beta",0.626099289549924,0.206558089847776,0.216632104036785,0.490933863590757,0.624761187514725,0.761661114410824,1.04189719718123,0.999784601461872,1500,0,0.999333333333333
"age.beta",9.99805538969617,0.00185638053256238,9.99274550537218,9.99735479621706,9.99858685331147,9.99939691951676,9.99995941169469,1.01706355506359,387,0,1
"site_diff[1]",0,0,0,0,0,0,0,NA,1,0,1
"site_diff[2]",-8.66209559984817,0.450235256196902,-9.53588779522683,-8.95333674877515,-8.66142973375466,-8.3549750977783,-7.72503275465949,0.999250078347866,1500,0,1
"site_diff[3]",-7.60088688682406,0.595914107900555,-8.76959280497425,-7.99617631216599,-7.62873066169038,-7.20241998232441,-6.41893834764407,1.00055337963419,1500,0,1
"bcs[1,1]",124.068122128138,0.444261438040405,123.160916994997,123.779693389766,124.075351845694,124.355924894826,124.927879863572,0.999387401407057,1500,0,1
"bcs[2,1]",124.093993971672,0.438824641822051,123.193154896393,123.808587154263,124.101397604469,124.377560618696,124.944911577374,0.999412366308961,1500,0,1
"bcs[3,1]",124.119865815206,0.433487733380626,123.224312822501,123.836605054668,124.126985980132,124.398163431433,124.961211491125,0.999438678470089,1500,0,1
"bcs[4,1]",124.14573765874,0.428254447137906,123.264462968703,123.863877420937,124.155299565598,124.421491483207,124.978347091073,0.999466345257988,1500,0,1
"bcs[5,1]",124.171609502274,0.423128627932467,123.30336290083,123.895029141218,124.178798395486,124.445518083334,124.988527698391,0.999495365954228,1500,0,1
