"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"bs.beta[1]",111.406798854928,8.244718049907,95.1793585096705,105.854585491435,111.513036756562,117.242477281734,126.573799845753,0.999363327120489,1500,0,1
"bs.beta[2]",103.934855279818,8.24873968402666,87.7100466630727,98.344541894268,104.067116698044,109.673001600276,119.471753441097,0.999314392021211,1500,0,1
"bs.beta[3]",104.765515680983,8.25456429366769,88.0901354386134,99.2362746890371,104.763044275458,110.631656162973,120.236563026742,0.999425596811026,1500,0,1
"rain.by.beta",-0.0310295768436337,0.210780225748977,-0.436518382689834,-0.170811984411494,-0.0313167142615567,0.118548950688443,0.364218047438098,0.999618358419116,1500,1,0.554
"age.beta[1]",-61.6593661864263,8.26952002603671,-77.3038445827158,-67.2825351361058,-61.8048054518027,-56.0279275939082,-44.9426470686171,0.99927394994435,1500,0,1
"age.beta[2]",-11.5517448262431,8.2792475253513,-27.0358247475775,-17.3353578082907,-11.7402767021612,-5.97657490745004,4.65031842414794,0.999449182381916,1500,1,0.922666666666667
"age.beta[3]",15.3867991403545,8.24892040494995,-0.0191253424118029,9.64067227949085,15.2639521118242,20.8401665542792,31.5630695761378,0.999356708783689,1500,1,0.974
"age.beta[4]",33.1686894066507,8.25975562204099,17.7917583752145,27.3669724131532,33.1404519632359,38.8395745309873,49.9352038680769,0.999265861449403,1500,0,1
"age.beta[5]",42.9614309636756,8.26864818019483,27.4992189315307,37.1621479954309,42.961961942157,48.4803331254543,59.2057899090829,0.999442859668741,1500,0,1
"age.beta[6]",49.6742244111483,8.24974681551856,34.3540918206692,43.8875158609841,49.5628639799195,55.2262482594727,66.1167251666116,0.999406237439602,1500,0,1
"age.beta[7]",50.3772477181152,8.24604598122901,34.7505159889798,44.6785868106287,50.2853184053285,55.8494222519294,66.8769960395172,0.999422576067787,1500,0,1
"age.beta[8]",49.9511520650323,8.25998299073673,34.1655829941497,44.0812051627011,49.944869966388,55.7171834336285,66.2381338009799,0.999277029375252,1500,0,1
"age.beta[9]",47.4642246689887,8.26561932825686,31.7141551200946,41.8542157725175,47.3185105616294,53.0734159704311,63.7405428530094,0.999416505278934,1500,0,1
"age.beta[10]",42.4682179660193,8.35107675659727,26.4461400754282,36.6748784684401,42.3868896042321,48.0222824935421,59.3343725112371,0.999668590845351,1500,0,1
"age.beta[11]",28.9223941636627,8.42934032935987,13.2840769251564,22.8855977856746,28.8681095809408,34.5970462839122,45.8060338810524,0.999825669553308,1500,0,1
