"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"bs.beta[1]",81.1190100098482,0.450414026873013,80.2018725149885,80.8025382178574,81.1103687607113,81.4275810673319,81.9989352519674,1.00279522131754,656,0,1
"bs.beta[2]",72.458650380124,0.392820219180679,71.6827744255102,72.1772829732498,72.4603344123688,72.72692389683,73.2397479837249,0.999462433333652,1500,0,1
"bs.beta[3]",77.3158283682821,0.506401321194732,76.3407894958009,76.9653857313519,77.3048251523962,77.6740777016269,78.2865488851073,1.00041637663555,1500,0,1
"rain.by.beta",1.01047606611639,0.255933478542588,0.519585933256188,0.838538297642531,1.00854268937628,1.18885354661071,1.50949907693644,0.999359008296728,1500,0,1
"age.beta",9.99713162168423,0.00305996071657581,9.98861937406281,9.99619513546534,9.9980074177641,9.99908475557715,9.99991888686875,1.02784338237892,1006,0,1
"site_diff[1]",0,0,0,0,0,0,0,NA,1,1,1
"site_diff[2]",-8.66035962972422,0.582750031938321,-9.77654249394473,-9.05659568232639,-8.65948478477086,-8.24312898175583,-7.52562571406299,1.00185637594656,1291,0,1
"site_diff[3]",-3.80318164156609,0.647680002405587,-5.04754840536095,-4.24163202865724,-3.80840887042677,-3.38131641330893,-2.48265718329366,0.999523387519623,1500,0,1
"bcs[1,1]",79.6902447515566,0.534686668572624,78.6194830841014,79.337076950991,79.6836065558147,80.0486483566499,80.7376032609497,1.0024093142993,592,0,1
"bcs[2,1]",79.7284672911867,0.529395248580207,78.6697721036431,79.3781668986712,79.725640631195,80.0802432434356,80.7655282937213,1.0024423406967,587,0,1
"bcs[3,1]",79.7666898308169,0.524229213937826,78.7131723709104,79.418869554901,79.7671598494076,80.112671612301,80.782472229609,1.00247520341032,582,0,1
"bcs[4,1]",79.8049123704471,0.519192307463242,78.7647243785605,79.4620403812242,79.8067572474431,80.1473726864426,80.7978868793994,1.00250784874313,577,0,1
"bcs[5,1]",79.8431349100772,0.514288323189148,78.8080851302261,79.5030336049836,79.844643519951,80.1806650059621,80.8187246661894,1.00254021882541,572,0,1
"bcs[6,1]",79.8813574497074,0.509521099136207,78.8494242727136,79.5427175156683,79.8861335271688,80.2195549846495,80.853698198078,1.00257225135258,568,0,1
"bcs[7,1]",79.9195799893376,0.50489450919751,78.8997552854678,79.5855235318342,79.9256326098638,80.2562539195583,80.8936647699511,1.00260387931984,564,0,1
"bcs[8,1]",79.9578025289677,0.500412454108794,78.9453081666606,79.6256523503643,79.9669594113138,80.296018236569,80.9261014522405,1.00263503075877,560,0,1
"bcs[9,1]",79.9960250685979,0.496078851487483,78.989650345202,79.6666323483832,80.0033400730822,80.3264751599218,80.9599270823334,1.00266562848297,557,0,1
"bcs[10,1]",80.0342476082281,0.491897624933947,79.0312356957926,79.7039764600737,80.0396023057824,80.3614744835363,80.9950357767422,1.00269558985079,553,0,1
"bcs[11,1]",80.0724701478582,0.487872692200271,79.0819405920518,79.7409677160456,80.0829312676203,80.3995138797167,81.0319714608631,1.00272482655577,551,0,1
"bcs[12,1]",80.1106926874884,0.484007952445398,79.1271448942831,79.7793760986812,80.1192687200925,80.4361324412833,81.0609484877991,1.00275324445625,548,0,1
"bcs[13,1]",80.1489152271186,0.480307272610561,79.1745483388518,79.8233663611549,80.1585208115073,80.4765536087617,81.0893314320304,1.00278074345829,546,0,1
"bcs[14,1]",80.1871377667487,0.476774472965331,79.2208590661842,79.8634198305863,80.1995526515491,80.5171792665185,81.1158865203381,1.0028072174665,544,0,1
"bcs[15,1]",80.2253603063789,0.473413311892163,79.2600586282986,79.899302774347,80.2365693377621,80.5532525814618,81.1492760647269,1.00283255442004,543,0,1
"bcs[16,1]",80.2635828460091,0.470227469995754,79.3021783844458,79.946356844944,80.2756113167858,80.587555141183,81.1851550853856,1.00285663643006,542,0,1
"bcs[17,1]",80.3018053856392,0.467220533642383,79.3487462278871,79.988004616565,80.3124610274429,80.6258761549663,81.2186217572372,1.00287934003711,541,0,1
"bcs[18,1]",80.3400279252694,0.464395978053322,79.3908929061869,80.027195361116,80.3474983840732,80.6644549964385,81.2505561627652,1.0029005366052,541,0,1
"bcs[19,1]",80.3782504648996,0.461757150094824,79.4316867576144,80.0675166800876,80.3828142626736,80.7008862785931,81.286961344243,1.00292009286812,541,0,1
"bcs[20,1]",80.4164730045297,0.459307250924531,79.4714920632667,80.1034390343358,80.4210999331943,80.7375680311501,81.3200899679057,1.00293787164203,542,0,1
"bcs[21,1]",80.4546955441599,0.457049318669846,79.5197784425466,80.1379603861555,80.4594315730842,80.7709270517586,81.3570198803202,1.00295373271387,543,0,1
