"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"bs.beta[1]",125.055153247597,0.362235735296235,124.362790333742,124.804916074249,125.054742110971,125.307360397062,125.726495134362,1.0022278831731,1212,0,1
"bs.beta[2]",116.221535852424,0.313825328182846,115.625263753042,116.00112599859,116.228295275035,116.429328532351,116.826614174756,1.00073367625014,1500,0,1
"bs.beta[3]",115.882886735909,0.519322413959709,114.857872797965,115.542586136872,115.884633999092,116.241023381726,116.915545437253,0.999565564175214,1500,0,1
"rain.by.beta",-0.492298851116288,5.66415343633897,-11.1177617254098,-4.32164641893652,-0.635771561904396,3.39472547253742,10.3924749997578,1.00474284694683,740,1,0.543333333333333
"age.beta",9.99801154381807,0.00206404646076881,9.99285332693228,9.99724310415418,9.99865786035329,9.99947497414001,9.99995775979915,1.00900753883135,391,0,1
"rain.bs.beta[1]",2.36843588704904,5.6742948373422,-8.85876950619902,-1.47087874725624,2.47512194009407,6.10578311614256,13.169732409782,1.00440701634589,826,1,0.652
"rain.bs.beta[2]",1.54643252019542,5.661715798511,-9.45589189403653,-2.36108203744512,1.69780303449203,5.24519352309498,12.4075442151601,1.0047417688427,782,1,0.597333333333333
"rain.bs.beta[3]",-4.2725858088569,5.68690337323061,-15.177215719591,-8.12907340719885,-4.19221790847602,-0.428028197992832,6.70424553854403,1.00454917407816,753,1,0.772
"site_diff[1]",0,0,0,0,0,0,0,NA,1,0,1
"site_diff[2]",-8.83361739517323,0.467521930216325,-9.7447498972004,-9.14832301544571,-8.8296441583702,-8.51367938748806,-7.90224617356683,1.00269593338337,852,0,1
"site_diff[3]",-9.17226651168808,0.610629160918582,-10.3440318975695,-9.59562335345505,-9.16603039115084,-8.75680937550177,-7.9896972462001,0.999692081588353,1500,0,1
"bcs[1,1]",122.354597585137,0.629293318453986,121.159098268231,121.939300395721,122.36202924643,122.775737391714,123.604034234632,1.00125355374599,1500,0,1
"bcs[2,1]",122.432123825227,0.616766234169153,121.26345278018,122.026438153815,122.439551634181,122.846075074015,123.666655367537,1.00122316096149,1500,0,1
"bcs[3,1]",122.509650065317,0.60437112445187,121.363700191042,122.110614329496,122.517037500238,122.914673340716,123.729276500443,1.00119275414762,1500,0,1
"bcs[4,1]",122.587176305407,0.592116277458142,121.460808472542,122.199896110405,122.594655116537,122.984452913817,123.786800152616,1.00116248381774,1500,0,1
"bcs[5,1]",122.664702545497,0.580010583946712,121.557108173105,122.283747423115,122.674719274082,123.052033725855,123.841452297352,1.0011325269567,1500,0,1
"bcs[6,1]",122.742228785587,0.568063579583462,121.655612567345,122.369782056486,122.753747759766,123.115012195068,123.891283660079,1.00110309018431,1500,0,1
"bcs[7,1]",122.819755025677,0.556285488672674,121.757846688071,122.45582141803,122.827674808235,123.188850961037,123.947488531594,1.00107441303338,1500,0,1
"bcs[8,1]",122.897281265767,0.544687268867252,121.859684086577,122.534341228245,122.901739308447,123.258304913928,124.008763338832,1.00104677124881,1500,0,1
"bcs[9,1]",122.974807505857,0.533280656243957,121.957639369204,122.615177621926,122.975675396191,123.327362043371,124.060300486875,1.00102047997691,1500,0,1
