"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"beta1[1]",-9.59194015889175,11.7565333605697,-31.2996090589249,-17.8103243826952,-9.59081528278631,-1.35718565705541,13.2435561763687,1.00139926084272,1054,1,0.789333333333333
"beta1[2]",27.4096654724071,10.3037457237207,8.1379629022926,20.152397787097,27.4176295186849,34.4692850920772,47.3891911395404,1.00165953308663,879,0,0.995333333333333
"beta1[3]",41.3817795383774,9.23604033856914,24.1021400555191,35.10873295864,41.3051848842237,47.5379580885466,59.3534312145906,1.00134475248953,938,0,1
"beta1[4]",46.0391049788206,8.53683760076171,29.8644972743407,40.2456188494793,45.6525378586198,51.6632108015529,62.6967308757956,1.00161085396367,773,0,1
"beta1[5]",41.7132544395467,8.4795993335753,25.2113293622016,36.1179177199097,41.414346312587,47.3449254089921,57.5703862138612,1.001280213051,959,0,1
"beta1[6]",34.5957077367103,8.96388670899719,16.9911637384958,28.5616421649998,34.489618748702,40.7822885828353,51.9009034436003,1.00068618173169,1500,0,1
"beta1[7]",20.6266541078453,9.94058327443123,1.32067087091311,13.6773380733922,20.6456852404736,27.6360008110651,40.2069774569887,1.00032081765047,1500,0,0.978
"beta1[8]",8.07708109053736,11.3352720650807,-14.0179554326521,0.284766017430564,8.00074560069757,16.2552167257278,29.95941281494,0.999996302227051,1500,1,0.759333333333333
"beta1[9]",-5.91034693160894,12.9183273380045,-31.3953398538265,-14.6749537102255,-6.03362856483441,3.18264001670279,18.0010922684959,1.00025083512332,1500,1,0.673333333333333
"beta1[10]",-23.9454893060309,14.7835253190505,-53.2951476497623,-33.903927907435,-23.974339774912,-13.9665849314324,4.96254690072353,0.999649643734753,1500,1,0.950666666666667
"beta1[11]",-60.2680077345007,16.5293021837387,-93.5516409282842,-71.484692962892,-60.7114943205543,-49.0872944624002,-27.4263584642134,0.999500171663141,1500,0,1
"beta2[1]",44.1880624580679,13.4416264041551,18.3739680563358,34.6982826275707,44.3906168421173,53.5672997690839,69.8661284159663,1.00146121026588,1049,0,0.998666666666667
"beta2[2]",38.3655870509472,13.413950073099,12.9459578607974,29.0504408761138,38.4753063861827,47.8183024435634,64.0565581902721,1.00107298207522,1246,0,0.997333333333333
"beta2[3]",35.7955802571169,13.4087589615475,9.6091682857618,26.34516510952,36.1549160602029,45.3407904197569,61.1427168862676,1.00115841191745,1164,0,0.995333333333333
"beta3[1]",13.2565895785195,2.25362313877163,8.56920391124072,11.7549617303042,13.2758880479335,14.809701359309,17.5222691831515,0.999422635926683,1500,0,1
"beta3[2]",12.7003335790488,2.25091279793065,8.06034216848024,11.2000539908042,12.7230224540384,14.2620217386143,16.9508609238087,0.999259415281453,1500,0,1
"beta3[3]",14.1841847446289,2.24136023643573,9.59346340646295,12.6921600761244,14.2092826545931,15.656884203612,18.4182692162132,0.999442980527712,1500,0,1
"beta4",-0.547486191833006,0.258667758772375,-1.06520932738978,-0.71928200456742,-0.540181137509709,-0.36896010706862,-0.0494260615370271,1.00045546904492,1500,0,0.986666666666667
"eps1[1]",-0.0829139203459101,0.311557306164968,-0.734787262988996,-0.281682299622416,-0.0793419662144934,0.128346033728934,0.520924556827603,1.00450152852797,540,1,0.604666666666667
"eps1[2]",0.0825845650279982,0.300860139555179,-0.533966761095557,-0.111877623743566,0.0937353119849734,0.286395406041984,0.655780857608362,1.00219089785262,889,1,0.628666666666667
"eps1[3]",0.391100251501993,0.303085311482372,-0.206731289156856,0.191683014856947,0.391984353265999,0.592365480788024,0.982139017609455,0.99921179082821,1500,1,0.902
"eps1[4]",0.476845057565171,0.306151838329508,-0.128179190518886,0.271952301328959,0.476937706396122,0.692999709275098,1.09749075365124,1.00039969348504,1500,1,0.942666666666667
"eps1[5]",0.406060480848328,0.300353122683408,-0.192803179130939,0.215955794760833,0.400304126275706,0.602059188221456,1.02729607297271,1.00222834148868,649,1,0.91
"eps1[6]",-0.0198616498473807,0.297166486119735,-0.589433657465143,-0.223160770784748,-0.0257264208044711,0.179022901872994,0.56698516903693,1.00156981400775,997,1,0.538
"eps1[7]",-0.11435451957713,0.292014705695831,-0.697502925430664,-0.320665833833351,-0.111886720493107,0.0852525857481683,0.422479246321533,1.00071505434363,1412,1,0.643333333333333
"eps1[8]",-0.0349380268445898,0.291894738738098,-0.619040230316518,-0.228638493146832,-0.0298710607597649,0.157915281456057,0.54483883183189,0.999431044332868,1500,1,0.544
"eps1[9]",-0.478736082952116,0.294548267004996,-1.0469443459249,-0.67939869215532,-0.473528546428228,-0.278158744293633,0.0936904762389554,1.00030125753484,1500,1,0.95
"eps1[10]",-0.447885911630817,0.286130103591944,-0.999198973552289,-0.647833540973649,-0.451692777419943,-0.25706827142962,0.107692009952857,1.00329089146901,578,1,0.940666666666667
"eps1[11]",-0.203399717919292,0.284795424635663,-0.742690104474287,-0.393849211852181,-0.217444197579114,-0.00749452894432474,0.360519163937134,0.999482981132022,1500,1,0.756
"eps2[1]",-0.116304203140512,0.314617704693954,-0.741788223735121,-0.331690723720909,-0.123076838262204,0.0899189646327073,0.487713198915895,1.00166052947435,1500,1,0.638
"eps2[2]",-0.0127821909227857,0.32132133929706,-0.646826893991913,-0.219108771754708,-0.00805224423941059,0.186812600814296,0.634949872844564,0.999748376325115,1500,1,0.508
"eps2[3]",-0.0621505495202205,0.305718728816243,-0.651765624770382,-0.26503303962684,-0.0621038798062391,0.13523552361936,0.541632086359875,0.999764607801324,1500,1,0.586666666666667
"eps2[4]",0.376325322420787,0.313845501580231,-0.242043969243994,0.166205982842618,0.381278181613411,0.58869420201453,0.997663342979264,1.00189317871516,967,1,0.876
"eps2[5]",-0.118358338912583,0.311774519789371,-0.72349948953785,-0.337733394079647,-0.120388485690715,0.0993347268806727,0.471721580871253,1.00067542523386,1500,1,0.647333333333333
"eps2[6]",0.232711603229022,0.31500879676798,-0.448524962882713,0.0331078324657922,0.243277970329895,0.445444961215162,0.820537536586009,0.9991425885713,1500,1,0.780666666666667
"eps2[7]",-0.0772194996809125,0.318305883812019,-0.719239114021964,-0.289909960947766,-0.0633554355914834,0.132467391149706,0.52290214410654,0.999467954495082,1500,1,0.59
"eps2[8]",0.0164268120384349,0.32408227773079,-0.60750838592289,-0.208222170742963,0.0146532955867399,0.239484415528733,0.641734924811003,0.999557504834759,1500,1,0.518666666666667
"eps2[9]",-0.0753223122037601,0.309819947433865,-0.67308987650756,-0.279908268179695,-0.0891262238146896,0.134687606245151,0.533830974316601,1.00214983399497,1253,1,0.616666666666667
"eps2[10]",0.0221436802744575,0.315549127756962,-0.598827978624448,-0.196294067490528,0.029804666126424,0.239099405698082,0.651396272054172,1.00020731054533,1500,1,0.535333333333333
"eps2[11]",-0.0491865302562437,0.322167756834827,-0.698694221224645,-0.262197857665359,-0.0474596769565437,0.158354082322578,0.586444726178618,1.00306757405955,671,1,0.562
"eps2[12]",0.236575247839793,0.316489315043717,-0.371124171805453,0.0124738682233105,0.243383073913546,0.455330907646074,0.83194331128719,0.999475608836227,1500,1,0.762666666666667
"eps2[13]",-0.138307432482962,0.308177802498873,-0.725132374153976,-0.354605943623369,-0.146306664252253,0.0650151867903958,0.47325449675383,0.999837249596198,1500,1,0.673333333333333
"eps2[14]",-0.0854981761941711,0.318152120156304,-0.695942093386856,-0.301433322324552,-0.0920951970267548,0.13774657936913,0.522318287624099,1.00214670567337,891,1,0.598666666666667
