"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"ageclass.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"ageclass.beta[2]",129.804830599755,2.11536588808602,125.532855543075,128.374660574722,129.852048744025,131.167828160785,133.734579705099,1.00037170902712,1200,0,1
"ageclass.beta[3]",197.565673526964,2.37654199615592,192.969339871334,195.947877136825,197.524976176066,199.160477048873,202.29531340515,1.00121806364262,966,0,1
"ageclass.beta[4]",242.3778205701,2.62863408558372,237.442562118111,240.711071020755,242.309121890801,244.188185688409,247.549436950617,1.00179272028223,1200,0,1
"ageclass.beta[5]",267.047844928821,2.93793024652883,261.391052566879,265.013791973636,266.99052160418,269.015367106778,272.776481825866,1.00261118534899,546,0,1
"ageclass.beta[6]",281.155365931544,3.32165323019163,274.407298318542,278.93263946226,281.139416500138,283.381453996991,287.850529822076,1.00011404731087,1200,0,1
"ageclass.beta[7]",282.240052884237,3.78926908213379,275.16164516763,279.624307043963,282.146594217482,284.780243427265,290.045504733239,1.00148557354234,908,0,1
"ageclass.beta[8]",279.80001835823,4.55177536342349,271.066325414002,276.723589787728,279.825092806367,282.583604973721,288.853364956679,1.00585712145634,357,0,1
"ageclass.beta[9]",272.162810476048,5.05660713739609,262.776930726666,268.847268778509,272.010011396725,275.345442355121,282.597420063255,1.00314853598577,579,0,1
"ageclass.beta[10]",255.430181647552,6.1638699599948,243.50649402512,251.056204610241,255.156743886538,259.753213295435,267.987225434586,1.00314959874049,481,0,1
"ageclass.beta[11]",231.047552718922,8.17728918669292,216.178597070478,225.384288786827,230.866708400591,236.342877099332,247.233831080063,1.00010604904859,1200,0,1
"ageclass.beta[12]",194.882211840414,20.912435277403,155.120940171533,180.78101313735,195.501545247724,208.233188934424,237.071837772717,1.00442209121919,360,0,1
"bs.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"bs.beta[2]",-16.990835441903,4.33950571233255,-25.5101522154029,-20.0425399542314,-17.0186628308786,-14.0991246584058,-8.61553233594568,1.00113551271279,853,0,0.999166666666667
"bs.beta[3]",-14.583476380911,5.81161976219694,-26.256000954393,-18.4583484005332,-14.544111876334,-10.635330058913,-3.41744842758083,0.999270723042818,1200,0,0.995
"derived_antlers[1,1]",122.382752627566,4.33978288103776,114.22242584272,119.299007328864,122.014141806482,125.532269742825,131.219695045366,1.00927280182825,271,0,1
"derived_antlers[2,1]",105.391917185663,4.52017940544808,96.8274610407467,102.310305007646,105.294260781636,108.225599728874,114.325860022025,1.00028980196255,1200,0,1
"derived_antlers[3,1]",107.799276246655,5.85097532417916,96.7475356728094,103.87862677976,107.588835680774,111.495055489479,119.682265264031,1.00186239221506,868,0,1
"derived_antlers[1,2]",252.187583227321,4.37837357678989,243.99155303438,249.110458953518,252.086867988959,255.278637541224,260.788053161147,1.00883690984772,319,0,1
"derived_antlers[2,2]",235.196747785418,4.55918042663005,226.038681419994,232.19816703763,235.257427723497,238.095167297086,243.964997091323,0.999694324144872,1200,0,1
"derived_antlers[3,2]",237.60410684641,5.94159168386512,226.245048611864,233.494632449477,237.555175465635,241.499425383185,249.274393460362,1.0008519891208,1200,0,1
"derived_antlers[1,3]",319.94842615453,4.39594332938119,311.655182197778,317.004903321355,319.838285827318,322.975504922635,328.745864683822,1.01218218343901,202,0,1
"derived_antlers[2,3]",302.957590712627,4.63984173939394,293.897597818627,299.846741010312,303.142396478646,306.013954535459,312.069892371377,1.00207000484973,826,0,1
"derived_antlers[3,3]",305.364949773619,5.95820363078607,294.081221278748,301.396908842122,305.365342237201,309.098373842332,317.180724451638,1.00248067602165,660,0,1
"derived_antlers[1,4]",364.760573197666,4.62311229142917,356.156721708954,361.602728169519,364.584043612895,367.676304588056,373.797203888562,1.00934685561918,267,0,1
"derived_antlers[2,4]",347.769737755763,4.72608063674452,338.767399156561,344.62470439427,347.726575672663,350.853954262134,357.008457539682,1.00085462176272,1200,0,1
"derived_antlers[3,4]",350.177096816755,6.09965043718416,338.693106070956,346.023941731,350.28782947766,354.200190239482,362.254285557052,1.00178519034943,891,0,1
"derived_antlers[1,5]",389.430597556387,4.69121966210899,380.457647269236,386.166739635962,389.486980131405,392.548991058326,398.643400963955,1.0081380805317,253,0,1
"derived_antlers[2,5]",372.439762114484,4.86218036366367,362.914322235317,369.120801577812,372.469053037134,375.752587782897,381.868744372411,1.00243944584414,1017,0,1
"derived_antlers[3,5]",374.847121175476,6.19951785197029,362.655337003116,370.696625498224,374.704383324115,378.927596596203,387.033535384138,1.00230309810722,871,0,1
"derived_antlers[1,6]",403.53811855911,4.96096569399204,394.172279249546,400.134495611019,403.467530816038,406.695932968787,413.647319248275,1.01003570653323,241,0,1
"derived_antlers[2,6]",386.547283117207,5.12585731416904,377.213196668468,382.822974565045,386.592810564469,389.883021412742,397.017110370258,1.00135213620609,892,0,1
"derived_antlers[3,6]",388.954642178199,6.36651569555979,377.030741415367,384.655786381566,388.928614740538,392.94566943032,402.104411935942,1.00251131321208,686,0,1
"derived_antlers[1,7]",404.622805511803,5.24166764920589,395.055855055566,400.756837196389,404.657363143676,408.082544627658,415.280393714403,1.0073139653484,304,0,1
"derived_antlers[2,7]",387.6319700699,5.43906837069219,377.253239061117,384.005857971105,387.605615735542,391.131964130941,398.11739604992,1.00124151009482,1192,0,1
"derived_antlers[3,7]",390.039329130892,6.64313006333853,377.791055221991,385.712432144153,389.874878621001,394.406161655435,403.200225219807,1.00173582644426,946,0,1
"derived_antlers[1,8]",402.182770985796,5.83024126924444,391.096653186438,397.999603839507,401.977666541766,406.352426163944,413.730340489577,1.0125918106663,168,0,1
"derived_antlers[2,8]",385.191935543893,6.02367576046749,372.996424551991,381.149332313954,385.238326779549,389.325478231822,396.949563129951,1.00484976523619,386,0,1
"derived_antlers[3,8]",387.599294604885,7.11317987030638,373.830089108795,382.786049137108,387.509117590042,392.408114150473,402.476681633467,1.00495123995336,379,0,1
"derived_antlers[1,9]",394.545563103614,6.21180750587285,382.732017307525,390.240328611079,394.368147837501,399.057239431565,406.863219097585,1.01078083404998,173,0,1
"derived_antlers[2,9]",377.554727661711,6.34588402306071,365.070105335188,373.497658398212,377.586810929109,381.820457272572,389.87432133496,1.00510087741881,370,0,1
"derived_antlers[3,9]",379.962086722703,7.37398668578707,366.333731260439,375.00080032875,379.531310133459,384.975619754123,395.72440820996,1.00593154255953,334,0,1
"derived_antlers[1,10]",377.812934275118,7.16438959176357,364.144729036943,372.864610114678,377.605129927511,382.617230532183,392.209369045472,1.00745097674618,279,0,1
"derived_antlers[2,10]",360.822098833215,7.26098300004803,346.98006386041,355.683992672426,360.996725270623,365.718828726106,375.354784247778,1.00292841443101,576,0,1
"derived_antlers[3,10]",363.229457894207,8.24050695170848,347.496444115413,357.510245012518,363.232152176518,368.528510616036,380.114220464052,1.00249216465778,577,0,1
"derived_antlers[1,11]",353.430305346488,8.97925161556939,336.578306421056,347.214231825072,353.210662316566,359.429181841401,371.50616012295,1.00532758712813,362,0,1
