,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff,overlap0,f
ageclass.beta[1],116.1995944,2.784625069,110.7833498,114.2710753,116.2375522,118.0195014,121.4915936,1.026993609,83,0,1
ageclass.beta[2],242.4852955,2.683416808,237.5983421,240.7403441,242.3769513,244.1980289,247.950568,0.998477773,450,0,1
ageclass.beta[3],312.057703,3.064441989,306.1732982,309.8782464,312.2032325,314.1222836,318.1006721,0.997646515,450,0,1
ageclass.beta[4],354.2752659,3.0992817,347.6825439,352.2126682,354.3808481,356.5316583,359.9360157,0.997208583,450,0,1
ageclass.beta[5],380.1835289,3.269582853,374.0246721,378.0860918,380.2387858,382.3435656,386.5211746,0.999579867,450,0,1
ageclass.beta[6],395.7083885,3.913589176,388.459168,393.146358,395.5409571,398.5104545,403.1537685,1.010341948,218,0,1
ageclass.beta[7],402.1234904,4.2558263,393.6327471,399.0649904,402.3286618,404.9400356,410.0380685,1.001773043,410,0,1
ageclass.beta[8],399.7207466,4.79145706,390.2443081,396.7380886,399.3534609,403.383288,408.5929902,1.011512013,210,0,1
ageclass.beta[9],393.8475021,6.109880974,383.41527,389.598548,393.2482512,397.8903938,405.5184465,1.002620683,450,0,1
ageclass.beta[10],373.5391247,8.252293148,359.263696,367.4767526,372.9909845,379.4519956,391.1699094,1.002978922,450,0,1
ageclass.beta[11],356.366153,11.78009935,334.0443981,347.9922471,356.4582582,364.2457714,379.1529766,1.001349962,450,0,1
ageclass.beta[12],331.6822835,36.27591992,267.2890616,306.8569109,328.6985849,356.2186382,405.7981081,0.99706989,450,0,1
antler_difference[1],285.923896,5.089356174,276.0421106,282.2706335,286.2598919,289.4097752,296.3836692,1.003051067,450,0,1
antler_difference[2],159.6381949,4.904181907,149.6726263,156.2480021,159.8604193,162.9793447,168.8308588,1.003521748,422,0,1
antler_difference[3],90.06578735,5.469590455,78.81791303,86.33226275,90.15663549,93.79326512,100.0787854,1.000541886,450,0,1
antler_difference[4],47.84822445,5.235176942,37.60909332,44.18969693,47.75739087,51.57322405,58.17218317,1.005365527,450,0,1
antler_difference[5],21.93996144,5.195440659,11.85333438,18.65023423,22.34018388,25.41384994,31.78672144,0.999373097,450,0,1
antler_difference[6],6.415101878,5.692311065,-4.40897258,2.702292872,6.497501174,10.19148549,17.02783005,1.004509998,441,1,0.857777778
antler_difference[7],0,0,0,0,0,0,0,NA,1,0,1
antler_difference[8],2.402743718,6.573613302,-10.25313657,-2.647164692,2.395222496,6.708468847,14.47440736,1.010380686,157,1,0.637777778
antler_difference[9],8.275988236,7.308931575,-6.627408283,3.527466221,8.257780428,13.38340114,22.04025294,1.002400551,450,1,0.866666667
antler_difference[10],28.58436568,9.276005487,10.26944947,22.25023553,29.17744487,34.83127362,45.58870267,1.004624924,296,0,1
antler_difference[11],45.75733737,12.66597722,19.39006734,37.84294425,45.9434266,54.14065192,70.50207703,1.002010509,450,0,1
antler_difference[12],70.44120682,36.59024957,-5.016126388,45.24756935,73.10311125,94.70999086,140.881195,0.996792818,450,1,0.964444444
deviance,23795.05772,4.854683289,23786.55607,23791.65836,23794.61071,23798.05846,23805.5546,1.003625414,450,0,1
