"","age","min","max","mean","sd","total_count"
"1",1,12.75,99,45.3822916666667,14.6814572571972,240
"2",2,51.375,147.125,93.3601239669422,16.3604125035854,242
"3",3,44.5,182.75,118.615898058252,18.4429986793666,206
"4",4,82,230.875,135.463541666667,21.0550412801105,192
"5",5,84,227.5,145.785828025478,22.5816097022749,157
"6",6,91.75,219.75,152.347115384615,24.3525923907368,130
"7",7,40.125,237,155.552989130435,28.3989450552768,92
"8",8,116,227.125,156.046610169492,23.6251128703868,59
"9",9,119.5,221,152.394444444444,23.0775920001471,45
"10",10,113.25,185.75,150.41875,22.389210975202,20
"11",11,101.125,194.75,142.152777777778,30.0489040057112,9
"12",12,115.5,147.25,131.375,22.4506403026729,2
