"","age","min","max","mean","sd","total_count"
"1",1,80,151,111.1375,12.7470502782008,240
"2",2,104,185,144.49173553719,15.9259806880401,242
"3",3,91,224,166.257281553398,18.0842694178913,206
"4",4,129,231,184.484375,20.6944807783588,192
"5",5,128,249,197.050955414013,20.5391421744147,157
"6",6,142,257,200.846153846154,20.8235337715729,130
"7",7,143,263,203.652173913043,23.6626634928069,92
"8",8,146,242,199.677966101695,21.0372745366377,59
"9",9,161,229,195.911111111111,17.1872339281517,45
"10",10,164,224,197.5,17.3311402121335,20
"11",11,163,222,190,18.6010752377383,9
"12",12,191,193,192,1.4142135623731,2
