"","age","min","max","mean","sd","total_count"
"1",1,12.75,99,46.1205357142857,15.187031903392,168
"2",2,51.625,142.5,93.4261695906433,15.8916232588267,171
"3",3,72,175.5,118.628546099291,16.8518090862144,141
"4",4,82,193.875,135.374074074074,19.5709845597063,135
"5",5,84,227.5,145.433411214953,20.4187610110294,107
"6",6,91.75,216.75,151.665760869565,22.8102549226109,92
"7",7,117.875,209.375,155.329225352113,21.5222189948615,71
"8",8,116,227.125,151.862244897959,20.6608628374706,49
"9",9,119.5,208.625,149.432142857143,20.0201723374243,35
"10",10,113.25,185.75,150.855263157895,22.9151235525122,19
"11",11,101.125,194.75,142.152777777778,30.0489040057112,9
"12",12,115.5,147.25,131.375,22.4506403026729,2
