"","age","min","max","mean","sd","total_count"
"1",1,80,151,113.267857142857,12.9764748976711,168
"2",2,112,185,146.730994152047,15.6565388953727,171
"3",3,91,224,170.666666666667,18.023265387773,141
"4",4,129,231,189.22962962963,19.2466088273841,135
"5",5,128,249,201.626168224299,20.9525624877155,107
"6",6,142,257,204.54347826087,22.2811274023152,92
"7",7,143,263,206.718309859155,25.1306205361345,71
"8",8,146,237,200.265306122449,21.626349197029,49
"9",9,161,229,195.714285714286,18.451161972929,35
"10",10,164,224,197,17.6572301841987,19
"11",11,163,222,190,18.6010752377383,9
"12",12,191,193,192,1.4142135623731,2
