"","age","min","max","mean","sd","total_count"
"1",1,16.375,77.5,43.6597222222222,13.37025587546,72
"2",2,51.375,147.125,93.2010563380282,17.5547457139799,71
"3",3,44.5,182.75,118.588461538462,21.6404582921932,65
"4",4,89.625,230.875,135.675438596491,24.4015292861047,57
"5",5,100.875,223,146.54,26.8453911409427,50
"6",6,112.125,219.75,153.996710526316,28.0005653725815,38
"7",7,40.125,237,156.309523809524,45.2501488092791,21
"8",8,136,220.875,176.55,27.5294160853441,10
"9",9,134.625,221,162.7625,30.5936886419768,10
"10",10,142.125,142.125,142.125,NA,1
