"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"Linf",403.256752357679,2.56898667080239,398.371985921676,401.615638255905,403.196501863542,404.946915499724,408.484437866685,0.997712395219663,300,0,1
"K",0.591554546245875,0.0172555015419386,0.559982675890444,0.579280483542946,0.59071798444883,0.602833812124841,0.626435324129805,0.999664489457988,300,0,1
"t0",0.430502246316168,0.0242475937527312,0.381838322704663,0.413092050624035,0.430998942108,0.446267361532852,0.474472766843724,1.01578183436023,106,0,1
"sigma",53.2316550249427,0.80208187738655,51.6135113603209,52.6886914638339,53.256139691415,53.791692599445,54.7783665841781,1.00125055620065,300,0,1
"derived_antlers[1]",115.227005730102,2.53144208250448,110.718223201963,113.517957228928,115.077298858746,116.860795145066,120.268325565199,1.02074192116727,94,0,1
"derived_antlers[2]",243.809673638216,1.87927075202966,240.580945310388,242.423200483628,243.7144313307,245.044334256505,247.898067285942,0.99708840371891,300,0,1
"derived_antlers[3]",314.96412868394,1.86573633795035,311.95970352859,313.497733314266,314.805351174573,316.307000032981,318.75981458447,1.00192975078873,300,0,1
"derived_antlers[4]",354.350918303853,1.58060105725856,351.545753752678,353.208994543003,354.378350283029,355.392906951554,357.490349997892,1.00615207721805,202,0,1
"derived_antlers[5]",376.159512541231,1.51730402462894,373.188993937145,375.09497487942,376.193916374726,377.26720055225,378.997716334503,1.00610984900753,202,0,1
"derived_antlers[6]",388.238572258743,1.70183760937062,384.760953870346,387.113040320727,388.273417967533,389.4827937331,391.327861819698,1.00347384046524,300,0,1
"derived_antlers[7]",394.930738197122,1.94547130908099,391.035131530364,393.596085676256,394.950780476025,396.271972600218,398.637003572197,1.00106290248333,300,0,1
"derived_antlers[8]",398.639493027662,2.15069225551463,394.386977734639,397.243976487748,398.644463299671,400.172479031858,402.909454811124,0.999610290517676,300,0,1
"derived_antlers[9]",400.695464666605,2.29917527487525,396.239410156607,399.161459266629,400.712503211542,402.238367939342,405.314720540113,0.998802736302118,300,0,1
"derived_antlers[10]",401.835539581192,2.3992310170515,397.246861239302,400.299061688979,401.821554726667,403.430436734166,406.699491810863,0.998349542624043,300,0,1
"derived_antlers[11]",402.467917398205,2.46399597179779,397.755505375582,400.898988978797,402.45177418946,404.083611317849,407.486649074267,0.998089106674839,300,0,1
"derived_antlers[12]",402.818787617336,2.50485648442252,398.03145723743,401.209076910716,402.770543201191,404.458952922277,407.934131607701,0.997936524034046,300,0,1
"deviance",23828.2856052084,2.50990222082766,23824.8900690729,23826.466746969,23827.6655819463,23829.5342569703,23834.35445402,1.0056598982012,300,0,1
