"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"beta1",20.0338303327071,16.1987259540162,-11.6768509513699,9.53920621052655,20.4618589286096,30.3092201770771,50.9057971204728,1.01909744744348,109,1,0.884444444444444
"beta2[1]",152.294809623337,0.420500191697552,151.475744264942,152.027591152726,152.300193529669,152.564546706267,153.115756446167,1.00156743654284,883,0,1
"beta2[2]",166.589494027457,0.376557052024023,165.878584819221,166.331280752185,166.609145543233,166.857083456445,167.326177364459,0.999060106402042,900,0,1
"beta2[3]",158.210922065306,0.48020906872089,157.288151713618,157.886231335658,158.195449065153,158.538556358768,159.173475004514,0.998932136681247,900,0,1
"beta3[1]",4.15565197744844,16.1896778644499,-26.6715932369878,-6.19283225757742,3.71565793881424,14.6544676476278,35.8661439451709,1.01927087716677,108,1,0.595555555555556
"beta3[2]",13.4219515409249,16.2171927794284,-17.130709857413,3.1679072892672,12.8290373969988,24.1962453782808,45.0409393535603,1.01891927606783,110,1,0.797777777777778
"beta3[3]",6.83181347203565,16.2170781310497,-23.5396149386362,-3.45144292688876,6.35690975783723,17.9674969608538,38.082079081862,1.01893281375665,110,1,0.648888888888889
"response[1,1]",123.266878859014,0.682752983427687,121.951700427047,122.815791212056,123.267636149219,123.760747785562,124.568372402979,1.00487833736025,343,0,1
"response[2,1]",124.306803697767,0.668675403532491,123.017423614385,123.867984263919,124.302963412798,124.790283258801,125.586796303934,1.00485464893477,344,0,1
"response[3,1]",125.34672853652,0.65478657957737,124.09241962737,124.923482445017,125.337402029711,125.813238649868,126.599206758673,1.00482700609872,346,0,1
"response[4,1]",126.386653375273,0.641098779358754,125.167415640354,125.970796503041,126.379359791209,126.84341391123,127.611574819048,1.00479497924063,348,0,1
"response[5,1]",127.426578214026,0.627625155320672,126.236397104299,127.013789513298,127.419951292886,127.872095540496,128.617909856575,1.0047581038719,351,0,1
"response[6,1]",128.466503052779,0.61437979856329,127.295753013764,128.056354248107,128.462773167394,128.904099338333,129.621896543719,1.00471588109897,354,0,1
"response[7,1]",129.506427891532,0.601377792048727,128.357921110792,129.09914841484,129.506314495266,129.929075001851,130.634098607324,1.00466777932915,357,0,1
