"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"beta1",28.2979977331447,0.53180023679002,27.2340237884264,27.9401727104675,28.2926127697747,28.6528367053918,29.338186162328,1.00026056856454,1500,0,1
"beta2",-0.164815395641996,15.6113261690496,-28.9209456101994,-10.9538324865442,-0.636968251669135,10.4726010662777,30.9560352640982,1.00057538133244,1500,1,0.518
"beta3[1]",151.380917519823,0.996810234671713,149.368059920314,150.763307296525,151.374252792925,152.020925966361,153.421851266154,1.00246504373214,664,0,1
"beta3[2]",165.169572828175,0.857261763582361,163.518512876422,164.602884441309,165.200387876597,165.73955066268,166.805864324766,0.999723000398857,1500,0,1
"beta3[3]",157.855593365908,1.02986861866363,155.850633352259,157.147851580807,157.835716149955,158.555648833831,159.888802306392,1.0019232446436,999,0,1
"beta4[1]",-1.72542210236015,15.5578492172086,-32.8341182925864,-12.1288326024523,-1.36689947094061,9.18824031797601,27.1450980939691,1.00063275579866,1500,1,0.532
"beta4[2]",3.17348610815154,15.6245750770895,-27.9770285572638,-7.4178685459587,3.6693599324404,13.8802635555452,32.2807137897285,1.00063777129015,1500,1,0.59
"beta4[3]",-0.978202201874598,15.5967046292593,-32.3929676164491,-11.6979284889225,-0.600694202789747,10.0528864699849,28.7787516480536,1.000429423229,1500,1,0.515333333333333
"eps1[1]",-0.0419628846320179,0.217638026896848,-0.470766297456017,-0.184809448970297,-0.0405581050185368,0.0992635254215487,0.382947262511511,1.00160269860476,1045,1,0.574666666666667
"eps1[2]",0.00406313876556584,0.209873950306366,-0.414208858830769,-0.141569260369818,0.00762234355095881,0.144686776898868,0.413230889760415,0.999503013807709,1500,1,0.512
"eps1[3]",0.0784390618306677,0.208809572725746,-0.338905757205437,-0.0600764365886979,0.0757312809433157,0.220457715146236,0.495301695827961,1.00171886741629,838,1,0.642666666666667
"eps1[4]",0.0652280396677704,0.205638409747002,-0.342319177634317,-0.0722898039043807,0.0620727875674822,0.205325979026055,0.458656417199583,1.00047634399942,1500,1,0.619333333333333
"eps1[5]",0.0670769969162853,0.21341392976164,-0.355583806674449,-0.0811155557030061,0.0679448745344952,0.21356551965852,0.47096313438803,1.00058275760643,1500,1,0.615333333333333
"eps1[6]",-0.0427486290079071,0.209623614401946,-0.44780683433417,-0.181902046376193,-0.0357531698437145,0.0867138627840973,0.381691995247543,1.00164428342247,1500,1,0.578666666666667
"eps1[7]",0.0108333250895815,0.207184170965867,-0.407806457910144,-0.130623486554454,0.0128902773631228,0.153396253461319,0.411249127627444,1.00123042659942,1500,1,0.527333333333333
"eps1[8]",0.118067564553908,0.218175018836533,-0.296458800266167,-0.0318735200615844,0.112617146683301,0.260005490851149,0.559845418558578,1.00988754648973,206,1,0.705333333333333
"eps1[9]",0.00595828948063476,0.205703386492035,-0.403625664574266,-0.135298704981141,0.00377613078846494,0.146768561212935,0.386916951223886,1.00017464768189,1500,1,0.509333333333333
"eps1[10]",-0.0660193859511744,0.213233987089874,-0.48520452435792,-0.202957510188492,-0.0625417656373338,0.0799087326841629,0.33250966863233,0.999882629772627,1500,1,0.608666666666667
"eps1[11]",-0.186583432953703,0.208104208071424,-0.598433547366003,-0.32226038803987,-0.185817424877036,-0.0490560795450971,0.218023118343688,0.999605652410511,1500,1,0.816
"eps2[1]",-0.00505591862960914,0.211439579340022,-0.410274449173776,-0.148258247015702,-0.0021363380357161,0.13611861554418,0.395817278504287,0.999672195875141,1500,1,0.503333333333333
