"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"bs.beta[1]",159.802352781673,0.353523793665186,159.103159579809,159.5647247412,159.81313980217,160.043400988393,160.466481516762,1.00285529079909,730,0,1
"bs.beta[2]",171.060472023124,0.322526466402944,170.464484954504,170.830369460295,171.068645502365,171.28008280663,171.664828046879,1.00037690893143,1482,0,1
"bs.beta[3]",160.942299176039,0.475922197734168,160.015309633101,160.633313327822,160.947453502772,161.247185409146,161.873719553461,1.0049748182813,370,0,1
"rain.by.beta",1.90393009557408,0.213961063559576,1.48049322802986,1.76215446955543,1.90556791234533,2.05018734608872,2.32862042601561,1.00225230032408,1210,0,1
"age.beta",9.99712982557995,0.00293621888723558,9.98937497632327,9.99610491227065,9.99803610885249,9.99917037401189,9.99989729442397,1.00339052588833,1500,0,1
"bodymass[1,1]",157.061791137158,0.454026543412559,156.135508810647,156.760536723881,157.069319750585,157.368195697603,157.961867756276,1.00241712427748,747,0,1
"bodymass[2,1]",157.140465849547,0.448514630960913,156.23020533043,156.84544681298,157.150024818323,157.444689460824,158.031062205879,1.0024271906072,743,0,1
"bodymass[3,1]",157.219140561936,0.443110579230539,156.322078095665,156.929860503063,157.227709352951,157.517821210181,158.104374248191,1.00243836803216,739,0,1
"bodymass[4,1]",157.297815274324,0.437818382258231,156.406258142814,157.005501815282,157.308049801644,157.594372576022,158.168528315445,1.00245069685643,735,0,1
"bodymass[5,1]",157.376489986713,0.432642144777387,156.492552792335,157.089405657847,157.389927431183,157.672804891033,158.232248916986,1.00246421016103,732,0,1
"bodymass[6,1]",157.455164699102,0.427586078128267,156.585177624694,157.171526845534,157.468299181565,157.74337970673,158.297998311864,1.00247893207302,728,0,1
"bodymass[7,1]",157.533839411491,0.422654495016696,156.673343817007,157.250136663572,157.545806700981,157.81432500192,158.371209756727,1.00249487588258,724,0,1
"bodymass[8,1]",157.61251412388,0.41785180301597,156.760275394712,157.333937831716,157.623429011097,157.887304464561,158.434736516786,1.00251204203384,721,0,1
"bodymass[9,1]",157.691188836269,0.413182496709078,156.851618574124,157.414324014989,157.70269982882,157.962426824779,158.505289234248,1.00253041601235,717,0,1
"bodymass[10,1]",157.769863548658,0.408651148373486,156.944725351789,157.494862513982,157.779592082122,158.040410632744,158.575631586716,1.00254996616918,714,0,1
"bodymass[11,1]",157.848538261047,0.404262397118953,157.036625276774,157.580025508845,157.860923780058,158.114630667417,158.640903506154,1.00257064153375,711,0,1
"bodymass[12,1]",157.927212973436,0.400020936400743,157.126168982523,157.661938061037,157.939082438386,158.189788959455,158.707019726552,1.00259236967275,708,0,1
"bodymass[13,1]",158.005887685825,0.395931499846456,157.21146224493,157.743414604263,158.017048052282,158.264830629662,158.773687170988,1.00261505467696,706,0,1
"bodymass[14,1]",158.084562398214,0.391998845354898,157.297358004162,157.83026032039,158.096971442682,158.342107945207,158.846946109391,1.00263857535269,703,0,1
"bodymass[15,1]",158.163237110603,0.388227737450139,157.384362762811,157.908591400613,158.173318649191,158.418300674883,158.909687127199,1.00266278372624,701,0,1
"bodymass[16,1]",158.241911822992,0.384622927903299,157.472710875902,157.987561328229,158.252266442407,158.49415310554,158.979843171964,1.00268750395249,699,0,1
"bodymass[17,1]",158.320586535381,0.381189134668514,157.554755076077,158.067953077609,158.331645780339,158.573157139484,159.051056395146,1.0027125317498,698,0,1
"bodymass[18,1]",158.399261247769,0.377931019217696,157.644574043432,158.151341988866,158.411323236066,158.651211398798,159.116673479648,1.00273763446316,696,0,1
"bodymass[19,1]",158.477935960158,0.374853162400551,157.733324609576,158.230968706428,158.48895761071,158.727741524652,159.183780509034,1.00276255186381,695,0,1
"bodymass[20,1]",158.556610672547,0.37196003900101,157.817348971951,158.311679280873,158.56645284369,158.808608965169,159.246990438079,1.00278699777289,694,0,1
"bodymass[21,1]",158.635285384936,0.369255991207651,157.904517369011,158.3932220964,158.641923801445,158.88680448503,159.315087887498,1.00281066258813,694,0,1
"bodymass[22,1]",158.713960097325,0.36674520126244,157.990105493013,158.472947706155,158.721798917851,158.962016415647,159.395483139192,1.00283321675193,694,0,1
"bodymass[23,1]",158.792634809714,0.364431663597556,158.080941074643,158.556771280302,158.801432320761,159.043692805597,159.469739183675,1.00285431517305,694,0,1
"bodymass[24,1]",158.871309522103,0.362319156812207,158.158573067036,158.63845963554,158.882308016692,159.116798295698,159.537347666999,1.00287360257867,694,0,1
"bodymass[25,1]",158.949984234492,0.360411215878345,158.234872438305,158.717311237943,158.962483200996,159.198871398974,159.616650897967,1.00289071970459,695,0,1
"bodymass[26,1]",159.028658946881,0.358711104993805,158.314651353304,158.794588971614,159.040294004598,159.276547600387,159.692547173686,1.00290531021413,696,0,1
"bodymass[27,1]",159.10733365927,0.357221791521764,158.399956017227,158.872580678651,159.119923969632,159.35305344997,159.772647657277,1.00291702816018,698,0,1
"bodymass[28,1]",159.186008371659,0.355945921464669,158.481025803185,158.952193403108,159.199874775005,159.427868955464,159.849533139878,1.00292554578153,700,0,1
"bodymass[29,1]",159.264683084048,0.354885796917568,158.566029297508,159.030645606078,159.279951440242,159.504418442967,159.924666044843,1.00293056136585,702,0,1
"bodymass[30,1]",159.343357796437,0.354043355929008,158.640621425623,159.11083474416,159.357703023374,159.587190570902,159.99885813784,1.0029318069177,705,0,1
"bodymass[31,1]",159.422032508826,0.353420155167053,158.723118845188,159.187735451387,159.437633519208,159.665179145909,160.080157470043,1.00292905530977,709,0,1
"bodymass[32,1]",159.500707221215,0.353017355743742,158.810362074854,159.26507069144,159.514485793005,159.745991988132,160.155654914456,1.00292212666043,712,0,1
"bodymass[33,1]",159.579381933603,0.352835712494464,158.886839371511,159.344128344796,159.591932826169,159.822813417887,160.236090230463,1.00291089363599,716,0,1
"bodymass[34,1]",159.658056645992,0.352875566940842,158.956457433731,159.421634914863,159.668895824392,159.900688931851,160.31360489665,1.00289528547211,721,0,1
"bodymass[35,1]",159.736731358381,0.35313684408928,159.031030177462,159.499189900901,159.749083455638,159.982316112675,160.400333860319,1.00287529051973,726,0,1
"bodymass[36,1]",159.81540607077,0.353619053134901,159.115595265143,159.579980013856,159.825967101039,160.056875737278,160.480948821685,1.00285095719741,731,0,1
"bodymass[37,1]",159.894080783159,0.354321292055506,159.188616555663,159.658482833714,159.904738760236,160.133371624059,160.577600855176,1.00282239332439,737,0,1
"bodymass[38,1]",159.972755495548,0.3552422559957,159.267505194155,159.736756999064,159.983870576761,160.21491322808,160.659579637945,1.00278976383878,743,0,1
"bodymass[39,1]",160.051430207937,0.356380249260699,159.339363640765,159.815687329364,160.062456606769,160.293645516722,160.740449545952,1.00275328702463,750,0,1
"bodymass[40,1]",160.130104920326,0.357733200665653,159.418510303535,159.89334952659,160.138640289579,160.374060945345,160.818046248651,1.00271322940007,757,0,1
"bodymass[41,1]",160.208779632715,0.359298681922212,159.498226969433,159.97077450831,160.213408806529,160.456053339254,160.900551234806,1.00266989949396,764,0,1
"bodymass[42,1]",160.287454345104,0.361073928691559,159.575277146832,160.047970273896,160.29017069609,160.53593815916,160.987478989666,1.00262364077045,772,0,1
"bodymass[43,1]",160.366129057493,0.363055863893764,159.652637975343,160.125457988379,160.367559910803,160.612149540825,161.077054933495,1.00257482397497,780,0,1
"bodymass[44,1]",160.444803769882,0.365241122837652,159.729042103063,160.20118533568,160.443075246851,160.694418316924,161.160723676912,1.00252383920492,788,0,1
"bodymass[45,1]",160.523478482271,0.3676260797236,159.802950071147,160.278908470422,160.519408634599,160.773255792952,161.25058954233,1.00247108797214,797,0,1
"bodymass[46,1]",160.60215319466,0.370206875073043,159.864561794859,160.355363590039,160.600815728722,160.851966860719,161.338363165758,1.00241697551893,806,0,1
"bodymass[47,1]",160.680827907048,0.372979443651959,159.931822519477,160.42762794492,160.677948530471,160.934899734067,161.421108882661,1.00236190360944,815,0,1
"bodymass[48,1]",160.759502619437,0.375939542479471,160.002771288142,160.506656110268,160.756534449653,161.014266504811,161.505256770847,1.00230626398487,824,0,1
"bodymass[49,1]",160.838177331826,0.37908277854526,160.069680908247,160.58439657493,160.835955211391,161.093032822301,161.592772159742,1.00225043260831,834,0,1
"bodymass[50,1]",160.916852044215,0.382404635898529,160.136148014482,160.658316848932,160.914418008825,161.17058365241,161.67973959349,1.00219476479916,844,0,1
"bodymass[51,1]",160.995526756604,0.385900501814847,160.209333777915,160.732016445453,160.993810991682,161.253012032056,161.766149173414,1.00213959129646,853,0,1
"bodymass[52,1]",161.074201468993,0.389565691793293,160.278593170799,160.809783923752,161.073939939905,161.338085870316,161.852239933916,1.00208521526559,864,0,1
"bodymass[53,1]",161.152876181382,0.39339547318315,160.349299898391,160.888456648819,161.152452592187,161.420736980693,161.941925618293,1.00203191020528,874,0,1
"bodymass[54,1]",161.231550893771,0.397385087285335,160.416693687405,160.966649082082,161.234849281496,161.503278943423,162.032894779544,1.00197991871192,884,0,1
"bodymass[55,1]",161.31022560616,0.401529769817538,160.490895795996,161.045332614105,161.312448251721,161.585799297502,162.123519061662,1.00192945201189,894,0,1
"bodymass[56,1]",161.388900318549,0.405824769672636,160.563708307416,161.120754018718,161.393799599556,161.66235963359,162.205855649454,1.0018806901729,904,0,1
"bodymass[57,1]",161.467575030938,0.410265365936661,160.63917828603,161.194170282043,161.471680042475,161.74626552569,162.29048309964,1.00183378289594,915,0,1
"bodymass[58,1]",161.546249743327,0.414846883164873,160.71104346189,161.271606960552,161.55078294458,161.827534651408,162.379338189196,1.00178885077854,925,0,1
"bodymass[59,1]",161.624924455716,0.419564704942214,160.784398422489,161.344679660362,161.628417880247,161.911184556042,162.46713864259,1.00174598695152,935,0,1
"bodymass[60,1]",161.703599168105,0.424414285777538,160.858077976402,161.418845423105,161.706785861483,161.989526904161,162.554232973635,1.00170525899175,945,0,1
"bodymass[61,1]",161.782273880494,0.429391161399533,160.935795265794,161.49464438074,161.781905307747,162.073029102405,162.640498172218,1.00166671102578,956,0,1
"bodymass[62,1]",161.860948592882,0.434490957536739,161.007657784724,161.569660827706,161.863740822102,162.156448139679,162.728433935609,1.00163036594157,966,0,1
"bodymass[63,1]",161.939623305271,0.439709397274516,161.076575768884,161.643965195802,161.945168735136,162.237965689228,162.815536329347,1.00159622764488,975,0,1
"bodymass[64,1]",162.01829801766,0.445042307088905,161.142964404328,161.719418049994,162.024537800056,162.319299778004,162.902638723085,1.00156428330484,985,0,1
"bodymass[65,1]",162.096972730049,0.450485621661429,161.214283816451,161.792950531756,162.102869006258,162.397668723588,162.989837920986,1.00153450553758,995,0,1
"bodymass[66,1]",162.175647442438,0.456035387580312,161.286927895427,161.869619884853,162.180513186787,162.477086700334,163.075475470355,1.00150685450092,1004,0,1
"bodymass[67,1]",162.254322154827,0.461687766032995,161.352278195608,161.944165856784,162.255646753279,162.561099788441,163.162434393487,1.00148127986328,1014,0,1
"bodymass[68,1]",162.332996867216,0.46743903459245,161.421892758921,162.018658828512,162.333131644009,162.64394885936,163.247524265604,1.00145772263916,1023,0,1
"bodymass[69,1]",162.411671579605,0.473285588196046,161.48344923378,162.09316421833,162.411790409844,162.728186490618,163.336783691071,1.001436116871,1032,0,1
"bodymass[70,1]",162.490346291994,0.479223939411007,161.544444503348,162.168004472983,162.49164387623,162.810624928356,163.424454888494,1.00141639115673,1041,0,1
"bodymass[71,1]",162.569021004383,0.485250718075001,161.617353353535,162.245721447651,162.573127011565,162.896763259023,163.512355479252,1.00139847002059,1050,0,1
"bodymass[72,1]",162.647695716772,0.491362670394461,161.683505061006,162.317865099316,162.652241847382,162.979722762211,163.609140693863,1.00138227513017,1058,0,1
"bodymass[73,1]",162.726370429161,0.497556657577023,161.745996129506,162.397530183214,162.727694626415,163.060185731281,163.701904598801,1.00136772636434,1066,0,1
"bodymass[74,1]",162.80504514155,0.503829654068151,161.811674410719,162.470347869145,162.804349882099,163.136901167994,163.795180650135,1.0013547427428,1074,0,1
"bodymass[75,1]",162.883719853939,0.510178745455766,161.880243799098,162.545326280848,162.881860055039,163.21669809875,163.88845670147,1.00134324322344,1082,0,1
"bodymass[76,1]",162.962394566327,0.516601126100571,161.947382197932,162.623896901978,162.961321686334,163.300927559654,163.981986444937,1.00133314737853,1090,0,1
"bodymass[77,1]",163.041069278716,0.523094096543928,162.010359395628,162.704400107656,163.038907553516,163.38882319295,164.076770057984,1.00132437596224,1097,0,1
"bodymass[78,1]",163.119743991105,0.529655060739544,162.073483082557,162.779855533668,163.120627576657,163.471434948717,164.169738602223,1.00131685137665,1104,0,1
"bodymass[79,1]",163.198418703494,0.53628152315,162.140896361657,162.854150470377,163.197529142484,163.553219582219,164.257853395745,1.0013104980506,1111,0,1
"bodymass[80,1]",163.277093415883,0.542971085744286,162.213954494052,162.928267839139,163.275804444127,163.633392571729,164.345968189267,1.00130524273757,1118,0,1
"bodymass[81,1]",163.355768128272,0.549721444928016,162.28698382008,163.002586084385,163.354576654357,163.71481883939,164.435668129063,1.00130101474676,1125,0,1
"bodymass[82,1]",163.434442840661,0.556530388433852,162.359944230997,163.076926859168,163.436088499154,163.792473938672,164.533680691485,1.00129774611052,1131,0,1
"bodymass[83,1]",163.51311755305,0.563395792195945,162.432904641914,163.150852313274,163.516157585856,163.880316941481,164.628690280669,1.0012953717026,1137,0,1
"bodymass[84,1]",163.591792265439,0.570315617228766,162.50516387902,163.223899063459,163.593660789174,163.964104049416,164.725373953429,1.00129382930893,1143,0,1
"bodymass[85,1]",163.670466977828,0.577287906527698,162.57436828257,163.299435033535,163.672057027096,164.047083137346,164.820323354187,1.00129305966274,1149,0,1
"bodymass[86,1]",163.749141690217,0.584310782005952,162.639625690679,163.375126888102,163.749552788719,164.132190050573,164.914423780391,1.00129300644643,1155,0,1
"bodymass[87,1]",163.827816402606,0.591382441480009,162.697606619707,163.448990441557,163.82731652786,164.215204322133,165.005185407619,1.00129361626649,1160,0,1
"bodymass[88,1]",163.906491114995,0.598501155713567,162.759332106064,163.522699310736,163.906699525003,164.298099284601,165.089976211319,1.00129483860879,1165,0,1
"bodymass[89,1]",163.985165827384,0.605665265528135,162.82105759242,163.595952626374,163.98778070437,164.386986978743,165.180198277553,1.00129662577493,1170,0,1
"bodymass[90,1]",164.063840539773,0.612873178986672,162.882783078777,163.66688894697,164.06756892777,164.468490936356,165.273552283457,1.0012989328039,1175,0,1
"bodymass[91,1]",164.142515252161,0.620123368655273,162.944508565134,163.740799241749,164.147616364554,164.548775866593,165.370634735087,1.00130171738554,1180,0,1
"bodymass[92,1]",164.22118996455,0.627414368946608,163.006234051491,163.817188549592,164.228184375266,164.634586130915,165.467717186717,1.00130493976391,1185,0,1
"bodymass[93,1]",164.299864676939,0.634744773547722,163.071390571869,163.893289446851,164.304779973446,164.71876885026,165.564799638348,1.00130856263598,1189,0,1
"bodymass[94,1]",164.378539389328,0.64211323293388,163.135073682741,163.965831090448,164.38450326325,164.801370344499,165.66241732229,1.00131255104641,1193,0,1
"bodymass[95,1]",164.457214101717,0.649518451969319,163.196964769095,164.039881959619,164.463728565253,164.884251790495,165.756642817382,1.0013168722802,1197,0,1
"bodymass[96,1]",164.535888814106,0.656959187595101,163.255157052255,164.11734360624,164.539881781444,164.967991191394,165.851578898634,1.00132149575501,1201,0,1
"bodymass[97,1]",164.614563526495,0.664434246603665,163.318839931747,164.192196050989,164.617097639315,165.052069010876,165.944880823405,1.00132639291327,1205,0,1
"bodymass[98,1]",164.693238238884,0.671942483499233,163.385989405937,164.264012808741,164.696187218998,165.137860585944,166.038239029821,1.00133153711654,1208,0,1
"bodymass[99,1]",164.771912951273,0.679482798442775,163.453090189328,164.340401891439,164.774692460532,165.2256226977,166.128649446167,1.00133690354126,1212,0,1
"bodymass[100,1]",164.850587663662,0.687054135279969,163.518107790993,164.415463834446,164.85237260883,165.308876376972,166.216771183419,1.00134246907743,1215,0,1
"bodymass[1,2]",168.319910378609,0.470357489550402,167.423764485241,168.002780085249,168.298039004268,168.646847289596,169.248316893041,1.00142293908547,1452,0,1
"bodymass[2,2]",168.398585090998,0.463925082302545,167.515111994768,168.08539085821,168.378037470893,168.722393627419,169.310442370835,1.00138856392118,1456,0,1
"bodymass[3,2]",168.477259803386,0.457573092718378,167.606799078425,168.168692830631,168.457493330047,168.797092929076,169.377487216818,1.00135327000385,1460,0,1
"bodymass[4,2]",168.555934515775,0.451304916378573,167.697326124869,168.255592210024,168.535663276273,168.872232160173,169.44580970967,1.00131708364476,1464,0,1
"bodymass[5,2]",168.634609228164,0.445124094036991,167.788569364584,168.331658574176,168.614977405517,168.948334920592,169.514132202522,1.00128003931881,1468,0,1
"bodymass[6,2]",168.713283940553,0.439034315075948,167.880017926593,168.417496290398,168.69575277487,169.024526873949,169.577834520858,1.00124218050984,1472,0,1
"bodymass[7,2]",168.791958652942,0.433039420507339,167.973095005957,168.50145145968,168.778112809128,169.099667633305,169.641597628135,1.00120356056625,1476,0,1
"bodymass[8,2]",168.870633365331,0.427143405415123,168.062305070091,168.582506576235,168.860919550869,169.170454316578,169.702085711058,1.00116424355721,1480,0,1
"bodymass[9,2]",168.94930807772,0.421350420722582,168.151596444192,168.666274507647,168.939174631234,169.245746651609,169.765818916756,1.00112430510072,1484,0,1
"bodymass[10,2]",169.027982790109,0.415664774155494,168.241070304094,168.746202004289,169.020862458657,169.317958109036,169.835501991342,1.00108383314636,1488,0,1
"bodymass[11,2]",169.106657502498,0.410090930260046,168.329437405648,168.825421936627,169.102833146336,169.395941342344,169.902866455163,1.00104292868151,1492,0,1
"bodymass[12,2]",169.185332214887,0.404633509322367,168.416125276162,168.907424866746,169.183695026686,169.470861579314,169.969306993589,1.00100170632107,1495,0,1
"bodymass[13,2]",169.264006927276,0.399297285025443,168.508544827861,168.991203754398,169.262470572379,169.546365923958,170.041189897886,1.00096029474977,1499,0,1
"bodymass[14,2]",169.342681639665,0.394087180669478,168.58600627689,169.077366670781,169.339727450208,169.622363383547,170.106594904351,1.00091883696693,1500,0,1
"bodymass[15,2]",169.421356352054,0.389008263774071,168.67969445438,169.161100924327,169.416840131407,169.700269357371,170.179264596724,1.00087749028897,1500,0,1
"bodymass[16,2]",169.500031064443,0.384065738875766,168.767870814322,169.242554656403,169.497147034541,169.772641603533,170.24707699471,1.000836426057,1500,0,1
"bodymass[17,2]",169.578705776832,0.379264938333391,168.856707736102,169.323847733297,169.57720258041,169.846483724953,170.314169711504,1.00079582900233,1500,0,1
"bodymass[18,2]",169.65738048922,0.374611310957165,168.94782888999,169.406685132484,169.656001490811,169.924191699416,170.38049572897,1.0007558962163,1500,0,1
"bodymass[19,2]",169.736055201609,0.370110408286814,169.028408756011,169.490231341158,169.734185129437,169.998929761739,170.444751034888,1.00071683568037,1500,0,1
"bodymass[20,2]",169.814729913998,0.365767868359962,169.108276332868,169.57062168167,169.813446993336,170.073599522076,170.508264752873,1.00067886431745,1500,0,1
"bodymass[21,2]",169.893404626387,0.361589396835859,169.196494626939,169.651573823663,169.890016521215,170.148536683171,170.574043356986,1.00064220554037,1500,0,1
"bodymass[22,2]",169.972079338776,0.357580745372037,169.280569259408,169.72671441636,169.971467601403,170.221220672875,170.640739676836,1.00060708628545,1500,0,1
"bodymass[23,2]",170.050754051165,0.353747687193423,169.366326130898,169.80683195733,170.05136190003,170.29578263812,170.709027350478,1.0005737335435,1500,0,1
"bodymass[24,2]",170.129428763554,0.350095989845272,169.45236306386,169.886226850263,170.131488534982,170.369028742143,170.781366025011,1.00054237042138,1500,0,1
"bodymass[25,2]",170.208103475943,0.346631385183105,169.539195564137,169.96529600232,170.209710082325,170.446297039404,170.854278955359,1.0005132118051,1500,0,1
"bodymass[26,2]",170.286778188332,0.343359536724039,169.62540433238,170.047176204066,170.291502229576,170.523787363871,170.92539813119,1.00048645971146,1500,0,1
"bodymass[27,2]",170.365452900721,0.340286004563672,169.712182962888,170.12939618767,170.370379871711,170.5984786546,171.000546716692,1.00046229846701,1500,0,1
"bodymass[28,2]",170.44412761311,0.337416208148986,169.79817601611,170.21033844894,170.448746432493,170.672255190951,171.073669694385,1.00044088986378,1500,0,1
"bodymass[29,2]",170.522802325499,0.334755387288306,169.880152144688,170.289593856675,170.529774182185,170.74757115852,171.146633708388,1.00042236848749,1500,0,1
