"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"beta1",28.2102509020686,0.559377274421962,27.1237765467545,27.8486153928353,28.1978399565378,28.6009688676399,29.3132681106347,1.00096545458998,1211,0,1
"beta2",-0.759254121870911,15.9636194920973,-31.5149538241947,-11.9956400826182,-0.764081623628767,10.365480436593,30.9157588466681,1.00002535044178,1500,1,0.522
"beta3[1]",152.384617132874,0.997894487538852,150.467008393001,151.693850052288,152.400879068276,153.075017818987,154.315083885993,1.0000428132683,1500,0,1
"beta3[2]",166.30814402662,0.892851521345029,164.504555579421,165.704159808881,166.289024888533,166.928773690928,167.987126400846,1.0001395099181,1500,0,1
"beta3[3]",157.73811492114,1.055262203593,155.668590282328,156.999261593332,157.735479370995,158.449812974708,159.787615971236,1.00126717671813,1036,0,1
"beta4[1]",3.22479600423283,15.9255509796504,-28.6746780547414,-8.03533638955116,3.35275259324808,14.2012507456538,34.2397417013699,1.00011004151499,1500,1,0.584
"beta4[2]",-0.376388952888464,15.9820587411716,-32.3387326825291,-11.6981616682688,-0.211699330074516,10.9841981563543,30.1013610167249,0.999988784002307,1500,1,0.506
"beta4[3]",-0.868160014857977,15.9479635712485,-32.3681979433713,-12.1296126992463,-0.847900174105653,10.1143379740017,29.5887367295487,0.999959694908428,1500,1,0.516
"eps1[1]",-0.0411117242195717,0.211724164045938,-0.460734350678971,-0.181946503222567,-0.0429337601091007,0.100149819881163,0.367543884786514,0.999683079687948,1500,1,0.571333333333333
"eps1[2]",-0.00515092250569608,0.215488353387912,-0.435773265714986,-0.151849443652516,0.00350140068543572,0.139100720829106,0.408659352041575,0.999850167806398,1500,1,0.497333333333333
"eps1[3]",0.0694997676287311,0.205885051080642,-0.339096030091094,-0.0699463023250406,0.0657360029850378,0.208170508221706,0.46053755761572,1.00042090778754,1440,1,0.63
"eps1[4]",0.0700842868297955,0.212433965456203,-0.33643870943945,-0.0753707071348436,0.0712679164451614,0.214558276890563,0.486848780884995,1.00122455771797,1500,1,0.636666666666667
"eps1[5]",0.071692388363018,0.209231634223895,-0.337074554160631,-0.0669497911594656,0.0749779607272789,0.210157778469802,0.472050393941492,1.00202120822233,897,1,0.626666666666667
"eps1[6]",-0.0439979993048536,0.208474262511149,-0.465294233565648,-0.187242033200912,-0.0366399495567461,0.0977785331616045,0.331134810511435,1.0028991083949,540,1,0.572
"eps1[7]",0.0111337017446405,0.212406792849985,-0.410623600601997,-0.129494659749311,0.0153780094716502,0.150979379131201,0.441493129987005,1.00236760366524,651,1,0.534666666666667
"eps1[8]",0.123744608338281,0.213999155921723,-0.29292960041475,-0.0185516049824396,0.121662964625939,0.267752043972255,0.543568300454857,0.999157395570378,1500,1,0.72
"eps1[9]",-0.00997027186766295,0.213575531222377,-0.430662385973124,-0.158058594714231,-0.00927906041194743,0.137561806878824,0.403110142364612,1.00427694207109,557,1,0.514666666666667
"eps1[10]",-0.0495392551237852,0.2073706144611,-0.462166237704967,-0.191415910661316,-0.049337099023636,0.0940458530071342,0.358782984277365,1.00043576732555,1500,1,0.597333333333333
"eps1[11]",-0.183922592592332,0.210894252464348,-0.590152864839867,-0.328394150672139,-0.183210476905506,-0.0382598279241778,0.228202518366366,1.00172658481417,773,1,0.806
"eps2[1]",0.00296639619852481,0.215773408409575,-0.42845278788368,-0.13931709319923,-0.000798034646389209,0.147380260827215,0.42949153519685,1.00055382243116,1500,1,0.498666666666667
"eps2[2]",0.00364570409317467,0.215993517601628,-0.419839744138701,-0.14000896500804,0.00314368673017495,0.153847163821488,0.408410466173902,1.00356518560652,489,1,0.506
"eps2[3]",0.00330641213953688,0.206824209491775,-0.398952230805991,-0.133943678178845,0.00640810115787423,0.1458927510258,0.408431418936724,1.00072962642498,1500,1,0.512666666666667
"eps2[4]",0.0143334757676194,0.217883329442948,-0.406909311611993,-0.123270931097427,0.011606773814767,0.159226424819013,0.464403935474055,1.00065888223187,1500,1,0.524666666666667
"eps2[5]",0.00688612508185307,0.209743306024198,-0.391988202839697,-0.134303051505463,0.00318343881684063,0.148532297505537,0.412915731555388,1.00111639108449,1500,1,0.508
"eps2[6]",0.0197998275573301,0.207184996289629,-0.381100340675565,-0.115090008779446,0.0206499761742009,0.157846066668175,0.424864772979812,1.00001794057217,1500,1,0.535333333333333
"eps2[7]",-0.00966752051580477,0.211627670013897,-0.423652762315801,-0.158470627073475,-0.0110242184701283,0.139920041504639,0.39086970114767,1.00011904368794,1500,1,0.516666666666667
