"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"bs.beta[1]",136.088865243067,7.97437046864031,120.99268222034,130.524974092127,136.105669684311,141.446072629715,151.804495111769,1.00018795673709,1500,0,1
"bs.beta[2]",147.887817177725,7.95416607917965,132.851210174254,142.183339584087,147.788771253531,153.295638444754,163.570404037526,1.00005826578986,1500,0,1
"bs.beta[3]",137.453660538629,7.97109220329567,122.317268380747,131.834633204977,137.37130428076,142.850122452255,153.006164204257,0.999855663019478,1500,0,1
"rain.by.beta",1.30810023034458,0.20306326762522,0.901671225883414,1.17530301720295,1.31006813838509,1.44596173066602,1.70296371494976,1.00159850063008,1237,0,1
"age.beta[1]",-33.043309683649,7.95687660137097,-48.5551332044853,-38.4137430055851,-32.9502403314891,-27.4556920985719,-18.1107499524069,1.00014156999844,1500,0,1
"age.beta[2]",0.0228622808165494,7.96538613106994,-15.8412610156445,-5.38831556798636,0.201630972776218,5.61889324314556,15.1873335961588,1.00022240438262,1500,1,0.507333333333333
"age.beta[3]",21.7062407604308,7.97574937059699,5.90131684173789,16.4464929291099,21.8329049580887,27.2416922143515,36.8726442606037,1.00016437493884,1500,0,0.994666666666667
"age.beta[4]",39.5631651283862,7.97520539917391,23.8326671789563,34.1538772045371,39.5362795052895,45.1102913907246,54.5023859112131,0.999995267812455,1500,0,1
"age.beta[5]",51.3708718858845,8.00265030762743,35.7122468419809,46.0326829849058,51.5100430686386,57.1093249097746,66.8563736800983,1.00022669387751,1500,0,1
"age.beta[6]",54.8808328636578,7.99686127846551,38.8202733639737,49.622734811166,55.0249371895236,60.5127719119008,69.7954281664537,0.9998006822151,1500,0,1
"age.beta[7]",56.1003856444288,7.97527756785503,40.2775153539326,50.7793186861721,56.2082844865186,61.6165618742202,71.1754144124666,0.999966939161476,1500,0,1
"age.beta[8]",52.5619955214408,7.97947264740783,36.3869680678979,47.0617102179981,52.7527809296299,58.1939452124297,67.6149268463351,0.999944574680498,1500,0,1
"age.beta[9]",50.819021281046,8.02113941827962,35.279921316143,45.3537463924731,50.8756145783349,56.1117971475872,66.1323534195182,1.00004203527167,1500,0,1
"age.beta[10]",49.4336277268768,8.0841452365559,33.7554051573675,44.0496819802386,49.3565044928947,55.163742979472,64.2385733723631,0.999969937671239,1500,0,1
