"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"bs.beta[1]",135.768787364016,8.0330187920187,119.324448475918,130.362780928983,135.856960089782,140.999618182206,151.347691769627,1.0021164689921,724,0,1
"bs.beta[2]",147.361261836618,8.03386132672304,130.982258006085,142.003434482743,147.342178291035,152.584124572051,163.229503598608,1.00216398842442,720,0,1
"bs.beta[3]",135.541167595257,8.0360716395988,118.925991429516,130.342826883689,135.543769182855,140.809503331233,150.98743346703,1.00192833846742,773,0,1
"rain.by.beta",-0.129410149983348,15.3694658086572,-30.6604475493322,-10.2886908797327,-0.398949926367359,10.1834667648706,30.031145161664,1.00081101224234,1333,1,0.507333333333333
"age.beta[1]",-32.6782015866335,8.04426803086324,-48.2979322904251,-37.9317471310602,-32.747272625694,-27.4405554732727,-16.2791924301288,1.00206600717729,747,0,1
"age.beta[2]",0.487757277960654,8.04245584821524,-14.996318269641,-4.76849043265523,0.443903605296592,5.7191068568001,17.0942327497924,1.00222599808885,724,1,0.522
"age.beta[3]",22.2028946703389,8.02221199634758,6.45461741467307,17.0522730646054,22.0909194167544,27.6468448322426,38.6118809579287,1.00219134850008,708,0,0.998666666666667
"age.beta[4]",39.9717008458756,8.05124124697793,24.4125543633469,34.7700571232984,39.8637956128044,45.2626837826989,56.3621561072206,1.00255829101575,635,0,1
"age.beta[5]",51.7517550304512,8.09212654361653,36.2050639156662,46.514743032833,51.7120141891283,56.9616563188686,68.5234563700583,1.00194903423541,805,0,1
"age.beta[6]",55.2437395886546,8.02795255925847,39.6223020290458,49.9692183269687,55.2107089046871,60.5844295753848,71.9374234831277,1.00211772447712,695,0,1
"age.beta[7]",56.5023043181226,8.07251989823161,40.7483796315091,51.125419296365,56.4023523056046,61.91528226733,73.1496503245548,1.00221217751667,696,0,1
"age.beta[8]",52.8396296566696,8.07496677357828,37.2964869201342,47.6389020199059,52.7720268725466,58.1464253328721,69.7513462801276,1.00179059355539,819,0,1
"age.beta[9]",50.8382643701053,8.12552923532791,35.3533029428187,45.525883516601,50.7066506832316,56.2400792087824,67.5806600521907,1.0021483261748,716,0,1
"age.beta[10]",49.3737558473312,8.1399284545261,33.688073798273,44.0632269621105,49.3121922569635,54.8949670093137,65.9738210992431,1.00156324551336,844,0,1
"age.beta[11]",41.2344754227893,8.22189727893775,25.3124006005518,35.8760331168951,41.1029957025235,46.6990405134126,58.1622210845946,1.00226175804347,893,0,1
"age.beta[12]",32.6838553789768,8.7092316039597,15.8329871885159,27.0540898229132,32.6436465752245,38.5393045663067,49.6799539714065,1.0041853771658,424,0,0.999333333333333
"rain.bs.beta[1]",2.16627020275518,15.3778939743358,-27.9005086656954,-8.22710020987577,2.52948593175945,12.3055133741226,32.6506649784448,1.00082069922041,1301,1,0.558666666666667
"rain.bs.beta[2]",2.15639101966422,15.3675692080261,-28.0629926533128,-8.08732300572325,2.45164329654182,12.4978756735184,32.5859314213236,1.00078503792064,1362,1,0.554
"rain.bs.beta[3]",-4.11148704601666,15.3775754325911,-34.568033847974,-14.4827729849955,-3.88205335289722,6.11829736780893,26.1848648342895,1.00099279985224,1210,1,0.602
"deviance",22720.8592225592,26.5189515749418,22670.3083727217,22702.7676088675,22720.214890325,22738.6980871029,22771.9003009907,1.00218665541342,962,0,1
