"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"bs.beta[1]",159.861188451469,0.353706213018044,159.182298317865,159.630441595782,159.858662482291,160.096042625144,160.564956475448,1.00327147437365,480,0,1
"bs.beta[2]",170.92606016258,0.327393839117334,170.276232604128,170.707330915588,170.922679424935,171.132822199865,171.565376088329,1.00411761723426,466,0,1
"bs.beta[3]",159.408388508729,0.524637470236118,158.418800152124,159.050849151103,159.41215179398,159.759979286877,160.480662272332,1.00108459140851,1500,0,1
"rain.by.beta",0.742548878414892,16.1939811367718,-29.2964087769588,-10.5535820990938,0.362447948124797,11.3764265668442,32.875938098945,1.00352172866842,925,1,0.506
"age.beta",9.99737174908545,0.00266336227249466,9.99038227713322,9.99633255496568,9.99820824251124,9.99924609713245,9.99993415645601,1.00794107153994,1201,0,1
"rain.bs.beta[1]",1.94549192076068,16.1857815060435,-29.8243100701622,-8.73742107330389,2.4093049536806,13.2441053473616,32.2738063733334,1.00340298007501,915,1,0.545333333333333
"rain.bs.beta[2]",1.87189912518929,16.1945548537998,-30.1564095901843,-8.86830033713908,2.26670916188518,13.177105062387,31.9363213334447,1.00359189636024,926,1,0.546
"rain.bs.beta[3]",-4.40114138445671,16.2087860114017,-36.2693001418239,-15.3230064743262,-3.94170447313471,6.85156147410285,25.6747195293109,1.00377030227692,904,1,0.596666666666667
"bodymass[1,1]",155.991959465469,0.625908281232078,154.754457153254,155.566809784322,155.974708025192,156.395711117608,157.240562276703,1.00381025649158,888,0,1
"bodymass[2,1]",156.103035411617,0.613158580512961,154.891866216232,155.689273693468,156.083843737266,156.496308910034,157.331635507624,1.00384237319408,864,0,1
"bodymass[3,1]",156.214111357764,0.600538965723249,155.030247690283,155.807874887165,156.191041034547,156.604101262378,157.423846482779,1.00387338339941,840,0,1
"bodymass[4,1]",156.325187303912,0.588057811784468,155.164886790366,155.931426942325,156.303029767311,156.706302588115,157.507490351222,1.00390306225682,816,0,1
"bodymass[5,1]",156.43626325006,0.575724123867528,155.30399521153,156.056854993755,156.412794584086,156.807244341294,157.599181221102,1.00393116507806,793,0,1
"bodymass[6,1]",156.547339196207,0.56354758428977,155.442555296329,156.177367161923,156.520652021419,156.905497255587,157.690949226615,1.00395742772341,771,0,1
"bodymass[7,1]",156.658415142355,0.551538601430712,155.581580943545,156.296617654694,156.632274932562,157.006076263038,157.783160035317,1.00398156768409,748,0,1
"bodymass[8,1]",156.769491088503,0.539708360256688,155.7144563806,156.415532049416,156.74777069069,157.111354110486,157.878651881102,1.00400328604208,727,0,1
"bodymass[9,1]",156.88056703465,0.528068873867119,155.845994129022,156.537262658759,156.859975957917,157.217604124558,157.965157023632,1.00402227053011,706,0,1
"bodymass[10,1]",156.991642980798,0.516633035255314,155.979621473042,156.65306493417,156.971980063071,157.318100648696,158.056466241803,1.00403819991723,685,0,1
"bodymass[11,1]",157.102718926946,0.505414668208647,156.118291444588,156.770927141743,157.086941590302,157.422338003422,158.150000654431,1.0040507499593,665,0,1
"bodymass[12,1]",157.213794873093,0.494428575951373,156.244518076585,156.892094396884,157.198068025239,157.529519765265,158.243091115116,1.00405960114067,646,0,1
"bodymass[13,1]",157.324870819241,0.483690585754629,156.379585274193,157.015968200008,157.312034554898,157.637583788436,158.333788560398,1.00406444838165,627,0,1
"bodymass[14,1]",157.435946765388,0.473217587301567,156.504191787041,157.135514284083,157.421208083866,157.743620035004,158.416110390277,1.00406501280781,609,0,1
