"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"beta1[1]",29.6505034252602,11.7576137099182,6.56260140368233,21.6487562411536,29.4456554958604,37.2100151948729,52.8977469225249,1.00360411495105,459,0,0.996666666666667
"beta1[2]",45.4556564325401,10.2913155806022,25.2177812464512,38.6337313012525,45.4415527588531,52.1694156234672,65.5875516420977,1.00290718723567,542,0,1
"beta1[3]",49.6079520109682,9.1471350920304,32.0026117437757,43.3942650611734,49.6655702822423,55.665445618077,68.1228542229374,1.00264673887447,614,0,1
"beta1[4]",49.561337537888,8.45394136059431,33.7386988135179,43.7342414664504,49.4203626393208,55.0902478624113,66.9406054666142,1.00141097562873,1021,0,1
"beta1[5]",44.5129433574354,8.32750266308351,28.8800371344034,38.8659763301531,44.5237221101437,49.9001871776623,61.4005709127075,1.00061107897971,1500,0,1
"beta1[6]",32.5155812399972,8.75525001473531,16.3253394996369,26.5048747973662,32.3013084267866,38.2530809471547,50.2074697488591,0.999603568511034,1500,0,1
"beta1[7]",19.0726144303561,9.67999915867608,1.18507354487363,12.5371391237358,18.8107014302074,25.5176936100763,38.8740350722933,0.999389870404175,1500,0,0.982666666666667
"beta1[8]",3.49479090486143,10.9862054954448,-16.8056015821871,-4.13143581062321,3.39529525686291,10.684083533818,26.509418729291,0.999485222089732,1500,1,0.621333333333333
"beta1[9]",-18.447501716282,12.5752572996504,-41.5545756134675,-27.108136576803,-18.6739412363716,-10.2323011297679,7.02034302568119,0.999490824588739,1500,1,0.923333333333333
"beta1[10]",-27.3865462797533,14.3889525519066,-53.591036309331,-37.1221824256169,-27.9731702728812,-17.6990875853463,1.43604993959606,0.999921397165148,1500,1,0.966666666666667
"beta1[11]",-51.2109238726092,16.2562225908841,-80.622563409916,-62.6147043717261,-51.4922125189613,-40.2951310238492,-18.2894122321986,0.999749324030921,1500,0,0.999333333333333
"beta2[1]",55.5384113973461,13.4080083625979,28.8600795259386,47.1181388307764,55.5766809088076,64.4884051906985,81.6251911527356,1.00394637310057,423,0,1
"beta2[2]",62.4771632632616,13.4021228918842,36.0383534070718,53.9019480843366,62.5475087300395,71.3715650375704,88.790084881802,1.00385536024723,436,0,1
"beta2[3]",59.345380136835,13.3763662997696,32.9253176637666,50.8430523414229,59.5900311926377,68.3794986893546,85.6365950093025,1.00376787476048,443,0,1
"beta3[1]",16.0044561889947,2.21092217408661,11.6978405657435,14.5767268532845,16.0010198362134,17.4511536801975,20.3291062510374,1.00319657759639,568,0,1
"beta3[2]",17.7140354070836,2.21937361699272,13.3553061379791,16.2733825383969,17.7076659794678,19.1951366366862,22.0479612209215,1.00348456806593,555,0,1
"beta3[3]",16.3363879711238,2.21293759053008,12.0554574342972,14.9373994986742,16.3526172269635,17.8070668119181,20.6375118640173,1.00305189217106,585,0,1
"beta4",-1.11105317646501,0.257115045691302,-1.60820296348801,-1.28357773591028,-1.10723691408235,-0.939147130463503,-0.625686756480586,1.00077575106206,1500,0,1
"eps1[1]",0.152431004026928,0.314250461029292,-0.4694604138678,-0.064799492618471,0.153116000282983,0.36552375558342,0.768618124239201,0.999230799344229,1500,1,0.683333333333333
"eps1[2]",0.602547689100097,0.305022799367612,-0.00914508331998432,0.39522429468643,0.595291380819146,0.801582857832445,1.22440087993881,1.00243373964628,781,1,0.973333333333333
"eps1[3]",1.04881151948181,0.307916505488025,0.444651716799085,0.84556333617377,1.05075266297031,1.24704555898085,1.66035900998327,1.00061484497409,1500,0,0.999333333333333
"eps1[4]",0.355062343714904,0.3042328113585,-0.25780869224521,0.145895765003752,0.360592732512314,0.550642384747749,0.942349837185074,1.00000041045389,1500,1,0.884666666666667
"eps1[5]",-0.0507940077387111,0.302295589298871,-0.622024593096446,-0.252386379055562,-0.0545603731072396,0.158131073937584,0.538451092697453,1.00008961970821,1500,1,0.578
"eps1[6]",-1.13286301762838,0.297354775064009,-1.73398326716954,-1.33076756790244,-1.13631570775926,-0.927401638737566,-0.575246856348273,1.00237072189529,800,0,1
"eps1[7]",-0.691471658615153,0.295779112376779,-1.29169616516134,-0.884631997111027,-0.691388421529126,-0.491540796711155,-0.106176053137395,1.00046770437557,1500,0,0.992666666666667
