"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",46.0996059650129,1.55213937889657,42.6981194843771,45.1215660669369,46.1367893709128,47.1408749154604,48.9303588429319,1.02133075621543,308,0,1
"bs.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"bs.beta[2]",5.85965129435271,0.640537448202385,4.63187106134017,5.41497532378327,5.85962800381996,6.28452610960989,7.11538999489121,0.99980619022779,4500,0,1
"bs.beta[3]",2.22731432222065,0.816422062863616,0.602710226997179,1.68102107250812,2.2318532907584,2.77272560662084,3.83600963225627,1.00006036135665,4500,0,0.996444444444444
"ageclass.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"ageclass.beta[2]",16.0702735447988,0.369888667284627,15.3355392468818,15.8268651339614,16.0813751121869,16.3162001710971,16.7912426300796,1.00218855592729,4500,0,1
"ageclass.beta[3]",26.9744988257067,0.436214346072249,26.0867432585679,26.6917709761401,26.9722697448657,27.2678727337196,27.8196478869705,1.00273874776969,4382,0,1
"ageclass.beta[4]",35.3504951252069,0.514795473805532,34.2856664889549,35.0252672100711,35.3634206914885,35.6939229708811,36.3162536106092,1.00532124420652,4500,0,1
"ageclass.beta[5]",41.0956518114914,0.611694829296722,39.8009124483261,40.7188610053371,41.126238621622,41.5016308552928,42.199511425067,1.00579292107324,1565,0,1
"ageclass.beta[6]",43.1386633073329,0.717737743550416,41.6051930936157,42.7119878312059,43.172997245,43.6105850283356,44.4302007749559,1.00811128721709,1178,0,1
"ageclass.beta[7]",44.1500607145404,0.831471472344804,42.3670800912675,43.6597754267194,44.1859378300106,44.7018904836717,45.6618198773706,1.00777172416203,2306,0,1
"ageclass.beta[8]",42.9455614601482,0.95990166587979,40.8710266354336,42.3769077602737,42.9862474086715,43.566223642404,44.6791661530047,1.00611358401153,2285,0,1
"ageclass.beta[9]",41.927096285448,1.12916986052559,39.3968001403441,41.2705421775938,41.9815467576133,42.6736434766559,43.911447417816,1.00640093872891,1775,0,1
"ageclass.beta[10]",39.7040703595678,1.30276731082495,36.9353015968039,38.9084868942736,39.7669711551963,40.5677645496715,42.0891338251103,1.00467674656283,4500,0,1
"ageclass.beta[11]",35.3387262630226,1.64643826070365,31.8998781114102,34.3083049732518,35.3922571028848,36.4284651300671,38.3891445289814,1.00325486926058,4500,0,1
"ageclass.beta[12]",33.1114467830999,3.60047683669889,26.0941593701276,30.7037483075729,33.1018734420757,35.5377579405142,40.0158656534469,1.00038088315931,4500,0,1
"derived_weight[1,1]",46.0996059650129,1.55213937889657,42.6981194843771,45.1215660669369,46.1367893709128,47.1408749154604,48.9303588429319,1.02133075621543,308,0,1
"derived_weight[2,1]",51.9592572593656,1.54963957527215,48.6318055197076,50.9948205506972,51.9969295261295,52.9867153409999,54.8529305143181,1.01698564029507,328,0,1
"derived_weight[3,1]",48.3269202872335,1.60837211039856,44.9904207138409,47.3515623520837,48.3453151948708,49.3812631180038,51.3636770054148,1.01564200836526,360,0,1
"derived_weight[1,2]",62.1698795098116,1.5360110818448,58.970501042185,61.1888754106918,62.1967196439835,63.2115895846168,64.9676351620571,1.02144224298951,333,0,1
"derived_weight[2,2]",68.0295308041644,1.53593608994869,64.8616661404337,67.0427049943774,68.0587727279832,69.0505878144725,70.9382702358241,1.01671791831432,357,0,1
"derived_weight[3,2]",64.3971938320323,1.60169964497986,61.1080178525149,63.3828112213623,64.4086973966438,65.4307203515855,67.4745827095198,1.01545559048467,396,0,1
"derived_weight[1,3]",73.0741047907196,1.55076448327489,69.8075451726379,72.0799130288007,73.0627805118395,74.145103219514,75.9610421852537,1.0217917463314,359,0,1
"derived_weight[2,3]",78.9337560850723,1.55017019994226,75.6573834298924,77.939783081123,78.9289366061041,79.9701032619494,81.8787213624724,1.01671341305597,385,0,1
