"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"ageclass.beta[1]",109.417076365649,0.98285234360732,107.411510114013,108.753483114154,109.395617444043,110.086266819216,111.353291090914,1.00036827281712,900,0,1
"ageclass.beta[2]",142.298455598962,0.932032569221385,140.431430137741,141.680870648292,142.312574074,142.972971615342,144.009312113663,1.00109834407605,900,0,1
"ageclass.beta[3]",164.283101000009,1.0031950917429,162.388787545099,163.591998914461,164.306003426152,164.978814698367,166.245338369843,1.0003665623614,900,0,1
"ageclass.beta[4]",182.122575555382,1.12979774737447,180.074262248556,181.345057177308,182.067714473242,182.795970212322,184.468329913715,1.01153362406237,177,0,1
"ageclass.beta[5]",193.630865685677,1.26570654294554,191.231615932148,192.704591635274,193.601305522257,194.450154146243,196.232032657832,0.999020107414972,900,0,1
"ageclass.beta[6]",197.075586877215,1.33028410878417,194.433585854539,196.214019035051,197.011815442634,197.94795612263,199.742718923205,1.00087878536078,815,0,1
"ageclass.beta[7]",197.948515525513,1.51890639353115,195.019690593277,196.908403892968,197.966763324615,198.97834246505,201.004973008934,1.0018179505338,762,0,1
"ageclass.beta[8]",193.081999307371,1.90495808507543,189.458001060441,191.784963960576,193.102394563304,194.346906271703,196.769165180185,1.00511411885582,415,0,1
"ageclass.beta[9]",193.091089505828,2.05863233593566,189.074826599979,191.843634090636,193.100384806216,194.44449306748,196.983571789327,1.00164625370764,900,0,1
"ageclass.beta[10]",187.425152627651,2.76723043227709,182.165167985739,185.573857677484,187.397305792751,189.469322531616,192.678784903137,1.00085955273626,869,0,1
"ageclass.beta[11]",178.405916910358,4.3709563254954,169.162944663078,175.44671924561,178.449171688026,181.49108744057,186.87678222497,1.00269210776737,650,0,1
"ageclass.beta[12]",191.934433301382,13.0967354109795,165.963225429628,182.826410169113,191.863030488154,201.038958680036,216.660323730561,0.999483080465394,900,0,1
"weight_difference[1]",88.5314391598643,1.83905180516665,84.8946447062645,87.3233332086989,88.5390561893151,89.7437520619424,92.0396287387239,1.00123879217895,900,0,1
"weight_difference[2]",55.6500599265514,1.80084601699433,52.2590617560248,54.4296065015504,55.6769050163696,56.9078703436378,59.0729602931802,1.00190917527425,900,0,1
"weight_difference[3]",33.6654145255039,1.81948285470882,29.9277706741417,32.4971139968077,33.6626417771936,34.8379944670981,37.3100642692696,1.00222903221272,580,0,1
"weight_difference[4]",15.8259399701308,1.90840088266115,11.9097079699478,14.4960253398429,15.807139166013,17.2037029575799,19.4366187708264,1.0134344357077,190,0,1
"weight_difference[5]",4.3176498398366,1.96451807239155,0.410561416532675,3.00233386401898,4.37764080225357,5.68124984113194,8.04203760449953,0.999878385499182,900,0,0.986666666666667
"weight_difference[6]",0.872928648298296,2.05029151453319,-2.96719284266493,-0.528967689428903,0.873139075701758,2.10736681325121,4.96444694245818,1.00345371562765,429,1,0.672222222222222
"weight_difference[7]",0,0,0,0,0,0,0,NA,1,0,1
"weight_difference[8]",4.86651621814266,2.43691471265228,0.283611815052678,3.17670038845774,4.90125373107001,6.538921820542,9.40925351029056,1.00167091446065,701,0,0.984444444444444
"weight_difference[9]",4.85742601968565,2.60965621177376,-0.208645934040056,3.11218442631797,4.86125788852182,6.62905023314629,9.96599113522461,1.00121103754361,854,1,0.967777777777778
"weight_difference[10]",10.5233628978622,3.13943813035592,4.49793009775593,8.33941567912295,10.639301309362,12.6957483976556,16.5382476700253,0.998995918920483,900,0,0.998888888888889
"weight_difference[11]",19.5425986151555,4.66807811194985,10.8761237758581,16.2433373015615,19.4458777583922,22.4468333390496,28.9621073850459,1.00460608485413,452,0,1
"weight_difference[12]",6.01408222413161,13.1731307819563,-19.5314034801003,-3.14547750354831,6.0983729643698,15.0591439879393,31.7819110540411,0.999579372660683,900,1,0.67
"deviance",19213.4718662621,4.97693891461302,19205.6230037296,19209.7861348127,19212.8134204299,19216.6213013022,19224.5577340456,1.00188137615869,900,0,1
