animal_id,year_cap,year_birth,age,weight,weightkg,points_total,mass_total,bcsin,bcscm,birthsite
270-2019-1-923,2020,2019,1.5,87,40,2,0,0,0,dmp
270-2018-1-835,2020,2018,2.5,128,58,6,,,0,dmp
90-2017-0-785,2020,2017,3.5,149,68,9,,,0,ey
270-2017-1-722,2020,2017,3.5,112,51,,,,0,dmp
270-2018-1-805,2020,2018,2.5,119,54,,,,0,dmp
90-2016-0-659,2020,2016,4.5,177,80,,,,0,ey
90-2019-0-977,2020,2019,1.5,132,60,,,,0,ey
270-2011-1-269,2021,2011,10.5,182,83,,,,0,dmp
270-2012-0-337,2014,2012,2.5,143,65,,,,0,wy
270-2019-1-923,2021,2019,2.5,122,55,,,,0,dmp
270-2019-1-929,2021,2019,2.5,112,51,,,,0,dmp
270-2020-1-2027,2021,2020,1.5,104,47,,,,0,dmp
270-2020-1-2041,2021,2020,1.5,85,39,,,,0,dmp
90-2007-0-049,2016,2007,9.5,206,94,9,,,0,ey
90-2008-0-040,2014,2008,6.5,227,103,8,,,0,ey
90-2015-0-562,2021,2015,6.5,229,104,10,,,0,ey
90-2020-0-2090,2021,2020,1.5,102,46,,,,0,ey
90-2020-0-2092,2021,2020,1.5,80,36,2,8,12.75,32,ey
270-2015-1-516,2016,2015,1.5,90,41,2,7.5,13.875,35,dmp
90-2008-0-039,2009,2008,1.5,116,53,1,8,15.5,39,ey
270-2015-1-508,2016,2015,1.5,89,40,2,10,16,41,dmp
270-2019-0-946,2020,2019,1.5,109,50,2,9,16.5,42,wy
270-2013-0-267,2014,2013,1.5,94,43,2,9.5,16.375,42,wy
90-2011-0-354,2012,2011,1.5,103,47,2,11,16.5,42,ey
90-2014-0-473,2015,2014,1.5,98,45,2,8,16.5,42,ey
270-2012-1-260,2013,2012,1.5,98,45,2,8.5,17.5,44,dmp
90-2007-0-039,2008,2007,1.5,119,54,2,11,17.375,44,ey
90-2020-0-2087,2021,2020,1.5,112,51,2,11,18.625,47,ey
270-2007-1-012,2008,2007,1.5,125,57,2,11,19.5,50,dmp
90-2007-0-024,2008,2007,1.5,127,58,2,14.875,19.875,50,ey
270-2007-1-057,2008,2007,1.5,95,43,2,13,20.125,51,dmp
90-2013-0-289,2014,2013,1.5,115,52,2,10.5,20.5,52,ey
270-2011-0-339,2012,2011,1.5,97,44,2,10,20.75,53,wy
270-2019-1-940,2020,2019,1.5,77,35,2,10.5,22.125,56,dmp
270-2020-1-2011,2021,2020,1.5,73,33,2,13.5,22.125,56,dmp
90-2020-0-2086,2021,2020,1.5,100,45,2,12.5,22,56,ey
270-2015-0-549,2016,2015,1.5,107,49,2,11.5,22.25,57,wy
90-2017-0-785,2018,2017,1.5,80,36,2,11.5,22.625,57,ey
90-2019-0-987,2020,2019,1.5,103,47,2,11,23.125,59,ey
270-2019-1-917,2020,2019,1.5,92,42,2,10.5,23.375,59,dmp
90-2012-0-326,2013,2012,1.5,102,46,2,11,23.25,59,ey
90-2007-0-031,2008,2007,1.5,130,59,2,11,23.5,60,ey
90-2020-0-2089,2021,2020,1.5,89,40,2,12.5,23.75,60,ey
270-2018-0-864,2019,2018,1.5,102,46,2,12,24.375,62,wy
90-2014-0-463,2015,2014,1.5,112,51,2,12,24.5,62,ey
270-2011-1-333,2012,2011,1.5,124,56,2,11.5,24.75,63,dmp
270-2010-1-025,2011,2010,1.5,110,50,2,12,25.125,64,dmp
270-2019-0-943,2020,2019,1.5,100,45,2,15,25,64,wy
90-2007-0-019,2008,2007,1.5,102,46,2,11,25.375,64,ey
270-2019-0-944,2020,2019,1.5,101,46,2,13,25.625,65,wy
90-2014-0-462,2015,2014,1.5,109,50,2,11.5,25.875,66,ey
270-2020-1-2034,2021,2020,1.5,111,50,2,15.5,26.5,67,dmp
270-2007-1-056,2008,2007,1.5,132,60,3,12.625,26.875,68,dmp
90-2013-0-281,2014,2013,1.5,103,47,2,15.5,26.625,68,ey
270-2019-1-909,2020,2019,1.5,106,48,2,14.5,27.5,70,dmp
270-2016-1-606,2017,2016,1.5,88,40,2,13,27.75,70,dmp
270-2011-0-337,2012,2011,1.5,112,51,2,12.5,28.125,71,wy
270-2014-0-446,2015,2014,1.5,109,50,2,14.5,28.5,72,wy
270-2016-1-607,2017,2016,1.5,88,40,2,14.5,28.375,72,dmp
90-2014-0-470,2015,2014,1.5,96,44,2,13.5,28.75,73,ey
270-2008-1-012,2009,2008,1.5,98,45,2,15,29.25,74,dmp
90-2019-0-978,2020,2019,1.5,119,54,2,13.75,29.25,74,ey
90-2011-0-369,2012,2011,1.5,130,59,2,12.5,29,74,ey
90-2015-0-568,2016,2015,1.5,107,49,2,13.5,29.125,74,ey
90-2016-0-669,2017,2016,1.5,105,48,2,11.5,29.25,74,ey
90-2020-0-2078,2021,2020,1.5,105,48,2,16.25,29.25,74,ey
90-2020-0-2081,2021,2020,1.5,87,40,2,13,29.25,74,ey
270-2011-1-269,2012,2011,1.5,118,54,2,12.5,29.75,76,dmp
270-2016-0-648,2017,2016,1.5,117,53,2,12,30,76,wy
90-2013-0-279,2014,2013,1.5,111,50,2,12.5,30,76,ey
270-2009-1-038,2010,2009,1.5,94,43,2,16,30.25,77,dmp
270-2015-1-522,2016,2015,1.5,111,50,2,13.5,30.25,77,dmp
270-2020-0-2095,2021,2020,1.5,82,37,2,13,30.5,77,wy
90-2014-0-457,2015,2014,1.5,120,55,3,12.25,30.125,77,ey
90-2020-0-2082,2021,2020,1.5,101,46,2,11.75,30.125,77,ey
270-2013-1-212,2014,2013,1.5,97,44,3,10.875,30.875,78,dmp
270-2016-0-675,2017,2016,1.5,95,43,2,13,30.625,78,wy
270-2012-0-335,2013,2012,1.5,97,44,2,12,31,79,wy
90-2007-0-016,2008,2007,1.5,111,50,3,13.625,31.25,79,ey
90-2019-0-981,2020,2019,1.5,101,46,3,14.5,31.625,80,ey
90-2007-0-038,2008,2007,1.5,119,54,2,13,31.625,80,ey
270-2013-0-260,2014,2013,1.5,110,50,2,15,31.75,81,wy
90-2018-0-857,2019,2018,1.5,126,57,2,14,32,81,ey
90-2018-0-861,2019,2018,1.5,108,49,3,14,31.75,81,ey
270-2016-0-653,2017,2016,1.5,96,44,3,12.75,32.125,82,wy
90-2009-0-056,2010,2009,1.5,105,48,2,17.5,32.125,82,ey
90-2013-0-278,2014,2013,1.5,118,54,2,13.5,32.125,82,ey
270-2019-1-920,2020,2019,1.5,103,47,2,15,33.25,84,dmp
270-2012-1-233,2013,2012,1.5,99,45,3,10.625,33.125,84,dmp
270-2016-0-652,2017,2016,1.5,102,46,4,12.5,33,84,wy
270-2016-1-634,2017,2016,1.5,88,40,3,13,33,84,dmp
270-2020-1-2028,2021,2020,1.5,102,46,3,15.5,33.25,84,dmp
90-2011-0-357,2012,2011,1.5,85,39,2,13,33,84,ey
90-2012-0-347,2013,2012,1.5,108,49,2,11.25,33.25,84,ey
90-2012-0-350,2013,2012,1.5,115,52,4,11.125,33.125,84,ey
90-2018-0-858,2019,2018,1.5,123,56,3,14.75,33,84,ey
270-2010-1-019,2011,2010,1.5,96,44,3,11.625,33.5,85,dmp
270-2011-0-345,2012,2011,1.5,119,54,4,9.875,33.375,85,wy
270-2013-1-227,2014,2013,1.5,94,43,4,9.875,33.375,85,dmp
270-2015-1-518,2016,2015,1.5,106,48,2,12.5,34,86,dmp
270-2007-1-006,2008,2007,1.5,125,57,2,18,34.125,87,dmp
270-2011-1-261,2012,2011,1.5,102,46,4,9.5,34.25,87,dmp
270-2012-0-153,2013,2012,1.5,107,49,5,10.625,34.375,87,wy
270-2014-1-416,2015,2014,1.5,,0,2,14,34.625,88,dmp
270-2009-1-011,2010,2009,1.5,114,52,3,12.75,35.125,89,dmp
270-2011-0-343,2012,2011,1.5,114,52,2,13.5,35.125,89,wy
270-2020-1-2001,2021,2020,1.5,98,45,2,16,35,89,dmp
90-2019-0-979,2020,2019,1.5,98,45,2,13,35.5,90,ey
270-2011-1-295,2012,2011,1.5,100,45,3,14.75,35.25,90,dmp
270-2012-1-265,2013,2012,1.5,125,57,3,11.25,35.25,90,dmp
270-2013-1-238,2014,2013,1.5,87,40,3,11.125,35.375,90,dmp
270-2016-0-673,2017,2016,1.5,86,39,2,14.5,35.375,90,wy
90-2011-0-355,2012,2011,1.5,119,54,2,15,35.375,90,ey
270-2013-0-270,2014,2013,1.5,113,51,5,13.5,36,91,wy
270-2014-0-453,2015,2014,1.5,100,45,2,12.5,35.75,91,wy
270-2017-1-707,2018,2017,1.5,90,41,2,13.5,35.75,91,dmp
90-2013-0-286,2014,2013,1.5,115,52,2,14.5,35.75,91,ey
270-2011-1-215,2012,2011,1.5,106,48,2,14.5,36.375,92,dmp
270-2019-1-907,2020,2019,1.5,104,47,2,14.5,36.25,92,dmp
270-2015-0-555,2016,2015,1.5,116,53,3,14.375,36.125,92,wy
90-2011-0-362,2012,2011,1.5,129,59,3,14,36.25,92,ey
90-2017-0-780,2018,2017,1.5,104,47,3,13,36.25,92,ey
270-2013-1-254,2014,2013,1.5,96,44,3,14.75,36.625,93,dmp
90-2007-0-040,2008,2007,1.5,151,69,2,14,36.75,93,ey
90-2010-0-101,2011,2010,1.5,97,44,4,11.375,36.5,93,ey
270-2010-1-001,2011,2010,1.5,90,41,3,12.875,36.875,94,dmp
270-2016-1-615,2017,2016,1.5,89,40,2,15,36.875,94,dmp
90-2016-0-667,2017,2016,1.5,101,46,2,13,37,94,ey
270-2008-1-019,2009,2008,1.5,115,52,3,15.75,37.5,95,dmp
270-2013-1-210,2014,2013,1.5,98,45,4,12.25,37.25,95,dmp
90-2017-0-778,2018,2017,1.5,91,41,2,13,37.5,95,ey
270-2011-1-248,2012,2011,1.5,108,49,2,14.5,37.625,96,dmp
90-2019-0-985,2020,2019,1.5,110,50,2,15,37.75,96,ey
270-2012-0-330,2013,2012,1.5,98,45,4,12.5,37.625,96,wy
270-2013-1-234,2014,2013,1.5,91,41,3,16.875,37.75,96,dmp
270-2013-0-265,2014,2013,1.5,108,49,2,15,38,97,wy
270-2010-1-028,2011,2010,1.5,121,55,2,14.5,38.625,98,dmp
270-2015-0-589,2016,2015,1.5,117,53,2,15.75,38.625,98,wy
90-2012-0-349,2013,2012,1.5,107,49,2,14.5,38.75,98,ey
90-2015-0-581,2016,2015,1.5,92,42,2,15,38.625,98,ey
90-2015-0-559,2016,2015,1.5,124,56,2,15,39.125,99,ey
270-2011-1-244,2012,2011,1.5,113,51,4,12,39.375,100,dmp
270-2016-1-632,2017,2016,1.5,96,44,4,11.875,39.25,100,dmp
270-2020-1-2020,2021,2020,1.5,96,44,4,13,39.375,100,dmp
90-2020-0-2076,2021,2020,1.5,106,48,5,12.875,39.25,100,ey
270-2015-0-557,2016,2015,1.5,97,44,3,14.25,39.75,101,wy
270-2016-1-608,2017,2016,1.5,97,44,3,14.25,39.875,101,dmp
270-2018-1-818,2019,2018,1.5,94,43,5,16,39.75,101,dmp
270-2008-1-018,2009,2008,1.5,99,45,2,17.5,40.125,102,dmp
270-2013-0-271,2020,2013,7.5,157,71,10,31.625,40.125,102,wy
270-2012-0-341,2013,2012,1.5,120,55,2,14,40,102,wy
270-2016-0-655,2017,2016,1.5,92,42,5,12.5,40.25,102,wy
90-2007-0-046,2008,2007,1.5,139,63,2,13.5,40.25,102,ey
270-2012-1-277,2013,2012,1.5,121,55,3,11.625,40.375,103,dmp
270-2017-0-748,2018,2017,1.5,95,43,4,14.25,40.5,103,wy
90-2014-0-466,2015,2014,1.5,105,48,3,14.25,40.5,103,ey
90-2015-0-572,2016,2015,1.5,109,50,3,12.75,40.375,103,ey
270-2011-0-338,2012,2011,1.5,108,49,4,11.75,40.75,104,wy
90-2019-0-986,2020,2019,1.5,93,42,3,15.5,40.75,104,ey
90-2011-0-351,2012,2011,1.5,118,54,4,12.375,41,104,ey
90-2014-0-458,2015,2014,1.5,117,53,3,16.125,41,104,ey
90-2017-0-777,2018,2017,1.5,94,43,2,13.25,41,104,ey
90-2019-0-984,2020,2019,1.5,107,49,3,15.75,41.375,105,ey
270-2013-0-266,2014,2013,1.5,110,50,3,13.625,41.5,105,wy
270-2013-1-231,2014,2013,1.5,102,46,4,15.25,41.5,105,dmp
270-2014-0-441,2015,2014,1.5,105,48,3,13.75,41.5,105,wy
270-2012-0-339,2013,2012,1.5,112,51,3,14.75,41.875,106,wy
270-2012-1-207,2013,2012,1.5,109,50,5,13.125,41.75,106,dmp
270-2016-0-676,2017,2016,1.5,97,44,4,12.75,41.625,106,wy
90-2015-0-574,2016,2015,1.5,103,47,6,11.25,41.75,106,ey
270-2014-1-403,2015,2014,1.5,87,40,5,13.75,42.25,107,dmp
270-2016-0-654,2017,2016,1.5,112,51,4,13,42.25,107,wy
270-2017-0-747,2018,2017,1.5,103,47,4,15.5,42.125,107,wy
90-2011-0-363,2012,2011,1.5,119,54,2,14.5,42,107,ey
90-2008-0-040,2009,2008,1.5,110,50,2,18.5,42.375,108,ey
90-2012-0-324,2013,2012,1.5,118,54,4,13.875,42.625,108,ey
90-2015-0-570,2016,2015,1.5,100,45,2,15,42.625,108,ey
90-2017-0-779,2018,2017,1.5,115,52,2,14.5,43,109,ey
90-2017-0-784,2018,2017,1.5,121,55,4,11,42.75,109,ey
270-2012-0-340,2013,2012,1.5,120,55,5,14.5,43.25,110,wy
270-2014-0-455,2015,2014,1.5,112,51,3,15,43.5,110,wy
90-2008-0-055,2009,2008,1.5,125,57,3,14.5,43.375,110,ey
90-2017-0-787,2018,2017,1.5,116,53,3,17.5,43.125,110,ey
270-2009-1-013,2010,2009,1.5,112,51,4,13,43.875,111,dmp
90-2016-0-659,2017,2016,1.5,110,50,3,15.875,43.875,111,ey
270-2012-0-332,2013,2012,1.5,107,49,4,14.5,44.25,112,wy
90-2007-0-048,2008,2007,1.5,140,64,2,15.5,44.25,112,ey
90-2011-0-365,2012,2011,1.5,102,46,4,14,44.25,112,ey
