year,pasture,sex,dressed_weight,live_weight,age,
2022,East Yana,f,87,113,5.5,
2022,East Yana,f,85,110,5.5,
2023,East Toro,f,80,104,5.5,
2023,East Toro,f,65,84,2.5,
2023,West Toro-Fed,f,79,103,5.5,
2021,East Yana,f,59,77,1.5,
2021,East Yana,f,83,108,6.5,
2021,East Yana,f,85,110,3.5,
2021,Yana,f,81,105,3.5,
2021,East Toro,f,98,127,5.5,
2021,East Yana,f,66,86,2.5,
2021,East Yana,f,34,44,0.5,
2021,East Yana,f,98,127,2.5,
2021,East Yana,f,100,130,3.5,
2021,East Yana,f,60,78,1.5,
2021,East Yana,f,39,51,0.5,
2021,East Yana,f,70,91,4.5,
2021,East Yana,f,70,91,6.5,
2021,East Yana,f,30,39,0.5,
2021,East Yana,f,65,84,1.5,
2021,East Yana,f,72,93,4.5,
2021,East Yana,f,88,114,5.5,
2021,East Yana,f,37,48,0.5,
2021,East Yana,f,37,48,0.5,
2021,East Yana,f,73,95,3.5,
2021,East Yana,f,78,101,9.5,
2021,East Yana,f,87,113,6.5,
2021,East Yana,f,43,56,0.5,
2021,East Yana,f,79,103,6.5,
2021,East Yana,f,35,45,0.5,
2021,East Toro,f,77,100,4.5,
2021,East Yana,f,36,47,0.5,
2021,East Yana,f,67,87,7.5,
2021,East Yana,f,64,83,2.5,
2021,East Yana,f,78,101,6.5,
2021,East Yana,f,39,51,0.5,
2021,West Yana,f,69,90,10.5,
2021,Yana,f,81,105,3.5,
2021,East Yana,f,82,106,4.5,
2021,East Toro,f,66,86,2.5,
2021,East Toro,f,72,93,3.5,
2021,East Toro,f,71,92,5.5,
2021,East Toro,f,80,104,5.5,
2022,Yana,f,82,106,2.5,
2022,Yana,f,68,88,3.5,
2022,Yana,f,76,99,4.5,
2022,Yana,f,85,110,4.5,
2022,Yana,f,87,113,6.5,
2022,Yana,f,43,56,1.5,
2022,Yana,f,75,97,4.5,
2022,Yana,f,68,88,3.5,
2022,Yana,f,73,95,3.5,
2022,Yana,f,75,97,2.5,
2022,Yana,f,89,116,6.5,
2022,Yana,f,75,97,3.5,
2022,Yana,f,92,119,4.5,
2022,Yana,f,87,113,5.5,
2022,Yana,f,96,125,3.5,
2022,Yana,f,60,78,1.5,
2022,Yana,f,78,101,6.5,
2022,East Toro,f,83,108,4.5,
2022,East Toro,f,56,73,2.5,
2022,Yana,f,84,109,6.5,
2022,Yana,f,85,110,,
2022,Yana,f,76,99,,
2022,East Toro,f,68,88,3.5,
2022,East Toro,f,74,96,3.5,
2022,East Toro,f,72,93,5.5,
2022,East Toro,f,49,64,0.5,
2022,Yana,f,65,84,1.5,
2022,Yana,f,79,103,5.5,
2022,Yana,f,88,114,5.5,
2022,Yana,f,77,100,4.5,
2022,West Toro-Fed,f,82,106,6.5,
2022,West Toro-Fed,f,91,118,7.5,
2022,West Toro-Fed,f,71,92,4.5,
2022,West Toro-Fed,f,78,101,4.5,
2022,West Toro-Fed,f,56,73,5.5,
2022,West Toro-Fed,f,78,101,6.5,
2022,West Toro-Fed,f,83,108,7.5,
2022,West Toro-Fed,f,82,106,6.5,
2022,West Toro-Fed,f,54,70,5.5,
2022,West Toro-Fed,f,75,97,7.5,
2022,East Toro,f,54,70,0.5,
2022,East Toro,f,74,96,7.5,
2022,SE Toro,f,81,105,6.5,
2022,West Toro-Fed,f,82,106,6.5,
2022,SE Toro,f,84,109,6.5,
2022,West Toro-Fed,f,75,97,4.5,
2022,West Toro-Fed,f,77,100,5.5,
2022,SE Toro,f,86,112,5.5,
2022,Yana,f,36,47,0.5,
2022,East Toro,f,37,48,0.5,
2022,East Toro,f,43,56,1.5,
2022,East Toro,f,80,104,5.5,
2022,East Toro,f,78,101,6.5,
2022,East Toro,f,80,104,6.5,
2022,East Toro,f,81,105,4.5,
2022,East Toro,f,86,112,3.5,
2022,West Toro-Fed,f,96,125,5.5,
2022,East Yana,f,84,109,6.5,
2022,East Yana,f,69,90,1.5,
2022,East Yana,f,71,92,4.5,
2022,East Yana,f,84,109,5.5,
2022,East Yana,f,79,103,4.5,
2022,East Yana,f,78,101,8.5,
2022,West Yana,f,72,93,8.5,
2022,West Yana,f,70,91,4.5,
2022,West Yana,f,84,109,7.5,
2022,West Yana,f,64,83,1.5,
2022,West Yana,f,55,71,1.5,
2022,West Yana,f,79,103,4.5,
2022,West Yana,f,80,104,8.5,
2022,West Yana,f,84,109,3.5,
2022,West Yana,f,76,99,9.5,
2022,East Yana,f,39,51,0.5,
2022,East Yana,f,33,43,0.5,
2022,East Yana,f,38,49,0.5,
2022,East Yana,f,41,53,0.5,
2022,East Yana,f,42,55,0.5,
2022,East Yana,f,41,53,0.5,
2022,West Yana,f,29,38,0.5,
2022,East Yana,f,35,45,0.5,
2022,West Yana,f,30,39,0.5,
2022,West Yana,f,33,43,0.5,
2022,SE Toro,f,81,105,7.5,
2022,SE Toro,f,77,100,6.5,
2022,SE Toro,f,81,105,2.5,
2022,SE Toro,f,79,103,5.5,
2022,SE Toro,f,72,93,3.5,
2022,SE Toro,f,82,106,6.5,
2020,East Toro,f,78,101,3.5,
2020,East Toro,f,76,99,4.5,
2020,Yana,f,80,104,4.5,
2020,East Yana,f,,48,0.5,
2020,East Yana,f,,54,0.5,
2020,East Yana,f,,36,0.5,
2020,East Yana,f,,52,0.5,
2020,East Yana,f,,54,0.5,
2020,East Yana,f,,40,0.5,
2020,East Yana,f,,50,0.5,
2020,East Yana,f,,59,0.5,
2020,East Yana,f,,59,0.5,
2020,East Yana,f,,49,0.5,
2020,East Yana,f,,62,0.5,
2020,East Yana,f,,95,1.5,
2020,East Yana,f,,52,0.5,
2020,East Yana,f,,46,0.5,
2020,East Yana,f,,48,0.5,
2020,East Yana,f,,49,0.5,
2020,East Yana,f,,48,0.5,
2020,East Yana,f,,58,0.5,
2020,East Yana,f,,54,0.5,
2020,East Yana,f,,81,1.5,
2020,West Yana,f,,40,0.5,
2020,West Yana,f,,36,0.5,
2020,West Yana,f,,49,0.5,
2020,West Toro-Fed,f,89,116,7.5,
2020,East Toro,f,67,87,3.5,
2020,East Yana,f,88,114,4.5,
2020,East Toro,f,106,138,9.5,
2020,East Yana,f,80,104,5.5,
2020,East Yana,f,82,106,5.5,
2020,West Toro-Fed,f,48,62,1.5,
2020,West Toro-Fed,f,92,119,7.5,
2021,Yana,f,81,105,7.5,
2021,Yana,f,69,90,4.5,
2021,Yana,f,78,101,3.5,
2021,East Toro,f,63,82,3.5,
2021,East Toro,f,67,87,3.5,
2021,East Toro,f,71,92,6.5,
2021,East Toro,f,80,104,5.5,
2021,East Toro,f,70,91,3.5,
2021,East Toro,f,51,66,3.5,
2021,SE Toro,f,83,108,6.5,
2021,SE Toro,f,100,130,4.5,
2021,SE Toro,f,72,93,1.5,
2021,SE Toro,f,99,129,6.5,
2021,SE Toro,f,72,93,2.5,
2021,SE Toro,f,87,113,10.5,
2021,SE Toro,f,75,97,5.5,
2021,SE Toro,f,82,106,2.5,
2021,SE Toro,f,89,116,8.5,
2021,SE Toro,f,70,91,2.5,
2021,Yana,f,97,126,3.5,
2021,Yana,f,68,88,2.5,
2021,Yana,f,62,80,2.5,
2021,Yana,f,78,101,4.5,
2021,Yana,f,72,93,4.5,
2021,Yana,f,83,108,5.5,
2021,Yana,f,66,86,1.5,
2021,Yana,f,77,100,6.5,
2021,SE Toro,f,78,101,6.5,
2021,Yana,f,71,92,4.5,
2021,Yana,f,89,116,5.5,
2021,Yana,f,78,101,4.5,
2021,Yana,f,57,74,1.5,
2021,Yana,f,71,92,6.5,
2021,Yana,f,75,97,3.5,
2021,Yana,f,74,96,8.5,
2021,Yana,f,53,69,1.5,
2021,Yana,f,71,92,5.5,
2021,Yana,f,84,109,6.5,
2021,SE Toro,f,56,73,1.5,
2021,SE Toro,f,71,92,2.5,
2021,SE Toro,f,60,78,1.5,
2021,Yana,f,45,58,0.5,
2021,Yana,f,69,90,,
2021,Yana,f,77,100,4.5,
2021,Yana,f,83,108,6.5,
2021,Yana,f,69,90,3.5,
2021,West Toro-Fed,f,27,35,0.5,
2021,SE Toro,f,78,101,3.5,
2021,SE Toro,f,89,116,10.5,
2021,SE Toro,f,73,95,2.5,
2021,Yana,f,90,117,5.5,
2021,Yana,f,62,80,3.5,
2021,East Yana,f,87,113,5.5,
2021,East Yana,f,71,92,3.5,
2021,East Yana,f,77,100,5.5,
2021,East Yana,f,35,45,0.5,
2021,East Yana,f,37,48,0.5,
2021,East Yana,f,83,108,7.5,
2021,East Yana,f,82,106,5.5,
2021,East Yana,f,83,108,3.5,
2021,East Yana,f,43,56,0.5,
2021,West Yana,f,30,39,0.5,
2021,West Yana,f,87,113,10.5,
2021,West Yana,f,85,110,8.5,
2021,West Yana,f,79,103,2.5,
2021,West Yana,f,85,110,12.5,
2021,West Yana,f,81,105,10.5,
2021,West Yana,f,56,73,1.5,
2021,West Yana,f,29,38,0.5,
2021,West Yana,f,34,44,0.5,
2021,Yana,f,80,104,2.5,
2021,Yana,f,78,101,6.5,
2021,Yana,f,76,99,2.5,
2021,West Yana,f,51,66,1.5,
2021,West Yana,f,81,105,3.5,
2021,West Yana,f,60,78,1.5,
2021,West Yana,f,50,65,1.5,
2021,West Yana,f,83,108,6.5,
2021,West Yana,f,34,44,0.5,
2021,West Yana,f,73,95,10.5,
2021,West Yana,f,76,99,4.5,
2021,West Yana,f,61,79,1.5,
2021,West Yana,f,80,104,10.5,
