,Estimate,Std. Error,df,t value,Pr(>|t|)
bsadmp,122.9626763,4.585477082,43.91398948,26.81567787,7.34E-29
bseast yana_pasture,105.6132396,4.292415141,34.85436847,24.60461911,1.29E-23
bswest yana_pasture,107.0930409,5.690038098,79.55790687,18.82114656,4.92E-31
age2.5,129.6280659,2.101844758,1659.098337,61.67347297,0
age3.5,197.0188036,2.269998688,972.6881522,86.79247466,0
age4.5,242.0150999,2.423340691,402.2640848,99.86837621,5.09E-286
age5.5,266.2125224,2.659522961,204.5393131,100.097847,1.02E-175
age6.5,280.0726735,2.969851872,132.0798791,94.30526694,4.84E-123
age7.5,281.1801237,3.326674349,99.14693876,84.52288809,3.29E-94
age8.5,279.4511537,3.800530691,89.33326755,73.5295085,1.04E-81
age9.5,270.2981435,4.448071009,97.6906084,60.76749739,2.02E-79
age10.5,253.5789762,5.466556068,134.9265734,46.38733658,8.49E-85
age11.5,231.4051697,7.697305047,304.0219406,30.06314136,4.50E-93
age12.5,193.5885223,20.38958648,1594.1195,9.49448006,7.77E-21
