Unique Buck Code #,Date ,Capture Year,Birth Year,Captured ,Released,Sex,Age,Weight,Tag Color,Button Color,Tag # Rt,Tag # Left,Sire,DMP or Pasture,# Typical Points,# Total Points,Total Mass,B&C Score,Rounded B&C (=rounddown),Rounded B&C (=mround) to 5,True Spike (2 pts) or Forked As Yearling ,TP&W Spike (2 or 3 pts) or Forked As Yearling ,Pit Tag #,Deer Name,Ear Tag Radio Frequency,Comments,Gray Face,Roman Nose,Wrinkled Around Ears,Loose Skin Around Face,Loose Skin Around Neck,Loose Skin Around Chest,Circumference around the Face at the Eyes,Circumference at midpoint between tip of Nose and Eyes,Distance between a line running between the eyes and the Nose Tip,Ear tip to Ear tip,Stomach Girth:,Neck Circumference:,Vertical Height of Tarsal Glands:,Horizontal Width of Tarsal Glands,Staining on Tarsal Glands:,Ratio of Circum at Eyes to Dist Eyes-Nose Tip,Ratio Circum at Eyes to Circum Mid Point
90-2020-0-2077,11/18/20,2020,2020,East Yana,East Yana,Male,0.5,27,Blue,Blue,2077,2077,,Pasture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90-2021-0-2184,11/17/21,2021,2021,East Yana,East Yana,Male,0.5,31,Green,Green,2184,2184,,Pasture,,,,,,,,,989001040446798,,,,,,,,,,,,,,,,,,,,
270-2021-1-2131,11/18/21,2021,2021,West Yana,West Yana,Male,0.5,33,Green,Blue,2131,2131,Hillbilly Jim,DMP,,,,,,,,,982000407647651,,,,,,,,,,,,,,,,,,,,
90-2022-0-169,11/16/22,2022,2022,East Yana,East Yana,Male,0.5,33,Purple,Purple,169,169,,Pasture,,,,,,,,,989001040461807,,,,,,,,,,,,,,,,,,,  ,  
270-2021-1-2129,11/18/21,2021,2021,West Yana,West Yana,Male,0.5,36,Green,Yellow,2129,2129,Grade Schooler,DMP,,,,,,,,,982000407648464,,,marked as a female in 2021 summer fawn tagging  schedule,,,,,,,,,,,,,,,,,
90-2012-0-323,10/30/12,2012,2012,East Yana,East Yana,Male,0.5,37,Yellow,Yellow,323,323,,Pasture,,,,,,,,,982000190552367,,,,,,,,,,,,,,,,,,,,
90-2011-0-357,11/3/11,2011,2011,East Yana,East Yana,Male,0.5,38,White,White,357,357,,Pasture,,,,,,,Spike,Spike,982000163652541,,,,,,,,,,,,,,,,,,,,
90-2012-0-320,10/30/12,2012,2012,East Yana,East Yana,Male,0.5,38,Yellow,Yellow,320,320,,Pasture,,,,,,,,,982000190213557,,,,,,,,,,,,,,,,,,,,
90-2021-0-2188,11/17/21,2021,2021,East Yana,East Yana,Male,0.5,38,Green,Green,2188,2188,,Pasture,,,,,,,Spike,Spike,989001040448112,,,,,,,,,,,,,,,,,,,,
270-2021-1-2139,11/18/21,2021,2021,West Yana,West Yana,Male,0.5,39,Green,Yellow,2139,2139,Grade Schooler,DMP,,,,,,,,,989001040448275,,,,,,,,,,,,,,,,,,,,
