"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"int",45.9965918336644,1.52727101619059,42.6663995671663,45.0213827744242,46.0744854078924,47.0440751234953,48.8146962564918,1.01826272998979,181,0,1
"bs.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"bs.beta[2]",5.87372360326964,0.640743762005361,4.59553243647639,5.44237845090537,5.88740632885762,6.30318807746535,7.08722913056829,1.00030150384723,4500,0,1
"bs.beta[3]",2.2529649956792,0.820297139298725,0.65746429769451,1.69896183142286,2.25825905955828,2.80117429153841,3.85827563029367,1.0006006947537,2308,0,0.995777777777778
"ageclass.beta[1]",0,0,0,0,0,0,0,NA,1,0,1
"ageclass.beta[2]",16.0848539402069,0.362108192861802,15.3803430584313,15.8399898986207,16.0803144574445,16.3367664133269,16.7738804265296,1.00125556238166,2560,0,1
"ageclass.beta[3]",26.9890919160281,0.437933895932522,26.1212322343962,26.7024996587932,26.9990184509287,27.2848568783153,27.8251436034116,1.00028107486151,4500,0,1
"ageclass.beta[4]",35.3694994373759,0.508587151739574,34.3771209504191,35.0419099374483,35.375517028772,35.7302075956333,36.309987654772,1.00146695727184,4500,0,1
"ageclass.beta[5]",41.1220547631186,0.605358074641066,39.8834362495226,40.7458551635648,41.1442400169975,41.5252530276587,42.2449983155027,1.00140579229159,2344,0,1
"ageclass.beta[6]",43.1624204546585,0.715831353667237,41.7220137467322,42.7242152442813,43.1840631317352,43.6510059780235,44.4652875960749,1.00157502516411,4500,0,1
"ageclass.beta[7]",44.1692274128084,0.825995884096156,42.4829076337605,43.6697937838936,44.2036621388097,44.7159240174653,45.6610887570075,1.00295823153565,4500,0,1
"ageclass.beta[8]",42.9459204995285,0.958475993126357,40.9198825865546,42.3760001683159,42.9968207219393,43.5847950796348,44.7118054545332,1.00192404967888,4500,0,1
"ageclass.beta[9]",41.9467128614291,1.09727615504476,39.6807551126685,41.2871475444612,42.0143176647748,42.6703753684553,43.8963046630078,1.00316659235986,2803,0,1
"ageclass.beta[10]",39.7341960844931,1.29372252672653,37.0433442607962,38.9454172391439,39.7779967281609,40.6037903943037,42.0977490598846,1.0014267504654,4500,0,1
"ageclass.beta[11]",35.3638397637657,1.65919709881816,31.9469742661814,34.3458121502305,35.4010217409672,36.4508134227144,38.46500982476,1.0005650756294,4500,0,1
"ageclass.beta[12]",33.247703208134,3.59831075141513,26.2204600143159,30.8231265378372,33.265036566149,35.6968979670827,40.3346588072797,1.00052335137563,2666,0,1
"derived_weight[1,1]",45.9965918336644,1.52727101619059,42.6663995671663,45.0213827744242,46.0744854078924,47.0440751234953,48.8146962564918,1.01826272998979,181,0,1
"derived_weight[2,1]",51.870315436934,1.48963679780346,48.6898143561288,50.930024678133,51.9491611968725,52.8628656833001,54.6245251545933,1.01648206053799,190,0,1
"derived_weight[3,1]",48.2495568293436,1.59032185631184,45.0779219967849,47.2144940481789,48.3185661773292,49.336852648347,51.283608517669,1.01323727486696,207,0,1
"derived_weight[1,2]",62.0814457738713,1.53549708846652,58.8098417266439,61.102261386246,62.1355466007433,63.1107929946931,64.9518011174624,1.01962833476425,162,0,1
"derived_weight[2,2]",67.9551693771409,1.50021489222848,64.8091101398806,66.9958298357597,68.0147229771596,68.9861431146008,70.7920030635819,1.01779395478158,170,0,1
"derived_weight[3,2]",64.3344107695505,1.608892931516,61.0893051648773,63.26812368356,64.384513673807,65.4243748838037,67.4161270622603,1.01442784819307,187,0,1
"derived_weight[1,3]",72.9856837496925,1.54918676715878,69.8281564606213,71.9751967298999,73.0465058460954,74.0271036940922,75.8697967109331,1.01660353118717,187,0,1
"derived_weight[2,3]",78.8594073529622,1.51794052050646,75.7345320336781,77.8719820108876,78.8887321895299,79.8860995997461,81.7718120387823,1.01481845125301,198,0,1
"derived_weight[3,3]",75.2386487453717,1.63271878633727,72.002813630206,74.1378869323166,75.2849513245019,76.3277439521785,78.3570889029915,1.01179005244307,220,0,1
"derived_weight[1,4]",81.3660912710403,1.56462187794042,78.1021720369061,80.3071559182636,81.4451026251218,82.3997566997849,84.2461755939978,1.01621314870227,185,0,1
"derived_weight[2,4]",87.23981487431,1.53382769557674,84.0940431735585,86.221424806728,87.2710429639422,88.2619211974981,90.0944819786442,1.01459992915208,195,0,1
"derived_weight[3,4]",83.6190562667195,1.65190537538719,80.3018825484418,82.5131393362728,83.653043554898,84.7288063501383,86.8051093345824,1.01176615087473,215,0,1
"derived_weight[1,5]",87.118646596783,1.59869823818599,83.889665374414,86.0587116423579,87.1633541614048,88.2004957773242,90.1390960606847,1.01662253457354,166,0,1
"derived_weight[2,5]",92.9923702000527,1.56781075145065,89.8544313936361,91.9394799615983,93.0464184590538,94.0360476283621,95.996818072251,1.01506322354836,174,0,1
"derived_weight[3,5]",89.3716115924622,1.68684171513907,86.060629628847,88.248474337345,89.3873348847284,90.5348503581818,92.6289904771302,1.01231418229425,193,0,1
"derived_weight[1,6]",89.1590122883229,1.63803257352025,85.8236919769653,88.0629519704345,89.2255748982498,90.2930989498607,92.1489932412778,1.01399640151219,192,0,1
"derived_weight[2,6]",95.0327358915926,1.60756918589213,91.8321371428371,93.9430661177412,95.054457017697,96.1347892610352,98.0934516258556,1.01238033625043,202,0,1
"derived_weight[3,6]",91.4119772840021,1.73288220541232,87.986520962764,90.2565197775721,91.4488799138866,92.6232038736986,94.7054033118837,1.01014228439631,223,0,1
"derived_weight[1,7]",90.1658192464728,1.68641210988918,86.7754772502134,89.0320922573354,90.2015398034928,91.2949978656906,93.3210682366635,1.01254069969396,205,0,1
"derived_weight[2,7]",96.0395428497424,1.65977422354432,92.6666577131386,94.9383670008826,96.0630843478436,97.1678273802894,99.2387275448218,1.01128071023141,218,0,1
"derived_weight[3,7]",92.418784242152,1.78449609237104,88.8391576626905,91.228972093894,92.443406115998,93.6825406467224,95.826860355894,1.00959892938926,239,0,1
"derived_weight[1,8]",88.9425123331929,1.73645007298561,85.4551498888646,87.7888834333903,88.9776959877119,90.1561926055725,92.2440831965577,1.01240878178599,188,0,1
"derived_weight[2,8]",94.8162359364625,1.71460100258772,91.3742213776522,93.6833222352371,94.849857036715,96.0060834596003,98.0577439494205,1.01126528899891,200,0,1
"derived_weight[3,8]",91.1954773288721,1.84323885163756,87.5741838836936,89.9442680905285,91.2306652610184,92.4783237798307,94.7569129862214,1.00954271528605,222,0,1
"derived_weight[1,9]",87.9433046950935,1.82880246828959,84.2105724205037,86.7082869264581,87.983640901391,89.2196254768583,91.4222681660762,1.01114082734084,199,0,1
"derived_weight[2,9]",93.8170282983631,1.80722657379539,90.1737146295577,92.6204954809006,93.8339604592497,95.0558607937375,97.150430315627,1.01035928805114,210,0,1
"derived_weight[3,9]",90.1962696907727,1.92698742936716,86.3816471608857,88.9162539688158,90.2146580096063,91.5111122253604,93.8323776439436,1.00933214993002,226,0,1
"derived_weight[1,10]",85.7307879181575,1.94643750319379,81.8181597147326,84.420505016982,85.7607025713077,87.0321773015544,89.412394074354,1.008853369866,242,0,1
"derived_weight[2,10]",91.6045115214271,1.92916346533217,87.7540210606662,90.3258878019495,91.6349698112965,92.8926136798362,95.3062030271181,1.00818300713416,258,0,1
"derived_weight[3,10]",87.9837529138367,2.05278544681794,83.8864183504064,86.6112905647792,87.9788840490434,89.3840373320238,91.9139386950752,1.00740977108498,277,0,1
"derived_weight[1,11]",81.3604315974301,2.19676084448287,76.9211308115466,79.8595315826256,81.4500614477682,82.8360907102785,85.5539569917049,1.0058070877917,371,0,1
